ID	Org	Prt	C/O	Pers	Sex	Birth	URL	Affil	Mini	MPs	PrtyM
AT	37	18	38	854	854	848	854	3456	122	776	795
BA	42	40	14	603	282	231	0	823	24	282	278
BE	68	66	19	786	569	569	0	2174	35	551	551
BG	46	38	6	1032	1032	912	95	4559	25	838	817
CZ	450	33	7	597	570	507	572	13632	93	536	465
DK	21	19	8	383	383	383	0	1025	73	383	383
EE	8	6	7	488	264	263	0	1083	62	263	262
ES-CT	39	37	5	364	364	364	0	1726	44	324	364
ES-GA	59	57	6	227	227	214	182	722	16	170	212
ES-PV	11	9	5	197	197	175	156	440	21	193	193
ES	52	50	10	941	926	884	0	1849	65	843	826
FI	19	17	16	314	310	310	0	1187	77	306	305
FR	185	26	5	908	908	902	0	2622	18	846	814
GB	37	34	5	1951	1951	0	1951	9120	80	1868	1947
GR	16	14	5	635	635	0	0	2562	91	532	532
HR	47	45	12	1036	660	660	0	2373	78	660	660
HU	94	38	6	492	492	488	0	3420	25	279	343
IS	12	9	5	261	261	261	1	925	26	138	239
IT	47	45	23	771	771	771	771	3249	82	706	597
LV	13	11	6	234	234	0	0	488	35	196	196
NL	50	35	14	586	586	542	557	1140	49	244	549
NO	17	13	9	1106	1106	1106	0	5067	141	1069	1106
PL	12	9	4	1223	1223	753	753	2180	53	753	645
PT	25	22	8	723	723	665	0	2591	52	601	709
RS	73	71	18	1724	1472	1472	0	4992	57	1472	1472
SE	15	13	5	649	649	0	0	1947	49	626	644
SI	32	29	30	973	973	466	330	1646	59	415	410
TR	83	47	3	1346	1234	1234	1204	7326	96	1218	1229
UA	151	148	38	2617	2617	2459	528	10661	225	1827	1826
