Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
UA	politicalParty	pp.NRU	РУХ	RUKh	Політична партія "Народний Рух України"	People's Movement of Ukraine	1905-06-11	-	-
UA	politicalParty	pp.UNP	УНП	UNP	Українська народна партія	Ukrainian People's Party	1999-12-31	-	-
UA	politicalParty	pp.PP	ПП	PP	Партія праці	Party of Labour	1992-12-21	2000-11-18	-
UA	politicalParty	pp.SDPU	СДПУ(о)	SDPU(o)	Соціал-демократична партія України (об'єднана)	Social Democratic Party of Ukraine (united)	1996-07-01	-	-
UA	politicalParty	pp.Hrom	Громада	Hromada	Всеукраїнське об'єднання «Громада»	All-Ukrainian Association "Community" (Hromada)	1994-03-22	-	-
UA	politicalParty	pp.PRP	ПРП	PRP	Партія «Реформи і порядок»	Reforms and Order Party	1997-10-24	-	-
UA	politicalParty	pp.CPSU	КПРС	CPSU	Комуністична партія Радянського Союзу	Communist Party of the Soviet Union	1905-05-05	1991-11-06	-
UA	politicalParty	pp.Reg	ПР	PR	Політична партія "Партія регіонів"	Party of Regions	1997-11-06	2014-03-29	-
UA	politicalParty	pp.OB	Опоблок	Opobloc	Політична партія «Опозиційний блок»	Opposition Bloc	2010-04-23	2022-06-08	-
UA	politicalParty	pp.usdp	УСДП	USDP	Українська соціал-демократична партія	Ukrainian Social Democratic Party	1998-12-11	2013-03-21	-
UA	politicalParty	pp.UV	УВперед	UVpered	Партія Наталії Королевської «Україна – Вперед!»	Ukraine – Forward!	2013-03-22	-	-
UA	politicalParty	pp.Lab	ТУ	TU	Політична партія "Трудова Україна"	Labour Ukraine	2000-06-21	2020-02-02	-
UA	politicalParty	pp.NSNU	НСНУ	NSNU	Народний Союз «Наша Україна»	People's Union "Our Ukraine"	2005-03-22	2009-06-26	-
UA	politicalParty	pp.OurU	НУ	NU	Політична партія «Наша Україна»	Our Ukraine	2009-06-27	-	-
UA	politicalParty	pp.RPU	РПУ	RPU	Республіканська партія України	Republican Party of Ukraine	2005-03-24	2007-08-03	-
UA	politicalParty	pp.But	Батьківщина	Batkivshchyna	Всеукраїнське об'єднання "Батьківщина"	All-Ukrainian Union "Fatherland" (Batkivshchyna)	1999-07-09	-	-
UA	politicalParty	pp.Ud	УДАР	UDAR	Політична партія «УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка»	Ukrainian Democratic Alliance for Reform (UDAR)	2005-03-14	-	-
UA	politicalParty	pp.Kpu	КПУ	CPU	Комуністична партія України	Communist Party of Ukraine	1993-10-05	2015-12-16	-
UA	politicalParty	pp.SPU	СПУ	SPU	Соціалістична партія України	Socialist Party of Ukraine	1991-11-25	2022-10-22	-
UA	politicalParty	pp.Sv	Свобода	Svoboda	Всеукраїнське об'єднання «Свобода»	All-Ukrainian Union "Freedom" (Svoboda)	1995-10-16	-	-
UA	politicalParty	pp.NF	НФ	NF	Політична партія "Народний фронт"	People's Front	2014-03-31	-	-
