Country	SpeakerID	Name	Sex
PT	AbelLimaBaptista	Lima Baptista, Abel	M
PT	AcácioSantosdaFonsecaPinto	Santos da Fonseca Pinto, Acácio	M
PT	AdalbertoCamposFernandes	Campos Fernandes, Adalberto	M
PT	AdolfoMiguelBaptistaMesquitaNunes	Miguel Baptista Mesquita Nunes, Adolfo	M
PT	AdrianoRafaeldeSousaMoreira	Rafael de Sousa Moreira, Adriano	M
PT	AdãoJoséFonsecaSilva	José Fonseca Silva, Adão	M
PT	AfonsoGonçalvesdaSilvaOliveira	Gonçalves da Silva Oliveira, Afonso	M
PT	AgostinhoCorreiaBranquinho	Correia Branquinho, Agostinho	M
PT	AgostinhoGonçalvesAlvesdaSanta	Gonçalves Alves da Santa, Agostinho	M
PT	AgostinhoNunodeAzevedoFerreiraLopes	Nuno de Azevedo Ferreira Lopes, Agostinho	M
PT	AlbertoAmaroGuedesMachado	Amaro Guedes Machado, Alberto	M
PT	AlbertoBernardesCosta	Bernardes Costa, Alberto	M
PT	AlbertoJorgeTorresdaSilvaFonseca	Jorge Torres da Silva Fonseca, Alberto	M
PT	AlbertodeSousaMartins	de Sousa Martins, Alberto	M
PT	AlexandraLudomilaRibeiroFernandesLeitão	Ludomila Ribeiro Fernandes Leitão, Alexandra	F
PT	AlexandraNunesEstevesTavaresdeMoura	Nunes Esteves Tavares de Moura, Alexandra	F
PT	AlexandreDamascenodaSilvaPoço	Damasceno da Silva Poço, Alexandre	M
PT	AlexandreNunoVazBatistadeVieiraeBrito	Nuno Vaz Batista de Vieira e Brito, Alexandre	M
PT	AlexandreTiedtkeQuintanilha	Tiedtke Quintanilha, Alexandre	M
PT	AlmaBenedettiCroceRivera	Benedetti Croce Rivera, Alma	F
PT	AltinoBernardoLemosBessa	Bernardo Lemos Bessa, Altino	M
PT	AmadeuAlbertinoMarquesSoaresAlbergaria	Albertino Marques Soares Albergaria, Amadeu	M
PT	AnaCatarinaVeigaSantosMendonçaMendes	Catarina Veiga Santos Mendonça Mendes, Ana	F
PT	AnaCláudiadaCostaPinho	Cláudia da Costa Pinho, Ana	F
PT	AnaCristinaCardosoDiasMesquita	Cristina Cardoso Dias Mesquita, Ana	F
PT	AnaElisabeteLabordaOliveira	Elisabete Laborda Oliveira, Ana	F
PT	AnaIsabelCorreiadosSantos	Isabel Correia dos Santos, Ana	F
PT	AnaIsabelDragoLobato	Isabel Drago Lobato, Ana	F
PT	AnaIsabeldosSantosFigueiredoPinto	Isabel dos Santos Figueiredo Pinto, Ana	F
PT	AnaLúciaSilvadePassos	Lúcia Silva de Passos, Ana	F
PT	AnaManuelJerónimoLopesCorreiaMendesGodinho	Manuel Jerónimo Lopes Correia Mendes Godinho, Ana	F
PT	AnaMargaridaBalseirodeSousaLopes	Margarida Balseiro de Sousa Lopes, Ana	F
PT	AnaMariaPereiraAbrunhosaTrigueirosdeAragão	Maria Pereira Abrunhosa Trigueiros de Aragão, Ana	F
PT	AnaMariaRibeirodaSilva	Maria Ribeiro da Silva, Ana	F
PT	AnaMariaTeodoroJorge	Maria Teodoro Jorge, Ana	F
PT	AnaMiguelMarquesNevesdosSantos	Miguel Marques Neves dos Santos, Ana	F
PT	AnaPaulaBaptistaGradeZacarias	Paula Baptista Grade Zacarias, Ana	F
PT	AnaPaulaMendesVitorino	Paula Mendes Vitorino, Ana	F
PT	AnaRitaBarreiraDuarteBessa	Rita Barreira Duarte Bessa, Ana	F
PT	AnaSofiaAntunes	Sofia Antunes, Ana	F
PT	AnaSofiaFernandesBettencourt	Sofia Fernandes Bettencourt, Ana	F
PT	AnaSofiaFerreiraAraújo	Sofia Ferreira Araújo, Ana	F
PT	AnaVirgíniadaCostaPereira	Virgínia da Costa Pereira, Ana	F
PT	AnabelaGaspardeFreitas	Gaspar de Freitas, Anabela	F
PT	AnabelaMariaPintodeMirandaRodrigues	Maria Pinto de Miranda Rodrigues, Anabela	F
PT	AnabelaPedroso	Pedroso, Anabela	F
PT	AnabeladeJesusSousaRodrigues	de Jesus Sousa Rodrigues, Anabela	F
PT	AndreiaCarinaMachadodaSilvaNeto	Carina Machado da Silva Neto, Andreia	F
PT	AndréAlexandrePinotesBatista	Alexandre Pinotes Batista, André	M
PT	AndréClaroAmaralVentura	Claro Amaral Ventura, André	M
PT	AndréGuimarãesCoelhoLima	Guimarães Coelho Lima, André	M
PT	AndréLourençoeSilva	Lourenço e Silva, André	M
PT	AndréMozCaldas	Moz Caldas, André	M
PT	AndréTiagoPardaldaSilva	Tiago Pardal da Silva, André	M
PT	AnteroLuís	Luís, Antero	M
PT	AntónioAlbertoMalódeAbreu	Alberto Maló de Abreu, António	M
PT	AntónioAlvesCardoso	Alves Cardoso, António	M
PT	AntónioAndrédaSilvaTopa	André da Silva Topa, António	M
PT	AntónioCarlosBivarBrancodePenhaMonteiro	Carlos Bivar Branco de Penha Monteiro, António	M
PT	AntónioCarlosSousaGomesdaSilvaPeixoto	Carlos Sousa Gomes da Silva Peixoto, António	M
PT	AntónioCostaPinto	Costa Pinto, António	M
PT	AntónioCostaRodrigues	Costa Rodrigues, António	M
PT	AntónioDuarteCondeAlmeidadaCunha	Duarte Conde Almeida da Cunha, António	M
PT	AntónioDuarteTeixeiraAfonsoRodrigues	Duarte Teixeira Afonso Rodrigues, António	M
PT	AntónioEgrejasLeitãoAmaro	Egrejas Leitão Amaro, António	M
PT	AntónioFernandesdaSilvaBraga	Fernandes da Silva Braga, António	M
PT	AntónioFernandoCoutodosSantos	Fernando Couto dos Santos, António	M
PT	AntónioFilipeGaiãoRodrigues	Filipe Gaião Rodrigues, António	M
PT	AntónioFilipedaProvidênciaSantarémAnacoretaCorreia	Filipe da Providência Santarém Anacoreta Correia, António	M
PT	AntónioFranciscoCostadaSilva	Francisco Costa da Silva, António	M
PT	AntónioJoaquimAlmeidaHenriques	Joaquim Almeida Henriques, António	M
PT	AntónioJoséLimaCosta	José Lima Costa, António	M
PT	AntónioJoséMartinsSeguro	José Martins Seguro, António	M
PT	AntónioJoséSantinhoPacheco	José Santinho Pacheco, António	M
PT	AntónioLacerdaSales	Lacerda Sales, António	M
PT	AntónioLimaCardosoVentura	Lima Cardoso Ventura, António	M
PT	AntónioLuísSantosdaCosta	Luís Santos da Costa, António	M
PT	AntónioManuelLeitãoBorges	Manuel Leitão Borges, António	M
PT	AntónioManuelPimentaPrôa	Manuel Pimenta Prôa, António	M
PT	AntónioManuelSoaresSerrano	Manuel Soares Serrano, António	M
PT	AntónioMendonçaMendes	Mendonça Mendes, António	M
PT	AntónioPauloJacintoEusébio	Paulo Jacinto Eusébio, António	M
PT	AntónioPedroCarvalhoMoraisSoares	Pedro Carvalho Morais Soares, António	M
PT	AntónioPedroRoquedaVisitaçãoOliveira	Pedro Roque da Visitação Oliveira, António	M
PT	AntónioRamosPreto	Ramos Preto, António	M
PT	AntónioRibeiroGameiro	Ribeiro Gameiro, António	M
PT	AntóniodeMagalhãesPiresdeLima	de Magalhães Pires de Lima, António	M
PT	AníbalAntónioCavacoSilva	António Cavaco Silva, Aníbal	M
PT	ArmandoAgriaCardosoSoares	Agria Cardoso Soares, Armando	M
PT	ArmindoTelmoAntunesFerreira	Telmo Antunes Ferreira, Armindo	M
PT	ArméniodosSantos	dos Santos, Arménio	M
PT	ArturJorgedaSilvaMachado	Jorge da Silva Machado, Artur	M
PT	ArturJoséGomesRêgo	José Gomes Rêgo, Artur	M
PT	ArturJoséMontenegroSoveralFreiredeAndrade	José Montenegro Soveral Freire de Andrade, Artur	M
PT	ArturMiguelClarodaFonsecaMoraCoelho	Miguel Claro da Fonseca Mora Coelho, Artur	M
PT	ArturTrindade	Trindade, Artur	M
PT	AscensoLuísSeixasSimões	Luís Seixas Simões, Ascenso	M
PT	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M
PT	BasílioAdolfodeMendonçaHortadaFranca	Adolfo de Mendonça Horta da Franca, Basílio	M
PT	BeatrizGebalinaPereiraGomesDias	Gebalina Pereira Gomes Dias, Beatriz	F
PT	BebianaMariaRibeirodaCunha	Maria Ribeiro da Cunha, Bebiana	F
PT	BernardinoJoséTorrãoSoares	José Torrão Soares, Bernardino	M
PT	BertaFerreiraMilheiroNunes	Ferreira Milheiro Nunes, Berta	F
PT	BertaMariaCorreiadeAlmeidadeMeloCabral	Maria Correia de Almeida de Melo Cabral, Berta	F
PT	BrunoArmandoAragãoHenriques	Armando Aragão Henriques, Bruno	M
PT	BrunoJorgeViegasVitorino	Jorge Viegas Vitorino, Bruno	M
PT	BrunoManuelPereiraCoimbra	Manuel Pereira Coimbra, Bruno	M
PT	BrunoMiguelMartinsInácio	Miguel Martins Inácio, Bruno	M
PT	BrunoRamosDias	Ramos Dias, Bruno	M
PT	CarinaJoãoReisOliveira	João Reis Oliveira, Carina	F
PT	CarlaAlexandraMagalhãesdeSousa	Alexandra Magalhães de Sousa, Carla	F
PT	CarlaElianadaCostaTavares	Eliana da Costa Tavares, Carla	F
PT	CarlaManueladeSousaMadureira	Manuela de Sousa Madureira, Carla	F
PT	CarlaMariaGomesBarros	Maria Gomes Barros, Carla	F
PT	CarlaMariadaCostaeCruz	Maria da Costa e Cruz, Carla	F
PT	CarlaMariadePinhoRodrigues	Maria de Pinho Rodrigues, Carla	F
PT	CarlosAlbertoSilvaBrás	Alberto Silva Brás, Carlos	M
PT	CarlosAlbertoSilvaGonçalves	Alberto Silva Gonçalves, Carlos	M
PT	CarlosAntónioPáscoaGonçalves	António Páscoa Gonçalves, Carlos	M
PT	CarlosEduardoAlmeidadeAbreuAmorim	Eduardo Almeida de Abreu Amorim, Carlos	M
PT	CarlosEduardoVasconcelosFernandesRibeirodosReis	Eduardo Vasconcelos Fernandes Ribeiro dos Reis, Carlos	M
PT	CarlosEduardodaSilvaeSousa	Eduardo da Silva e Sousa, Carlos	M
PT	CarlosFilipedeAndradeNetoBrandão	Filipe de Andrade Neto Brandão, Carlos	M
PT	CarlosHenriquedaCostaNeves	Henrique da Costa Neves, Carlos	M
PT	CarlosJoãoPereira	João Pereira, Carlos	M
PT	CarlosManuelFaiaSãoMartinhoGomes	Manuel Faia São Martinho Gomes, Carlos	M
PT	CarlosManuelFélixMoedas	Manuel Félix Moedas, Carlos	M
PT	CarlosManuelGodinhoMatias	Manuel Godinho Matias, Carlos	M
PT	CarlosManuelMartinsdoValeCésar	Manuel Martins do Vale César, Carlos	M
PT	CarlosManuelPimentelEnes	Manuel Pimentel Enes, Carlos	M
PT	CarlosManuelSoaresMiguel	Manuel Soares Miguel, Carlos	M
PT	CarlosManueldosSantosBatistadaSilva	Manuel dos Santos Batista da Silva, Carlos	M
PT	CarolinaMariaGomesFerra	Maria Gomes Ferra, Carolina	F
PT	CatarinaLeitedeFariadaRochaFerreira	Leite de Faria da Rocha Ferreira, Catarina	F
PT	CatarinaMarcelinoRosadaSilva	Marcelino Rosa da Silva, Catarina	F
PT	CatarinaSoaresMartins	Soares Martins, Catarina	F
PT	CatarinaTeresaRolaSarmentoeCastro	Teresa Rola Sarmento e Castro, Catarina	F
PT	CecíliaFelgueirasdeMeirelesGraça	Felgueiras de Meireles Graça, Cecília	F
PT	ClarisseMariaGaudinoVeredasCampos	Maria Gaudino Veredas Campos, Clarisse	F
PT	CláudiaJoaquim	Joaquim, Cláudia	F
PT	CláudiaMariaCruzSantos	Maria Cruz Santos, Cláudia	F
PT	CláudiaPatríciaQuitérioBento	Patrícia Quitério Bento, Cláudia	F
PT	CláudiaPereira	Pereira, Cláudia	F
PT	CláudiaSofiaFarinhaAndré	Sofia Farinha André, Cláudia	F
PT	CláudiaSofiaGomesMonteirodeAguiar	Sofia Gomes Monteiro de Aguiar, Cláudia	F
PT	CristinaMariaDominguesdeJesus	Maria Domingues de Jesus, Cristina	F
PT	CristinaMariaFigueiredoAlmeidadeSousa	Maria Figueiredo Almeida de Sousa, Cristina	F
PT	CristinaMariaMendesdaSilva	Maria Mendes da Silva, Cristina	F
PT	CristinaMariadaFonsecaSantosBacelarBegonha	Maria da Fonseca Santos Bacelar Begonha, Cristina	F
PT	CristinaMoreira	Moreira, Cristina	F
PT	CristóvãoDuarteNunesGuerreiroNorte	Duarte Nunes Guerreiro Norte, Cristóvão	M
PT	CristóvãoSimãoOliveiradeRibeiro	Simão Oliveira de Ribeiro, Cristóvão	M
PT	CristóvãodaConceiçãoVenturaCrespo	da Conceição Ventura Crespo, Cristóvão	M
PT	CátiaAlexandradeSousaSilva	Alexandra de Sousa Silva, Cátia	F
PT	CéliaMariaMarquesdaRosaPaz	Maria Marques da Rosa Paz, Célia	F
PT	CéliaRamos	Ramos, Célia	F
PT	DavidJorgeRibasdaCosta	Jorge Ribas da Costa, David	M
PT	DeolindaIsabeldaCostaCoutinho	Isabel da Costa Coutinho, Deolinda	F
PT	DianaJorgeMartinsFerreira	Jorge Martins Ferreira, Diana	F
PT	DianaVanessadaConceiçãoSantos	Vanessa da Conceição Santos, Diana	F
PT	DinisMigueldaSilvaDantasdaCosta	Miguel da Silva Dantas da Costa, Dinis	M
PT	DiogoFeijóoLeãoCamposRodrigues	Feijóo Leão Campos Rodrigues, Diogo	M
PT	DiogoSerrasLopes	Serras Lopes, Diogo	M
PT	DiogoVelezMoutaPachecodeAmorim	Velez Mouta Pacheco de Amorim, Diogo	M
PT	DomicíliaMariaCorreiadaCosta	Maria Correia da Costa, Domicília	F
PT	DomingosRibeiroPereira	Ribeiro Pereira, Domingos	M
PT	DoraMariaRamosdeAbreuBrandãoMachadoCruz	Maria Ramos de Abreu Brandão Machado Cruz, Dora	F
PT	DuarteFilipeBatistadeMatosMarques	Filipe Batista de Matos Marques, Duarte	M
PT	DuarteLeFalherdeCamposAlves	Le Falher de Campos Alves, Duarte	M
PT	DuarteRogérioMatosVenturaPacheco	Rogério Matos Ventura Pacheco, Duarte	M
PT	EditeFátimaSantosMarreirosEstrela	Fátima Santos Marreiros Estrela, Edite	F
PT	EduardoAlexandreRibeiroGonçalvesTeixeira	Alexandre Ribeiro Gonçalves Teixeira, Eduardo	M
PT	EduardoArméniodoNascimentoCabrita	Arménio do Nascimento Cabrita, Eduardo	M
PT	EduardoFerraz	Ferraz, Eduardo	M
PT	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M
PT	EduardoMiguelSabinoGuedesBarrocodeMelo	Miguel Sabino Guedes Barroco de Melo, Eduardo	M
PT	EduardoNunoRodriguesePinheiro	Nuno Rodrigues e Pinheiro, Eduardo	M
PT	ElsaMariaSimasCordeiro	Maria Simas Cordeiro, Elsa	F
PT	ElzaMariaHenriquesDeusPais	Maria Henriques Deus Pais, Elza	F
PT	EmídioGuerreiro	Guerreiro, Emídio	M
PT	EmíliadeFátimaMoreiradosSantos	de Fátima Moreira dos Santos, Emília	F
PT	EugéniaMariadeOliveiraDuarte	Maria de Oliveira Duarte, Eugénia	F
PT	EuricoJorgeNogueiraLeiteBrilhanteDias	Jorge Nogueira Leite Brilhante Dias, Eurico	M
PT	EurídiceMariadeSousaPereira	Maria de Sousa Pereira, Eurídice	F
PT	FabianFilipeFigueiredo	Filipe Figueiredo, Fabian	M
PT	FabíoladaCruzNetoCardoso	da Cruz Neto Cardoso, Fabíola	F
PT	FelicianoJoséBarreirasDuarte	José Barreiras Duarte, Feliciano	M
PT	FelipeJuanPabloAlfonsodeTodoslosSantosdeBorbónyGrecia	Juan Pablo Alfonso de Todos los Santos de Borbón y Grecia, Felipe	M
PT	FernandoAntónioPortelaRochadeAndrade	António Portela Rocha de Andrade, Fernando	M
PT	FernandoAraújo	Araújo, Fernando	M
PT	FernandoBarbosaAlvesPereira	Barbosa Alves Pereira, Fernando	M
PT	FernandoJosédeLaVieterRibeiroNobre	José de La Vieter Ribeiro Nobre, Fernando	M
PT	FernandoJosédosSantosAnastácio	José dos Santos Anastácio, Fernando	M
PT	FernandoLuísdeSousaMachadoSoaresVales	Luís de Sousa Machado Soares Vales, Fernando	M
PT	FernandoManuelCostaBarbosa	Manuel Costa Barbosa, Fernando	M
PT	FernandoManueldeJesus	Manuel de Jesus, Fernando	M
PT	FernandoMedinaMacielAlmeidaCorreia	Medina Maciel Almeida Correia, Fernando	M
PT	FernandoMiguelCatarinoJosé	Miguel Catarino José, Fernando	M
PT	FernandoMimosoNegrão	Mimoso Negrão, Fernando	M
PT	FernandoNunoFernandesRibeirodosReis	Nuno Fernandes Ribeiro dos Reis, Fernando	M
PT	FernandoPauloFerreira	Paulo Ferreira, Fernando	M
PT	FernandoPereiraSerrasqueiro	Pereira Serrasqueiro, Fernando	M
PT	FernandoReis	Reis, Fernando	M
PT	FernandoRibeiroMarques	Ribeiro Marques, Fernando	M
PT	FernandoSerraLealdaCosta	Serra Leal da Costa, Fernando	M
PT	FernandoVirgílioCabraldaCruzMacedo	Virgílio Cabral da Cruz Macedo, Fernando	M
PT	FernandodeCarvalhoRuas	de Carvalho Ruas, Fernando	M
PT	FilipaMariaSalemaRosetaVazMonteiro	Maria Salema Roseta Vaz Monteiro, Filipa	F
PT	FilipeAlexandrePardalPacheco	Alexandre Pardal Pacheco, Filipe	M
PT	FilipeTiagodeMeloSobralLobodÁvila	Tiago de Melo Sobral Lobo d'Ávila, Filipe	M
PT	FirminoJorgeAnjosPereira	Jorge Anjos Pereira, Firmino	M
PT	FirminoJoséRodriguesMarques	José Rodrigues Marques, Firmino	M
PT	FranciscaEugéniadaSilvaDiasVanDunem	Eugénia da Silva Dias Van Dunem, Francisca	F
PT	FranciscaLuísBaptistaParreira	Luís Baptista Parreira, Francisca	F
PT	FranciscoAnacletoLouçã	Anacleto Louçã, Francisco	M
PT	FranciscoAndréDinisReisMendesdaSilva	André Dinis Reis Mendes da Silva, Francisco	M
PT	FranciscoJoseFerreiradaRocha	Jose Ferreira da Rocha, Francisco	M
PT	FranciscoJoséPereiradeAlmeidaViegas	José Pereira de Almeida Viegas, Francisco	M
PT	FranciscoJoséPereiradeAssisMiranda	José Pereira de Assis Miranda, Francisco	M
PT	FranciscoJoséPereiradeOliveira	José Pereira de Oliveira, Francisco	M
PT	FranciscoJosédeAlmeidaLopes	José de Almeida Lopes, Francisco	M
PT	FranciscoManuelFreitasGomes	Manuel Freitas Gomes, Francisco	M
PT	FranciscoVenturaRamos	Ventura Ramos, Francisco	M
PT	FátimaCarlaDiasAntunesBorges	Carla Dias Antunes Borges, Fátima	F
PT	GabrielCôrte-RealCarvalhoGoucha	Côrte-Real Carvalho Goucha, Gabriel	M
PT	GabrielGameiroRodriguesBastos	Gameiro Rodrigues Bastos, Gabriel	M
PT	GlóriaMariadaSilvaAraújo	Maria da Silva Araújo, Glória	F
PT	GraçaMariaFonsecaCaetanoGonçalves	Maria Fonseca Caetano Gonçalves, Graça	F
PT	GuilhermeHenriqueValenteRodriguesdaSilva	Henrique Valente Rodrigues da Silva, Guilherme	M
PT	GuilhermeWaldemarGoulãodosReisdOliveiraMartins	Waldemar Goulão dos Reis d'Oliveira Martins, Guilherme	M
PT	HeitorNunoPatríciodeSousaeCastro	Nuno Patrício de Sousa e Castro, Heitor	M
PT	HelenaMariaMesquitaRibeiro	Maria Mesquita Ribeiro, Helena	F
PT	HelenaMariaMouraPinto	Maria Moura Pinto, Helena	F
PT	HelenaMariadeOliveiraFreitas	Maria de Oliveira Freitas, Helena	F
PT	HelgaAlexandraFreireCorreia	Alexandra Freire Correia, Helga	F
PT	HeloísaAugustaBaiãodeBritoApolónia	Augusta Baião de Brito Apolónia, Heloísa	F
PT	HermíniaMariadaFonsecaBexigaAzenha	Maria da Fonseca Bexiga Azenha, Hermínia	F
PT	HugoAlexandreLopesSoares	Alexandre Lopes Soares, Hugo	M
PT	HugoAlexandrePolidoPires	Alexandre Polido Pires, Hugo	M
PT	HugoDanielAlvesMartinsdeCarvalho	Daniel Alves Martins de Carvalho, Hugo	M
PT	HugoDanielMatosdeOliveira	Daniel Matos de Oliveira, Hugo	M
PT	HugoJoséTeixeiraVelosa	José Teixeira Velosa, Hugo	M
PT	HugoMiguelCarvalheirodosSantosCosta	Miguel Carvalheiro dos Santos Costa, Hugo	M
PT	HugoMiguelCostaCarvalho	Miguel Costa Carvalho, Hugo	M
PT	HugoMigueldeSousaCarneiro	Miguel de Sousa Carneiro, Hugo	M
PT	HugoPatrícioMartinhodeOliveira	Patrício Martinho de Oliveira, Hugo	M
PT	HugoSantosMendes	Santos Mendes, Hugo	M
PT	HélderAntónioGuerradeSousaSilva	António Guerra de Sousa Silva, Hélder	M
PT	HélderManuelGomesdosReis	Manuel Gomes dos Reis, Hélder	M
PT	IdáliaMariaMarquesSalvadorSerrão	Maria Marques Salvador Serrão, Idália	F
PT	IldaMariaMenezesdeAraújoNovo	Maria Menezes de Araújo Novo, Ilda	F
PT	IlídiaMariadaSilvaFialhoQuadrado	Maria da Silva Fialho Quadrado, Ilídia	F
PT	InêsCarmeloRosaCaladoLopesDomingos	Carmelo Rosa Calado Lopes Domingos, Inês	F
PT	InêsCosta	Costa, Inês	F
PT	InêsDiasLamego	Dias Lamego, Inês	F
PT	InêsDomingues	Domingues, Inês	F
PT	InêsDóriaNóbregaTeotónioPereiraBourbonRibeiro	Dória Nóbrega Teotónio Pereira Bourbon Ribeiro, Inês	F
PT	InêsdeDrummondLudoviceMendesGomes	de Drummond Ludovice Mendes Gomes, Inês	F
PT	InêsdeSaint-MauricedeEstevesdeMedeirosVitorinodeAlmeida	de Saint-Maurice de Esteves de Medeiros Vitorino de Almeida, Inês	F
PT	InêsdosSantosCosta	dos Santos Costa, Inês	F
PT	IsabelCristinaRuaPires	Cristina Rua Pires, Isabel	F
PT	IsabelMariaDuartedeAlmeidaRodrigues	Maria Duarte de Almeida Rodrigues, Isabel	F
PT	IsabelMariaLopes	Maria Lopes, Isabel	F
PT	IsabelMariaMeirelesTeixeira	Maria Meireles Teixeira, Isabel	F
PT	IsabelMariaMousinhodeAlmeidaGalriçaNeto	Maria Mousinho de Almeida Galriça Neto, Isabel	F
PT	IsabelMariadaConceiçãoSimõesPinto	Maria da Conceição Simões Pinto, Isabel	F
PT	IsabelSofiaAlvesAndrade	Sofia Alves Andrade, Isabel	F
PT	IsabeldeLimaMayerAlvesMoreira	de Lima Mayer Alves Moreira, Isabel	F
PT	IsauraLeonorMarquesdeFigueiredoSilvaPedro	Leonor Marques de Figueiredo Silva Pedro, Isaura	F
PT	IsauraMariaEliasCrisóstomoBernardinoMorais	Maria Elias Crisóstomo Bernardino Morais, Isaura	F
PT	IsidroGomesdeAraújo	Gomes de Araújo, Isidro	M
PT	IvandaCostaGonçalves	da Costa Gonçalves, Ivan	M
PT	IvoDinisdeOliveira	Dinis de Oliveira, Ivo	M
PT	JacintoSerrãodeFreitas	Serrão de Freitas, Jacinto	M
PT	JamilaBárbaraMadeiraeMadeira	Bárbara Madeira e Madeira, Jamila	F
PT	JerónimoCarvalhodeSousa	Carvalho de Sousa, Jerónimo	M
PT	JoacineElyseesKatarTavaresMoreira	Elysees Katar Tavares Moreira, Joacine	F
PT	JoanaCatarinaBarataReisLopes	Catarina Barata Reis Lopes, Joana	F
PT	JoanaFernandaFerreiraLima	Fernanda Ferreira Lima, Joana	F
PT	JoanaIsabelMartinsRigueirodeSáPereira	Isabel Martins Rigueiro de Sá Pereira, Joana	F
PT	JoanaMorgadinhoBento	Morgadinho Bento, Joana	F
PT	JoanaRodriguesMortágua	Rodrigues Mortágua, Joana	F
PT	JoaquimAntónioFerreiraSeixas	António Ferreira Seixas, Joaquim	M
PT	JoaquimBarrosodeAlmeidaBarreto	Barroso de Almeida Barreto, Joaquim	M
PT	JoaquimCarlosVasconcelosdaPonte	Carlos Vasconcelos da Ponte, Joaquim	M
PT	JoaquimMoreiraRaposo	Moreira Raposo, Joaquim	M
PT	JoelBouçaGomes	Bouça Gomes, Joel	M
PT	JoelMirandaFernandesSá	Miranda Fernandes Sá, Joel	M
PT	JorgeCostaOliveira	Costa Oliveira, Jorge	M
PT	JorgeDias	Dias, Jorge	M
PT	JorgeDuarteGonçalvesdaCosta	Duarte Gonçalves da Costa, Jorge	M
PT	JorgeFernandoRodriguesPereira	Fernando Rodrigues Pereira, Jorge	M
PT	JorgeFilipeTeixeiraSeguroSanches	Filipe Teixeira Seguro Sanches, Jorge	M
PT	JorgeGabrielDuarteCatanaMonteiroMartins	Gabriel Duarte Catana Monteiro Martins, Jorge	M
PT	JorgeLacãoCosta	Lacão Costa, Jorge	M
PT	JorgeManuelCapelaGonçalvesFão	Manuel Capela Gonçalves Fão, Jorge	M
PT	JorgeManuelCostaCampos	Manuel Costa Campos, Jorge	M
PT	JorgeManuelFerreiraCordeiro	Manuel Ferreira Cordeiro, Jorge	M
PT	JorgeManuelLopesMoreiradaSilva	Manuel Lopes Moreira da Silva, Jorge	M
PT	JorgeManuelNogueiroGomes	Manuel Nogueiro Gomes, Jorge	M
PT	JorgeManuelRosendoGonçalves	Manuel Rosendo Gonçalves, Jorge	M
PT	JorgeManuelTorresFalcatoSimões	Manuel Torres Falcato Simões, Jorge	M
PT	JorgeManueldoNascimentoBotelho	Manuel do Nascimento Botelho, Jorge	M
PT	JorgeMorenoDelgado	Moreno Delgado, Jorge	M
PT	JorgePauloCorreia	Paulo Correia, Jorge	M
PT	JorgePaulodaSilvaOliveira	Paulo da Silva Oliveira, Jorge	M
PT	JorgeSalgueiroMendes	Salgueiro Mendes, Jorge	M
PT	JoséAdelmoGouveiaBordaloJunqueiro	Adelmo Gouveia Bordalo Junqueiro, José	M
PT	JoséAlbertoAzevedoLourenço	Alberto Azevedo Lourenço, José	M
PT	JoséAlbertoNunesFerreiraGomes	Alberto Nunes Ferreira Gomes, José	M
PT	JoséAlbertodeAzeredoFerreiraLopes	Alberto de Azeredo Ferreira Lopes, José	M
PT	JoséAntónioFonsecaVieiradaSilva	António Fonseca Vieira da Silva, José	M
PT	JoséAntóniodeSousaeSilva	António de Sousa e Silva, José	M
PT	JoséApolinárioNunesPortada	Apolinário Nunes Portada, José	M
PT	JoséArturTavaresNeves	Artur Tavares Neves, José	M
PT	JoséBorgesdeAraújodeMouraSoeiro	Borges de Araújo de Moura Soeiro, José	M
PT	JoséCarlosBravoNico	Carlos Bravo Nico, José	M
PT	JoséCarlosCorreiaMotadeAndrade	Carlos Correia Mota de Andrade, José	M
PT	JoséCarlosCostaBarros	Carlos Costa Barros, José	M
PT	JoséCarlosRibeiroBarbosa	Carlos Ribeiro Barbosa, José	M
