Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
BG	GenchovskaTeodora	minister	2021-12-13	2022-08-02	-	-	-	-	-	-
BG	PetkovBiser	minister	2017-05-04	2019-11-29	-	-	Министър на труда и социалната политика	-	-	-
BG	BanovBoil	minister	2017-05-04	-	-	-	Министър на културата	-	-	-
BG	StonovVasil	minister	2014-08-06	2014-11-07	-	-	Министър на икономиката и енергетиката на България	-	-	-
BG	GrudevVasil	minister	2014-08-06	2014-11-07	-	-	Министър на земеделието и храните	-	-	-
BG	DonevGylyb	minister	2017-01-27	2017-05-04	-	-	Служебен министър на труда и социалната политика	-	-	-
BG	KostovDimityr	minister	1995-01-25	1997-02-12	-	-	Министър на финансите	-	-	-
BG	KaranikolovEmil	minister	2017-05-04	2020-07-24	-	-	Министър на икономиката	-	-	-
BG	RoussinovaZornitsa	minister	2014-11-19	2017-01-27	-	-	Министър на труда и социалната политика	-	-	-
BG	KostovaIrina	minister	2017-01-27	2017-05-04	-	-	Служебен министър на околната среда и водите	-	-	-
BG	MihajlovaIskra	minister	2013	2014	-	-	Министър на околната среда и водите	-	-	-
BG	HristoskovYordan	minister	2014-08-06	2014-11-07	-	-	Министър на труда и социалната политика	-	-	-
BG	BakalovYordan	minister	2014-08-06	2014-11-07	-	-	Служебен министър на вътрешените работи	-	-	-
BG	VasilevaLozana	minister	2017-05-04	2018-12-31	-	-	Министър за българското председателство на Съвета на Европейския съюз	-	-	-
BG	NikolovaMariyana	minister	2020-07-24	-	-	-	Министър на туризма	-	-	-
BG	NenkovMiroslav	minister	-	-	-	-	Министър на здравеопазването	-	-	-
BG	PavlovNikolay	minister	2017-01-27	2017-05-04	-	-	Министър на енергетиката	-	-	-
BG	PetrovNikolay	minister	2017-05-04	2017-11-10	-	-	Министър на здравеопазването	-	-	-
BG	UzunovPlamen	minister	2017-01-27	2017-05-04	-	-	Служебен министър на вътрешните работи	-	-	-
BG	PorozhanovRumen	minister	2017-05-04	2019-05-15	-	-	Министър на земеделието, храните и горите	-	-	-
BG	KolarovaRumyana	minister	2014-08-06	2014-11-07	-	-	Служебен министър на образованието, младежта и науката	-	-	-
BG	ZhekovaSvetlana	minister	2014-08-06	2014-11-07	-	-	Министър на околната среда и водите	-	-	-
BG	PopnikolovSpas	minister	2017-01-27	2017-05-04	-	-	Служебен министър на регионалното развитие и благоустройството	-	-	-
BG	TanevTodor	minister	2014-11-07	2016-02-03	-	-	Министър на образованието и науката	-	-	-
BG	TerziyskiChristo	minister	2020-07-24	-	-	-	Министър на вътрешните работи	-	-	-
