Country	PersonID	Role	From	To	GovtTermID	MinistryID	orgName-xx	orgName-en	URL	Comment
HR	PusićVesna	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo vanjskih i europskih poslova	Ministry of Foreign and European Affairs	https://en.wikipedia.org/wiki/Ministry_of_Foreign_and_European_Affairs_(Croatia)	-
HR	KovačMiro	minister	2016-01-23	2016-10-19	13th cabinet	-	Ministarstvo vanjskih i europskih poslova	Ministry of Foreign and European Affairs	-	-
HR	StierDavorIvo	minister	2016-10-20	2017-06-19	14th cabinet	-	Ministarstvo vanjskih i europskih poslova	Ministry of Foreign and European Affairs	-	-
HR	PejčinovićBurićMarija	minister	2017-06-20	2019-07-22	14th cabinet	-	Ministarstvo vanjskih i europskih poslova	Ministry of Foreign and European Affairs	-	-
HR	GrlićRadmanGordan	minister	2019-07-23	-	14/15th cabinet	-	Ministarstvo vanjskih i europskih poslova	Ministry of Foreign and European Affairs	-	-
HR	OpačićMilanka	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo socijalne politike i mladih	Ministry of Social Politics and Youth	-	-
HR	JuretićBernardica	minister	2016-01-23	2016-10-19	13th cabinet	-	Ministarstvo socijalne politike i mladih	Ministry of Social Politics and Youth	-	-
HR	MurganićNada	minister	2016-10-20	2019-07-17	14th cabinet	-	Ministarstvo demografije, obitelji, mladih i socijalne politike	Ministry of Demographics, Family, Youth and Social Policy	https://en.wikipedia.org/wiki/Ministry_of_Demographics,_Family,_Youth_and_Social_Policy	-
HR	BedekovićVesna	minister	2019-07-22	-	14th cabinet	-	Ministarstvo demografije, obitelji, mladih i socijalne politike	Ministry of Demographics, Family, Youth and Social Policy	-	-
HR	OstojićRanko	minister	2011-12-13	2016-01-22	12th cabinet	-	Ministarstvo unutarnjih poslova Republike Hrvatske	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Croatia)	-
HR	OrepićVlaho	minister	2016-01-23	2017-04-27	13/14th cabinet	-	Ministarstvo unutarnjih poslova Republike Hrvatske	Ministry of the Interior	-	-
HR	BožinovićDavor	minister	2017-06-10	-	14/15th cabinet	-	Ministarstvo unutarnjih poslova Republike Hrvatske	Ministry of the Interior	-	-
HR	LalovacBoris	minister	2014-05-06	2016-01-22	13th cabinet	-	Ministarstvo financija	Ministry of Finance	https://en.wikipedia.org/wiki/Ministry_of_Finance_(Croatia)	-
HR	MarićZdravko	minister	2016-01-23	2022-07-05	14th cabinet	-	Ministarstvo financija	Ministry of Finance	-	-
HR	PrimoracMarko	minister	2022-07-15	-	15th cabinet	-	Ministarstvo financija	Ministry of Finance	-	-
HR	KotromanovićAnte	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo obrane Republike Hrvatske	Ministry of Defence	https://en.wikipedia.org/wiki/Ministry_of_Defence_(Croatia)	-
HR	BuljevićJosip	minister	2016-01-23	2016-10-19	13th cabinet	-	Ministarstvo obrane Republike Hrvatske	Ministry of Defence	-	-
HR	KrstičevićDamir	minister	2016-10-20	2020-05-08	14th cabinet	-	Ministarstvo obrane Republike Hrvatske	Ministry of Defence	-	-
HR	BanožićMario	minister	2020-07-23	-	15th cabinet	-	Ministarstvo obrane Republike Hrvatske	Ministry of Defence	-	-
