country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
LV	AP	AP!	2019	2020.1	5.82	5.90	3.67	4.40	6.82	-	1.7	3.91	3.75	-	-	7.09	-	-	-	5.36	0	5.5	2018	4.45	4.82	12.42	4.18	-	-	5	-	2.5	5.67	6.18	1.2	-	-	-	-	-	6.30	-	6.73	-	6.64	-	7.91	-	1	12	3	1.91	2	3	7.40	-	1.0	2.75	4.08	5.42	-	-	6.55	-	-	-	3	6.10	2.75	2.75	3.60	3.5	5	4.73	-	6.5	-	3	6.18	13	-	1.27	5.10	-	3.27	-	-	-	12.12
LV	JK	JKP	2019	2020.1	7.27	6.18	5.67	4	5.09	-	3.27	6.33	7.08	-	-	8.67	-	-	-	5.27	0	5.58	2018	2.27	6.29	4.35	7.92	-	-	2.5	-	3.5	4.40	6	3.33	-	-	-	-	-	5.08	-	5.92	-	5.73	-	5.36	-	1	12	3	7.09	3	3.57	6.20	-	1.0	3	7.67	6	-	-	8.73	-	-	-	3.12	5.18	7.10	7.67	4.40	6.40	4	5.36	-	6.18	-	4.82	6.67	16	-	7.33	5.5	-	4.80	-	-	-	13.67
LV	JV	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LV	KPV-LV	KPV LV	2019	2020.1	5.70	5.0	6.33	6	5.64	-	1.5	8.92	6	-	-	8.25	-	-	-	6.60	0	5.90	2018	2.09	6.14	-	5.5	-	-	2.90	-	6.75	3.78	5.73	4.67	-	-	-	-	-	4.70	-	5.55	-	5.09	-	5	-	1	12	2	5.5	5.67	5.67	4.5	-	1.0	5	6.75	5.33	-	-	6.18	-	-	-	4.71	4.56	6.22	5.83	6.27	6.33	5	5.5	-	5.78	-	4.33	5.25	16	-	5.73	6.56	-	4.60	-	-	-	14.33
LV	LRA	LRA	2014	2020.1	5.67	5.62	-	-	7.78	-	-	7.71	6.20	-	-	7.17	-	-	-	4.80	0	5.5	2014	-	7.25	2.5	5.83	-	-	-	2	-	4	6.43	4.67	-	-	-	4.5	-	5.33	-	5.43	-	5.12	-	5.67	3	1	11	8	7	-	-	6.56	-	0.0	-	6.25	-	-	5.75	-	4	3	1	-	-	6.75	6.29	-	-	-	5.43	-	3.29	-	5.75	-	8	-	6.40	5.83	-	6.83	-	-	-	6.7
LV	LRA	LRA	2019	2020.1	6.0	6.62	4	4.75	6.14	-	1.5	5.56	4.75	-	-	6	-	-	-	5.71	0	5.88	2018	2.75	5.5	4.98	6.25	-	-	3.5	-	3.75	4.67	6.30	3.40	-	-	-	-	-	4.75	-	5.62	-	5.33	-	5.40	-	1	12	8	6.22	4.33	6	5.29	-	0.0	3.75	6.67	4.67	-	-	6.14	-	-	-	2.5	4	6	6.20	3.88	7	4.43	6.29	-	2.45	-	4.62	4.56	0	-	5.78	5.5	-	7.56	-	-	-	4.17
LV	NA	NA	2010	2020.1	7.75	5.11	-	-	-	-	-	-	5.57	4.33	87723	-	-	-	4.43	4.71	0	-	2011	5.29	5	7.5	9.22	8.33	-	-	1.44	-	-	5.5	5.25	-	-	-	4.86	-	5.25	-	4.38	-	4.44	-	5.19	3	1	10	1	6.67	-	-	-	-	1.0	-	6.71	8.57	5	3.25	-	-	-	-	-	7.88	9.25	-	-	-	4.38	5.56	5.20	4.5	3	3.62	-	14	5.38	8.12	5	4.43	6.25	6.43	-	-	13.88
LV	NA	NA	2014	2020.1	8.30	5.89	-	-	6.67	-	-	5	6.12	-	87723	6.89	-	-	-	4.88	0	6.62	2014	-	6.33	14.3	8.78	-	-	-	1.11	-	4.22	6.71	3.88	-	-	-	4.88	-	6.25	-	5.75	-	5.70	-	6.80	3.80	1	11	1	8.11	-	-	6.67	-	1.0	-	8.71	-	-	2.25	-	12	9	10	-	-	8	9.75	-	-	-	5.88	-	6.14	-	5.38	-	17	-	7.44	5.62	-	6.12	-	-	-	16.6
LV	NA	NA	2019	2020.1	8.45	6.09	4.67	3.5	4.82	-	5.91	3.67	7.83	-	87723	5	-	-	-	5	0	5.92	2018	2.82	5.36	16.4	9.67	-	-	1.42	-	3.75	4.20	5.83	4.5	-	-	-	-	-	3.83	-	5.33	-	4.73	-	6.36	-	1	12	1	8.09	2.33	3.86	7.80	-	1.0	2.09	9.67	9	-	-	7.45	-	-	-	1	7.82	9.10	9.92	4.20	7.40	3.82	6.27	-	5.82	-	5.60	7.92	13	-	9	5.5	-	6.33	-	-	-	11.08
LV	NSL	NSL	2014	2020.1	5.14	4.86	-	-	7.78	-	-	9	6.20	-	-	8.14	-	-	-	4.25	0	4.80	2014	-	7.25	-	4.33	-	-	-	2.5	-	3.60	6.17	5	-	-	-	5	-	4.80	-	4.83	-	4.22	-	4.89	3	1	11	2	7.71	-	-	6.89	-	0.0	-	6.25	-	-	6.5	-	1	13	3	-	-	5.33	5	-	-	-	4.83	-	5.25	-	6.80	-	7	-	7	5.80	-	4	-	-	-	6.9
