ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
-	IS	Bf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	IS	F	4503	F	2019	5.2	5.0	0	1.8	7.6	0.0	0	0.4	3.4	-	-	1.6	-	-	-	4.6	-	3.2	-	4.4	6.0	-	5.5	-	-	-	-	2	-	-	3.7	-	-	-	-	-	-	-	-	-	1.6	0.9	3.8	-	-	-	-	3.6	1	2.2	4.0	2.1	-	1.8	4.8	3.6	-	-	8	-	-	-	2	4	5.2	7	2.4	7.8	5.4	3.6	-	4	-	3.0	0.0	-	-	2.2	4.6	-	9.0	-	-	-	-	-
2019	IS	Flf	4508	FIF	2019	4.4	4.0	1	1.8	6.2	0.7	1.8	6.0	4.5	-	-	3.6	-	-	-	3.5	-	2.3	-	3.0	7.5	-	5.5	-	-	-	-	3	-	-	3.7	-	-	-	-	-	-	-	-	-	1.8	1.5	1.2	-	-	-	-	5.2	2	1.7	5.0	1.9	-	2.2	7.2	4.4	-	-	9	-	-	-	0.7	5.8	7.8	6.2	5.2	5	8.2	1.4	-	5	-	3.4	0.0	-	-	3.4	2	-	4.7	-	-	-	-	-
2019	IS	M	4504	M	2019	6.2	6.2	0	1.5	8.0	1.6	2	4.4	4.6	-	-	1.5	-	-	-	6.4	-	5.4	-	5.8	7.6	-	5	-	-	-	-	0.5	-	-	2	-	-	-	-	-	-	-	-	-	1.2	0.4	5.6	-	-	-	-	6.4	1	2.2	6.2	3.2	-	1.2	8.0	7.4	-	-	9.4	-	-	-	1	7.4	8.4	8.6	3.2	8	4.8	5.6	-	4	-	3.6	0.8	-	-	4.6	6.2	-	9.0	-	-	-	-	-
2019	IS	P	4506	Pi	2019	4.0	4.2	2	3.2	5.2	0.4	0	6.2	0.6	-	-	8.4	-	-	-	3.8	-	3.2	-	5.4	3.8	-	1.3	-	-	-	-	4.5	-	-	3.3	-	-	-	-	-	-	-	-	-	4.8	0.4	4.6	-	-	-	-	0.4	1	1.2	7.8	0.5	-	1	1.0	6.6	-	-	2.8	-	-	-	1.4	5.6	1.0	1.2	5.8	1.6	5.2	3.2	-	6	-	1.2	0.0	-	-	0.4	3.2	-	1.4	-	-	-	-	-
2019	IS	S	4501	Sj	2019	7.8	7.4	0	1.8	9.2	0.5	0	0.2	4	-	-	1.6	-	-	-	7.8	-	6.4	-	4.4	6.0	-	4.7	-	-	-	-	2.5	-	-	3.3	-	-	-	-	-	-	-	-	-	1.8	0.8	3.4	-	-	-	-	4.6	2	5.2	4.2	2.3	-	3	6.2	4.6	-	-	8.6	-	-	-	2.8	4.8	6.4	7	1.8	3.2	5.8	6.8	-	4.3	-	3.6	1.0	-	-	2.8	7.8	-	6.2	-	-	-	-	-
2019	IS	Sf	4505	Sam	2019	3.2	3.2	0	3	7.8	0.4	0	1.4	1.4	-	-	5.8	-	-	-	3.4	-	2.4	-	7.4	2.4	-	2	-	-	-	-	4	-	-	2.3	-	-	-	-	-	-	-	-	-	6.4	0.5	6.8	-	-	-	-	1.6	1	1.2	6.6	1.5	-	1.6	2.4	6.4	-	-	6.4	-	-	-	1.6	5.2	2.4	1.8	5.0	2	8.2	1.8	-	6	-	1.6	0.0	-	-	0.2	2.2	-	2.0	-	-	-	-	-
-	IS	U	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	IS	V	4507	V	2019	6.8	6.6	0	1.8	8.6	1.3	0	0.2	1.2	-	-	4.6	-	-	-	7.0	-	5.8	-	5.4	2.8	-	2	-	-	-	-	2.5	-	-	2	-	-	-	-	-	-	-	-	-	6.6	0.5	8.0	-	-	-	-	1.2	1	1.8	5.6	1.1	-	1.6	2.8	4.0	-	-	7.4	-	-	-	1.8	4.4	1.8	1.2	3.6	0.6	4.6	5	-	6	-	1.4	0.0	-	-	0.4	5	-	1.0	-	-	-	-	-
2019	IS	Vg	4502	Graen	2019	2.0	2.4	0	3.2	7.0	0.9	0	0.6	1.6	-	-	4.0	-	-	-	2.2	-	0.8	-	9.2	0.6	-	2	-	-	-	-	4	-	-	4	-	-	-	-	-	-	-	-	-	2.0	1.0	3.0	-	-	-	-	0.8	1	1	6.8	0.8	-	2.4	2.8	5.8	-	-	7.4	-	-	-	2	5.4	2.4	5.8	3.6	6.2	7.4	1.6	-	4.3	-	1.4	0.0	-	-	0.6	2.2	-	6.0	-	-	-	-	-
