ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	SE	-	1604	FP	1999	6.9	7.6	-	-	-	-	-	-	-	-	11420	-	-	-	-	-	1	-	1998	-	-	13.9	-	-	-	6.2	-	-	-	4.8	0.6	-	3.2	6.4	6.7	5.9	6.7	-	-	-	6.6	-	7.2	-	1	9	3	3.1	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.9	-	-	-	-	-	-	-	-	4.7	2020.1
1999-2019	SE	-	1608	NyD	1999	9.0	8.0	-	-	-	-	-	-	-	-	11951	-	-	-	-	-	1	-	1998	-	-	-	-	-	-	2.5	-	-	-	4	2.5	-	1	2.5	2.5	6	7	-	-	-	5.0	-	3.8	-	1	9	1	6	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2020.1
1999-2019	SE	-	1604	FP	2002	6.2	7.7	-	-	-	-	-	-	-	-	11420	-	-	-	-	-	1	-	2002	-	-	13.9	-	-	1.5	5.5	-	-	-	4	1.5	-	3.9	5.9	6.6	-	6.6	-	6.6	-	7.0	-	8.3	-	1	12	3	2.8	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.8	-	-	-	-	-	-	-	-	13.4	2020.1
1999-2019	SE	-	1604	FP	2006	6.7	7.4	-	-	-	-	-	-	7.3	7.8	11420	-	3.2	4.1	7.8	8	1	-	2006	-	-	9.9	4.1	5.1	-	-	-	-	-	5.4	1.2	-	-	-	5.8	-	6.5	-	6.8	-	7.0	-	7.3	6.1	1	11	3	3.6	-	-	-	-	0.5	-	5.8	7.6	-	-	-	-	-	-	-	-	5.9	-	-	-	6	6.4	4.9	5.6	4.4	2.2	-	8	7.6	2.7	7	7.2	2.4	5	6.7	6	7.5	2020.1
1999-2019	SE	-	1609	JL	2006	5.7	5.9	-	-	-	-	-	-	4.9	5.1	-	-	6.1	6.7	4.6	6.5	1	-	2006	-	-	14.5	5	4	-	-	-	-	-	3.8	0.7	-	-	-	3.3	-	1.6	-	4.4	-	1.9	-	8.8	5.6	1	11	2	5.1	-	-	-	-	0.0	-	5.7	4.1	-	-	-	-	-	-	-	-	5.2	-	-	-	4.6	5.6	4.5	4.3	2.7	3.3	-	-	4.1	4.3	5.2	4.6	5.6	4	4.6	4.4	-	2020.1
1999-2019	SE	-	1604	FP	2010	7.1	7.6	-	-	-	-	-	-	6.1	7	11420	-	-	-	7.2	7.9	1	-	2010	5.1	5.6	13.6	4	5.2	-	-	1	-	-	5.5	1.4	-	-	-	6.1	-	6.5	-	6.7	-	6.9	-	8.9	6.2	1	15	3	3.7	-	-	-	-	1.0	-	4.7	5.9	6.1	2.5	-	-	-	-	-	5.7	3.9	-	-	-	5.9	6.3	3.7	5.1	4.3	2.8	-	6.9	5.9	1.8	7.4	7.3	3.2	3.8	-	-	7.1	2020.1
1999-2019	SE	-	1609	JL	2010	5.3	5.2	-	-	-	-	-	-	5	4.9	-	-	-	-	3.1	5.3	1	-	2010	2.8	5.2	3.5	5	3.3	-	-	2.9	-	-	3.2	1.5	-	-	-	3.1	-	2.3	-	4.2	-	2.3	-	10	4.2	1	15	2	4.2	-	-	-	-	0.0	-	4	2.8	2.3	5	-	-	-	-	-	2.5	5	-	-	-	2.9	5.4	3.8	3.8	2.6	4	-	-	2.8	4	5	2.6	6	2.3	-	-	-	2020.1
1999-2019	SE	-	1611	PIRAT	2010	5.1	6.2	-	-	-	-	-	-	1.3	8.3	-	-	-	-	4.8	7.8	1	-	2010	2.5	4	7.1	2	2.3	-	-	2	-	-	3.3	2.5	-	-	-	5.2	-	3.3	-	4.7	-	3.8	-	5.3	4.5	1	15	9	2.1	-	-	-	-	0.0	-	2.3	3.2	1.3	5	-	-	-	-	-	3	2.5	-	-	-	1.7	6	1.8	4.5	3	1.7	-	0	5.5	1.4	6	2.3	3.7	1.8	-	-	0.7	2020.1
1999-2019	SE	-	1612	FI	2014	1.8	1.7	-	-	3.7	-	-	7.1	2.4	-	-	2.6	-	-	-	1.8	1	1.2	2014	-	1.5	5.5	1.3	-	-	-	2.2	-	2.1	3.9	3.4	-	-	-	3.9	-	2.2	-	3.1	-	3.2	-	4.5	4.4	1	22	9	0.8	-	-	8.4	-	0.0	-	0.5	-	-	7.7	-	16	2	14	-	-	0.4	0.9	-	-	-	1.4	-	4.1	-	1.1	-	0	-	0.4	1	-	2.1	-	-	-	3.1	2020.1
1999-2019	SE	-	1604	FP	2014	7.0	7.5	-	-	7.1	-	-	1.9	5.1	-	11420	1.8	-	-	-	7.7	1	7.1	2014	-	5.6	9.9	3.4	-	-	-	1.0	-	4.5	5.2	1.4	-	-	-	6.1	-	6.4	-	6.5	-	6.9	-	6.5	5.7	1	22	3	3.1	-	-	5.7	-	0.5	-	2.2	-	-	2.2	-	13	5	8	-	-	3	2.8	-	-	-	6	-	5.6	-	2.1	-	5.4	-	1.9	6.4	-	3.8	-	-	-	5.4	2020.1
