n	CHES	PM	Name
1	BE	BE	Belgium
2	DK	DK	Denmark
3       GE      DE      Germany
4       GR      GR      Greece
5	ESP	ES	Spain
6	FR	FR	France
8	IT	IT	Italy
10	NL	NL	Netherlands
11	UK	GB	United Kindgom / Great Britain
13	AUS     AT      Austria
14      FIN     FI      Finland
16      SV      SE      Sweden
20	BUL	BG	Bulgaria
21	CZ	CZ	Czech Republic
22      EST     EE      Estonia
23      HUN     HU      Hungary
24	LAT	LV	Latvia
25	LITH	LT	Lithuania
26	POL	PL	Poland
29	SLE	SI	Slovenia
31	CRO	HR	Croatia
34	TUR	TR	Turkey
45	ICE	IS	Iceland
