country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
AT	1	1	2006	8	1307	42710	BZO	4.1	3.8	2006		1	1.0	2.5	5.8333335	2.5699999			2.17		3.5				4.2			2.83	1	8.83	6.0				8.83				6.170000076293945	6.329999923706055	6.329999923706055	3.5	3	5.5		8.829999923706055	7.5	7.829999923706055	6.670000076293945	4.5	5.170000076293945	9.5	9.170000076293945		9.6700001			6.670000076293945	6			9.5	9.3299999		5.3299999	5			2	5.1700001	9.670000076293945	7.670000076293945											2020.1
AT	1	1	2010	14	1307	42710	BZO	10.7	11.5	2008	4.579999923706055	1	0.0	2.428571462631226	5.6410255	2.8461537		2.9285715	3.357142925262451		3.214285612106323				3.846153736114502			2.857142925262451	1.214285731315613	8.285714149475098	7.285714149475098				7.785714149475098				7.285714149475098	6.214285850524902	7.785714149475098	6.785714149475098	6.428571224212646	5.071428775787354		7.714285850524902	7.5	7.357142925262451	6.428571224212646	5.846153736114502	5.214285850524902	8.571428298950195	8.642857551574707		8.7857141	8.5		4.615384578704834	4.571428775787354	7.2142859	3.5714285				4.5454545	4.7692308	6	4			8.071428298950195	7.07692289352417											2020.1
AT	1	1	2014	10	1307	42710	BZO	3.5	0	2013	.5	1	0.0	2.700000047683716	4.7777777	3.8333333		2.4285715	3		2.857142925262451		1.4		2.799999952316284			2.333333253860474	1.25	7.800000190734863	7.199999809265137	7			7.199999809265137	5.6999998			7		7		6.300000190734863		7	7.199999809265137		6.55555534362793		5.5		8.666666984558105			8.5555553			5		6.5					4.7142859		7.1111112				8.199999809265137		8.3000002				6.8888888	4.7142859		13	1	32	2020.1
AT	1	1	1999	5	1303	42420	FPO	26.9	28.4	1999	23.39999961853027	1	1.0	2.599999904632568	5	2.5			5.5	1.5		3.5			2.25	4.25	2	4		7.900000095367432	6.400000095367432				7.099999904632568																																																2020.1
AT	1	1	2002	8	1303	42420	FPO	10	9.8000002	2002	30.67000007629395	1	1.0	2.63	7.9333339	7.5			2.71		3	3		3.86	5	4.13	4	3.63		8.63	7.31				9																																																2020.1
AT	1	1	2006	8	1303	42420	FPO	11	11.5	2006	6.300000190734863	1	0.0	1.75	6.2666669	1.29			1.83		3				3.8			2.83	1	9.67	4.83				9.67				5.670000076293945	6.5	5.670000076293945	3.329999923706055	2.670000076293945	5.5		9	7.829999923706055	9.5	7.329999923706055	5.170000076293945	5.5	9.829999923706055	9.670000076293945		9.8299999			6.329999923706055	5.5			9.8299999	9.6700001		6.1700001	4.1700001			1.33	5.3299999	9.829999923706055	7.829999923706055											2020.1
AT	1	1	2010	14	1303	42420	FPO	17.54	18.6	2008	12.71000003814697	1	0.0	1.928571462631226	7.3809519	2.2857144		2.9285715	3.357142925262451		2.642857074737549				3.428571462631226			2.357142925262451	1.071428537368774	8.928571701049805	5.0				8.714285850524902				5.571428775787354	5.5	5.071428775787354	5.285714149475098	4.857142925262451	5.142857074737549		8.714285850524902	8.571428298950195	8.214285850524902	6.571428775787354	7	6.5	9.5	9.785714149475098		9.5714283	9.5714283		4.571428775787354	5.071428775787354	6.6428571	3.5				4.5	4.2857141	6	4.5			8.928571701049805	8											2020.1
AT	1	1	2014	10	1303	42420	FPO	20.5	21.9	2013	19.7	1	0.0	1.899999976158142	6.6999998	1.7		2.9000001	2.799999952316284		2.599999904632568		1.4444444		2.888888835906982			1.799999952316284	1	8.699999809265137	5.5	5			8.800000190734863	7			5.599999904632568		5.199999809265137		4.699999809265137		4.8888888	8.5		8.888889312744141		6.300000190734863		9.888889312744141			9.8999996			4.900000095367432		6					5.4444447		7.5				8.800000190734863		9.3999996				8	5.0999999		9	1	12	2020.1
AT	1	1	2019	10	1303	42420	FPO	16.2	16.9	2019	17.2	1	0.0	2.299999952316284	6.3000002	2.5	4.25				3.222222328186035		1.4444444		2.833333253860474		1	1.777777791023254		9.100000381469728	6.5	4.1999998	2.875	7	8.899999618530273	7.6999998	.5	1.75	6.699999809265137		6.099999904632568		5.599999904632568	5.900000095367432	6.5	9.399999618530273		8.399999618530273		5.888888835906982		9.800000190734863	9.699999809265137	.5	9.8999996	9.8999996	.5	6.333333492279053		8.3999996	3.0999999			6.1111112	5.7142859						9.100000381469727		9.8999996	3.875	9.3000002	8.1999998	7.5999999	4.8000002	8.666667				2020.1
AT	1	1	1999	5	1304	42110	GRUNE	7.4	7.6999998	1999	9.289999961853027	7	0.0	5.300000190734863	5	3.5000002			7	5		6.199999809265137			6	6.300000190734863	6.333333492279053	4		2.900000095367432	3.0				2																																																2020.1
AT	1	1	2002	8	1304	42110	GRUNE	9.5	9.3000002	2002	9.289999961853027	7	0.0	6.13	7.1000004	3.2			6.25		4.86	6.14		4	5.88	6.88	6	5.13		2.83	2.83				1.38																																																2020.1
AT	1	1	2006	8	1304	42110	GRUNE	11.1	11.5	2006	12.89999961853027	7	0.0	6.13	5.8333335	4			6		3.5				5.6			4.17	5.17	2.17	2.6				.83				1.669999957084656	7.329999923706055	2.329999923706055	5.670000076293945	1.5	7.170000076293945		.8299999833106995	8.170000076293945	.1700000017881393	8.5	.6700000166893005	4.170000076293945	1	9		.67000002			3	6.170000076293945			1.67	8.6700001		3.6700001	3.8299999			1	5.8299999	.5	6.829999923706055											2020.1
