country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
BG	0	1	2014	20	2016		ABV	4.2	4.5999999	2014	4	5	0.5	5.647058963775635	6.1176472	3.1538463		1.375	4.928571224212646		4.800000190734863		4.5		6			4.625	4.07692289352417	3.466666698455811	3.375	6.375			5.375	5.5333333			3.066666603088379		3.692307710647583		3.133333444595337		3.5625	5.333333492279053		5.785714149475098		3.714285612106323		6.461538314819336			5.2307692			5.533333301544189		6.5					4.75		6.1666665				5.785714149475098		5.25				6.1875	5.8000002		14	17	13	2020.1
BG	0	1	2014	20	2007	80710	ATAKA	4.5	4.5999999	2014	3	1	0.0	1.5	4.5882354	1.9285715		3	2.285714387893677		1.75		1.125		2.916666746139526			1.25	1.117647051811218	5.357142925262451	1.4375	5.4705882			9.647058486938477	7.5			2.071428537368774		.8571428656578064		1.411764740943909		1	9.5625		9.647058486938477		6.928571224212646		9.375			9.5714283			6.875		8					6		9.2142859				9.866666793823242		9.8235292				9.4705887	6.7647057		12	1	17	2020.1
BG	0	1	2019	21	2007	80710	Ataka			2017	1.1	1	0.5	2.200000047683716	4.4000001	1.875	2.2222223				2.666666746139526		1.4666667		4.153846263885498		1.1875	1.549999952316284		6.809523582458496	3.526315689086914	4.3684211	1.4444444	5.0999999	9.619047164916992	8.2857141	.83333331	.375	3.923076868057251		2.25		3.1875	6.5625	2.0588236	9.350000381469727		9.699999809265137		7.625		9.761904716491699	9.047618865966797	.68421054	9.6470585	7.3888888	.84210527	5.07692289352417		7.6666665	2.3333333			8.9473686	7.3846154						9.699999809265137		9.5500002	4.0526314	8.8500004	8	8.8095236	6	9.333333				2020.1
BG	0	1	2014	20	2015		BBT	5.7	6.3000002	2014	5.4	9	0.0	4.533333301544189	5	3.4615386		1.9230769	4.090909004211426		3.700000047683716		3.5		5.166666507720947			3.444444417953491	2.400000095367432	6.083333492279053	3.900000095367432	6.5625			7.454545497894287	6.0625			4.166666507720947		3.5		3		3.4615386	8.357142448425293		7.92307710647583		5.181818008422852		8.800000190734863			7.8000002			6.230769157409668		7.4166665					4.5714288		8.375				8.454545021057129		8				8.8235292	7.125		1	3	17	2020.1
BG	0	1	2019	21	2005		BMRO			2017	7.4	2	1.0	3.842105150222778	5.1500001	1.4285715	4.4285712				3.533333301544189		2.3125		5.071428775787354		1.647058844566345	2.450000047683716		6.900000095367432	4.809523582458496	4.5	1.8888888	5.2222223	9.5	8.2380953	1.1666666	.375	3.928571462631226		3		4.8125	5.5625	3.8235295	9.399999618530273		9.600000381469727		7.625		9.523809432983398	9.047618865966797	.68421054	9.5294113	7.3888888	.78947371	5.199999809265137		7	2.5263157			8.7368422	6.7692308						9.619047164916992		9.5	4.625	8.5789471	6.9000001	7.3809524	5.2631578	8.8947372				2020.1
BG	0	0	2006	12	2009		BNS	5.2	5.4000001	2005		9	0.0	6.0	7.2666669	1.73			5.38		6.13				6.67			6	4	5.8	6.0				5.44				5.670000076293945	5	6	4.570000171661377	5.110000133514404	4.5		5.699999809265137	5	4.880000114440918	3	4.139999866485596	2.670000076293945	5.570000171661377	3.829999923706055		5.4299998			6.880000114440918	6.329999923706055			6	4.4299998		5	3.5			6.8899999	5	4.889999866485596	5.110000133514404											2020.1
BG	0	1	2010	14	2009		BNS			2009		9	0.0	6.0	6.1904764	2		2.7272727	4		4.800000190734863				5.5			5.199999809265137	3.714285612106323	6.142857074737549	5.625				6.142857074737549				4.875	5	5.5	4.333333492279053	5.5	5		5.5	4.666666507720947	6.599999904632568	4.400000095367432	4.199999809265137	2.75	5.333333492279053	3.5		6.3333335	3.6666667		6.400000095367432	6	5.5	3.5				4.6666665	3.8	5.5	3			5.400000095367432	6											2020.1
BG	0	1	2014	20	2003	80221	BSP	14.6	15.4	2014	18.9	5	0.5	5.294117450714111	6.1176472	5.3125		1.4705882	5.384615421295166		4.75		4.125		6.4375			3.529411792755127	3.875	3.6875	3.470588207244873	7.2941175			5.9375	4.3125			3		3.666666746139526		3.176470518112183		3.0588236	5.625		5.769230842590332		3.266666650772095		6.199999809265137			5.3571429			6.058823585510254		6.6666665					5.6666665		6.2857141				4.933333396911621		5.1176472				4.0588236	4.7058825		14	13	17	2020.1
BG	0	1	2019	21	2003	80221	BSP	27.93	33.299999	2017	24.3	5	0.0	5.099999904632568	5.8000002	4.6363635	5.7777777				4.949999809265137		3.5333333		6.25		3.277777671813965	3.411764621734619		3.25	3.0	7.3333335	3.4000001	5.2727275	7.142857074737549	6.0476189	5.7692308	2.75	3.150000095367432		3		3	6.294117450714111	2.7	6.222222328186035		7.473684310913086		4.117647171020508		7.190476417541504	6.095238208770752	3.1578948	7.0555553	5.1666665	2.8947368	5.550000190734863		6.3000002	3.0952382			6.8421054	5.8666668						5.25		7.0999999	3.8	3.4000001	4.5999999	4.8571429	5.8499999	6.3333335				2020.1
BG	0	1	2019	21	2018		DB	2.96	0	2017		7	0.0	6.8125	9.0555553	1.8	.77777779				6.666666507720947		5.5714288		6.05555534362793		5.3125	5.833333492279053		6.050000190734863	6.777777671813965	6.8000002	3.6666667	4.181818	2.799999952316284	6.4499998	2.7272727	3.4285715	5.150000095367432		5.849999904632568		5.550000190734863	4.875	6.4499998	2.368421077728271		2.263157844543457		1.875		4.25	3.849999904632568	2.7333333	3.4736843	4.8333335	2.7058823	2.473684310913086		3.2105262	6.4000001			2.2222223	1.7857143						2.578947305679321		2.1052632	6.8947368	1.6111112	2.9000001	5.0999999	8.3157892	4.0500002				2020.1
