country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
ES	1	1	2014	10	524	33092	Amaiur	1.2	1.7	2011		8	0.0	4.714285850524902	6.1999998	2.2		2.3333333	5		3.666666746139526		2		6.800000190734863			3	4.666666507720947	1.888888835906982	1.142857193946838	5.8888888			2.142857074737549	5.875			2.25		1.285714268684387		1.666666626930237		1.375	1.714285731315613		1.555555582046509		2.125		3.333333253860474			5.4000001			5.857142925262451		5.2857141					.11111111		8.166667				1.666666626930237		8.4444447				5.375	5.75		12	4	7	2020.1
ES	1	1	1999	12	513	33908	BNG	.9	.60000002	1996	1.649999976158142	8	0.0	4.727272510528564	3.958333	2.1875			6.199999809265137	6.199999809265137		5.400000095367432			6.55555534362793	6	6	4.5		3.125	3.0				3.083333253860474																																																2020.1
ES	1	1	2002	13	513	33908	BNG	1.3	.89999998	2000	1.649999976158142	8	0.0	5.67	6.3000002	1.9000001			5		4.8	5.5		6.33	6.36	6.14	6.25	5.5		3.25	3.25				3.73																																																2020.1
ES	1	1	2006	13	513	33908	BNG	.8	.60000002	2004		8	0.0	4.5	3.6999996	2.5699999			4.63		4.33				6.63			4.6	4.2	2.36	2.18				2				1.700000047683716	6.5	2.130000114440918	5.25	2.450000047683716	5.5		2.599999904632568	6.380000114440918	1.669999957084656	5.199999809265137	1.600000023841858	3.880000114440918	4.440000057220459	5		5.4000001			6.139999866485596	3.380000114440918			7.4000001	7.3299999		.89999998	9.5			1.4	4.1300001	2.380000114440918	7.5											2020.1
ES	1	1	2010	11	513	33908	BNG	.8	.60000002	2008		8	0.0	4.818181991577148	3.6666663	2.125		2	4.900000095367432		4.333333492279053				6.727272510528564			5.142857074737549	4.75	2.363636255264282	2.090909004211426				1.727272748947144				1.777777791023254	6.75	1.600000023841858	5	2	6.5		3.272727251052856	5.699999809265137	1.100000023841858	6.222222328186035	1.333333373069763	3.875	3.400000095367432	6.400000095367432		4.125	5.6666665		4.199999809265137	3.200000047683716	2.5714285	6.6666665				.40000001	9.8000002	5.6666665	2.75			1.714285731315613	7.375											2020.1
ES	1	1	2014	10	513	33908	BNG	.8	.60000002	2011	0	8	0.0	5.0	6	2.5714285		2	6.25		4.5		2.5		7			3.833333253860474	4.5	2.444444417953491	2.125	6.6666665			1.777777791023254	5.875			1.888888835906982		1.555555582046509		1.799999952316284		1.9	2.444444417953491		1.444444417953491		1.666666626930237		2.400000095367432			4			6.25		3.875					.69999999		6.125				1.875		8.375				5.4285712	5.6666665		4	12	14	2020.1
ES	1	1	2019	15	513	33908	BNG	.5	.30000001	2019		8	0.0	5.545454502105713	4.5	2	3.5				5.666666507720947		4.1999998		6.222222328186035		4.333333492279053	4		3.142857074737549	2.923076868057251	5.2222223	2	2.4000001	3.083333253860474	4.625	1.8	3	3.083333253860474		3.272727251052856		2.916666746139526	6.400000095367432	3.3636363	3.181818246841431		2.599999904632568		1.899999976158142		3.555555582046509	4	1.125	3.3	5	1	5.166666507720947		3.7777777	5.1111112			6.625	.66666669						1.600000023841858		6	.1	.33333334	6.6666665	2.8571429	5	7.125				2020.1
ES	1	1	2014	10	526		C's			2011	3.2	3	0.0	6.666666507720947	6.5999999	.85714287		1	6.833333492279053		6.166666507720947		5		6.75			6.714285850524902	4.666666507720947	5.55555534362793	6.5	6.3333335			3.222222328186035	5.7777777			5.125		6.111111164093018		5.75		5.75	5.333333492279053		2.888888835906982		3.111111164093018		6.25			6			3.857142925262451		4.1999998					7		4				6.166666507720947		5				6.3333335	8.2222223		3	12	1	2020.1
ES	1	1	1999	12	517	33907	CC	.9	1.1	1996	1.600000023841858	8	0.0	6.0	5.25	1.9444444			6	4.5		5.833333492279053			6.666666507720947	5.142857074737549	5.833333492279053	5.583333492279053		5.666666507720947	5.599999904632568				5.708333492279053																																																2020.1
ES	1	1	2002	13	517	33907	CC	1.1	1.1	2000	1.600000023841858	8	0.0	6.18	6.9999995	2.0888891			5.43		5.67	5.8		6.43	6.88	5.86	6	5.8		5.91	6.0				5.7																																																2020.1
ES	1	1	2006	13	517	33907	CC	.9	.89999998	2004		8	0.0	5.27	4.8000002	1.5700001			4.86		5.67				6.75			5.86	4.4	6.36	6.1				5.9				5.889999866485596	5.75	5.139999866485596	4.860000133514404	5.440000057220459	4.110000133514404		5.289999961853027	6	4.289999961853027	4.25	5	3.880000114440918	6.380000114440918	7.090000152587891		6.3800001			5	2.880000114440918			6.9000001	6.6700001		1.5	9.3000002			4.6700001	3.3299999	3.710000038146973	7.880000114440918											2020.1
ES	1	1	2010	11	517	33907	CC	.6	.60000002	2008		8	0.0	5.599999904632568	4.0740743	1.3333334		1.6666666	4.75		5.454545497894287				6.727272510528564			5.75	4.199999809265137	6.181818008422852	6.0				6				6	5.666666507720947	5.333333492279053	5.222222328186035	5.199999809265137	4.900000095367432		5.181818008422852	5.090909004211426	5.375	4.400000095367432	5	3.777777671813965	5.571428775787354	8		6.2857141	6.4285712		5.199999809265137	3.200000047683716	6.3333335	4.2857141				1.2	9.1000004	4.5	2.4444444			3.428571462631226	7											2020.1
ES	1	1	2014	10	517	33907	CC	.6	.60000002	2011	0	8	0.0	6.375	6.6666665	1.3333334		1	6.400000095367432		6.166666507720947		4.8333335		7			6.666666507720947	4.666666507720947	6.0	6.375	7.2222223			5.25	5.7777777			5.571428775787354		6.375		5.875		5.7777777	6		5.142857074737549		5.142857074737549		6.44444465637207			6.5714288			5.666666507720947		3.4285715					2.5		4.6666665				5.125		6.875				1.8571428	4.2857141		4	13	12	2020.1
