country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
FI	1	1	2006	11	1409	14520	KD	5.3	3.5	2003	4.28000020980835	4	0.0	4.0	4.2333331	2.73			3.91		3.82				5			3.91	2.91	6.55	5.0				8.380000000000001				4.329999923706055	5.670000076293945	4	4.130000114440918	3.559999942779541	5.5		5.630000114440918	4.889999866485596	7.670000076293945	7.440000057220459	8.220000267028809	8.329999923706055	5.110000133514404	4.670000076293945		6			5.440000057220459	5.78000020980835			6.4400001	4.5599999		4.25	4			4.8899999	3.8900001	4.889999866485596	3.440000057220459											2020.1
FI	1	1	2010	10	1409	14520	KD	4.9	3.5	2007	4.170000076293945	4	0.0	3.777777671813965	4.666667	4		2.2	3.777777671813965		4.222222328186035				5.125			3.125	2.444444417953491	6.599999904632568	4.699999809265137				8.100000381469727				4.599999904632568	5.400000095367432	4.222222328186035	4.55555534362793	4	4.800000190734863		6.300000190734863	5.333333492279053	8.199999809265137	7.400000095367432	9.333333015441895	8.875	6	5.55555534362793		6.8888888	4.8571429		5.777777671813965	4.888888835906982	5.3333335	3.9000001				4.625	3.25	5.2222223	3.2222223			5.44444465637207	3.777777671813965											2020.1
FI	1	1	2014	10	1409	14520	KD	4	3	2011	5.2	10	1.0	3.900000095367432	4.8000002	2.6666667		2.0999999	4		4.222222328186035		2.625		4.375			4.111111164093018	2.333333253860474	6.222222328186035	5.44444465637207	5.4444447			9	9.2222223			5.5		5.285714149475098		4.714285850524902		5.25	7.25		9.25		9.25		6.142857074737549			7.2857141			5.428571224212646		5.875					5.2857141		5.4285712				5.714285850524902		7.125				2.25	4		15	16	13	2020.1
FI	1	1	2019	14	1409	14520	KD	3.9	2.5	2019	4.9	10	0.0	3.928571462631226	4.1428571	3.6363637	2.5				4.300000190734863		3.5555556		4.44444465637207		3.454545497894287	3.222222328186035		6.857142925262451	5.714285850524902	5.8571429	4	4.4000001	8.785714149475098	7.6923075	1.25	2	5.07692289352417		5.214285850524902		4.785714149475098	6	4.7857141	6.357142925262451		8.428571701049805		9.384614944458008		5.769230842590332	5.307692527770996	3.8181818	6.3571429	5.7692308	3.3	5.357142925262451		6.0769229	4.8333335			4.8888888	3.8888888						6		6.9285712	2.375	2.8181818	3.5	3	3.2	6.2727275				2020.1
FI	1	1	1999	5	1403	14810	KESK	22.4	24	1999	21.29999923706055	11	0.0	4.0	5.5	4.5			3	2.400000095367432		2.799999952316284			4.400000095367432	5.599999904632568	2.200000047683716	2.200000047683716		5.599999904632568	5.400000095367432				7.599999904632568																																																2020.1
FI	1	1	2002	9	1403	14810	KESK	22.4	24	1999	21.29999923706055	11	0.0	4.78	5.9333334	5.188889			4		3.78	3.88		5.88	5.29	4.38	3.86	3		6.11	4.89				7.22																																																2020.1
FI	1	1	2006	12	1403	14810	KESK	24.7	27.5	2003	23.39999961853027	11	1.0	5.75	5.8333335	5			4.64		5				6			5.09	4.45	5.45	5.0				6.9				4.670000076293945	5.329999923706055	4.130000114440918	4.880000114440918	4.559999942779541	4.880000114440918		6.130000114440918	4.440000057220459	6.21999979019165	5.110000133514404	5.559999942779541	4.329999923706055	5.670000076293945	3.890000104904175		5.6700001			7.21999979019165	8			6.4400001	4.3299999		2.5	6.8800001			3.8900001	3.8900001	5.329999923706055	3.220000028610229											2020.1
FI	1	1	2010	10	1403	14810	KESK	23.1	25.5	2007	19.03000068664551	11	1.0	5.400000095367432	6	5.9000001		1.8	4.44444465637207		4.900000095367432				5.666666507720947			4.125	3.900000095367432	5.699999809265137	5.300000190734863				6.400000095367432				5	5.199999809265137	4.099999904632568	6.222222328186035	4.300000190734863	5		5.800000190734863	4.699999809265137	6.099999904632568	4.400000095367432	6.375	4.25	5.800000190734863	4.599999904632568		6.5	4.2222223		8.899999618530273	8.333333015441895	6.2222223	5.3000002				1.7777778	6.8888888	5.3333335	3.4444444			5.900000095367432	3.777777671813965											2020.1
FI	1	1	2014	10	1403	14810	KESK	15.8	17.5	2011	19.7	11	0.0	4.5	5	5		1.6	4.777777671813965		4.400000095367432		3.3333333		5.333333492279053			4.111111164093018	3.555555582046509	5.55555534362793	5.44444465637207	7.5555553			7	5.1111112			5.75		5.714285850524902		5.285714149475098		5.5	6.25		6.75		6.25		5.625			6.25			8.5		6.75					2.625		5.4285712				5.5		6.75				3.75	3.3333333		4	18	13	2020.1
FI	1	1	2019	14	1403	14810	KESK	13.8	15.7	2019	13.5	11	1.0	4.857142925262451	4.7857141	4.9166665	3.5				4.666666507720947		3.1818182		5.777777671813965		3.636363744735718	3.700000047683716		5.857142925262451	6.071428775787354	7.2857141	5.1111112	5	6.714285850524902	5.2857141	4.5	5.5999999	5.769230842590332		6.071428775787354		4.928571224212646	6.642857074737549	5.2857141	6.142857074737549		5.357142925262451		6.333333492279053		5.571428775787354	4.571428775787354	6	6.1428571	5.1428571	5.7142859	8.785714149475098		6.2857141	6.5			5.5833335	1.8461539						5.642857074737549		6.3571429	3	1.7272727	2.5833333	2.1538463	2.6363637	5.7272725				2020.1
