country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
FR	1	1	2014	14	623	31631	AC	.6	.30000001	2012	1.4	3	0.0	6.599999904632568	8.666667	1.25		1.4	6		6.5		5.1999998		5.666666507720947			5	2	6.599999904632568	6.800000190734863	7.7272725			6.166666507720947	5.3000002			6.199999809265137		6.199999809265137		6		6.4000001	6.199999809265137		5.199999809265137		5.599999904632568		6.5			6			5		7					5		4.25				5.75		5.8000002				2.8	3.5999999		17	13	18	2020.1
FR	1	1	1999	7	619		CPNT			1997	6.800000190734863	11	0.0	2.333333253860474	5.5	.625			4	2.666666746139526		2.5			2.5	1.333333373069763	2.333333253860474	2.333333253860474		7.800000190734863	7.25				7.875																																																2020.1
FR	1	1	1999	7	618		D			1997		9	0.0	4.5	4.583333	2.0833335			3.5	5		2.75			1	1	1	2.666666746139526		7.658333301544189	9.0				9																																																2020.1
FR	1	1	1999	7	615		DL			1997		2	0.0	6.142857074737549	6.7857141	2.1428571			4.571428775787354	4.599999904632568		5.166666507720947			4.900000095367432	5.166666507720947	4.199999809265137	5.333333492279053		7.214285850524902	7.428571224212646				6.428571224212646																																																2020.1
FR	1	1	2002	13	615		DL	.4		2002		2	0.5	5.92	5.9000001	3.1666665			4.22		5.75	3.9		4.9	5	4.56	4.89	5.33		7.07	8.17				5.92																																																2020.1
FR	1	1	2019	8	628		DLF	1.17	.2	2017	3.51	1	0.0	1.428571462631226	8.4285717	1.3333334	2.5				2.5		1		2.333333253860474		1	1.200000047683716		9.0	7.0	5	5	5.75	8.285714149475098	7.5999999	.5	3.25	6.5		5.75		6.400000095367432	4.599999904632568	5.75	9		8.399999618530273		5.5		9.333333015441895	9	.25	9.6000004	8.5	1	7.5		6.5	1			8.6000004	5.5						9.399999618530273		9.3999996	1.4	9.1999998	4.75	8.1999998	5.1999998	8.75				2020.1
FR	1	1	2014	14	605	31110	EELV	5.5	2.9000001	2012	9	7	0.5	6.214285850524902	6.4615383	3.5833333		1.0769231	6.615384578704834		4		3.5833333		6			5.888888835906982	4.75	3.083333253860474	3.25	5.6666665			1.416666626930237	7.75			2		2.272727251052856		2		2.4545455	1.545454502105713		.5454545617103577		1.818181872367859		2.099999904632568			1.8181819			2.714285612106323		.81818181					1.8		6.3000002				1.399999976158142		1.5454545				5.3636365	6		6	2	14	2020.1
FR	1	1	2019	8	605	31110	EELV	4.3	.2	2017	13.48	7	0.0	6.375	6.875	3.6666667	1.75				5		4		6		5.428571224212646	4.833333492279053		2.5	2.875	5.625	6	4	1.625	6.75	3	.75	1.75		1.625		2.375	6.5	2.625	1.25		.625		.8333333134651184		1.625	4.25	2.3333333	1.5714285	5.3333335	2	3.833333253860474		1.625	9.375			5.1428571	2.6666667						2		1.25	3.1666667	1.5714285	5.75	4.2857141	4.1428571	3.5				2020.1
FR	1	1	2014	14	625		Ensemble			2012		6	0.0	3.25	7.7272725	4		2	4		3.5		2		4			3.5	4	2.5	2.333333253860474	8.3000002			3.5	5.7777777			2.375		2		2		2	4.142857074737549		3.25		1.625		4.833333492279053			4.8000002			3.5		4.7142859					3.5999999		5.1999998				4.5		4				7.5	6.8571429		14	23	50	2020.1
FR	1	1	2019	8	627		FI	11.03	3.2	2017	6.31	6	0.0	2.875	6.875	6.5	4.75				2.200000047683716		1.1666666		3.833333253860474		2.833333253860474	2.166666746139526		1.25	0.875	8.875	2	1.5	3.125	4.75	4.75	2.5	.625		.5		.625	8.875	.875	1.875		1		.3333333432674408		4	4.5	4.8571429	3.8571429	5.1666665	4.8000002	1.799999952316284		3.875	6.5			8.25	5.1999998						2.25		2.875	2.5	1.8333334	7	9.5714283	5.7142859	7.75				2020.1
FR	1	1	1999	7	610	31720	FN	14.9	.2	1997	5.699999809265137	1	0.0	1.142857193946838	6.0714288	.71428567			1.714285731315613	1.600000023841858		2.166666746139526			2.25	1.600000023841858	1.200000047683716	1.200000047683716		8.70714282989502	8.714285850524902				8.70714282989502																																																2020.1
FR	1	1	2002	13	610	31720	FN	11.1	0	2002	5.699999809265137	1	0.0	1.0	8.4666662	.94444448			1.73		1.1	1.89		4.44	3.14	1.5	1	1.67		9.92	6.0				9.800000000000001																																																2020.1
FR	1	1	2006	9	610	31720	FN	11.1	0	2002	9.800000190734863	1	0.0	1.0	7.4000001	.22			1.5		1.63				2.4			1.14	1	10.0	6.63				9.25				6.800000190734863	4.5	4.75	4.800000190734863	8	3.799999952316284		9.670000076293945	9.5	8.710000038146973	7	6.860000133514404	6.429999828338623	8.569999694824219	8.569999694824219		9.8299999			6	3.5			9.8299999	9.75		7.5	4			3.5699999	6.5999999	10	8.859999656677246											2020.1
FR	1	1	2010	9	610	31720	FN	4.7	0	2007	6.340000152587891	1	0.0	1.222222208976746	7.4074078	1.3333334		3	1.875		1.777777791023254				2.875			1.25	1	9.88888931274414	6.5				9.55555534362793				7	4	5	3.222222328186035	7	2.375		10	9.375	9.666666984558105	7.25	5.44444465637207	6.25	10	9.888889312744141		9.2222223	8.25		6.571428775787354	5	8.125	2.875				5	3.4285715	5	4.8333335			9.875	9.571428298950195											2020.1
FR	1	1	2014	14	610	31720	FN	13.6	.30000001	2012	24.9	1	0.0	1.214285731315613	8.4615383	1.0833334		3	2.153846263885498		1.416666626930237		1.0833334		1.571428537368774			1.375	1.100000023841858	9.636363983154297	5.909090995788574	5.4166665			8.916666984558105	7.8333335			5.5		3.636363744735718		5.090909004211426		3.7272727	9.199999809265137		8		3.636363744735718		9.800000190734863			9.727273			6.833333492279053		7.5454545					8		5				9.909090995788574		8.818182				9.545455	7.909091		9	11	1	2020.1
FR	1	1	1999	7	614		LO-LCR			1997	5.179999828338623	6	0.0	1.285714268684387	3.9285712	.83333343			3.5	1		2.200000047683716			3.666666746139526	4.199999809265137	5.5	2.5		0.1428571492433548	0.2142857164144516				6																																																2020.1
