country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
GB	1	1	2010	16	1109		BNP	1.9	0	2010	6.199999809265137	1	0.0	1.200000047683716	7.5555553	1.4545455		3	1.25		1.909090876579285				1.272727251052856			1.166666626930237	1.100000023841858	9.928571701049805	5.846153736114502				9.533333778381348				3.75	3.111111164093018	2.666666746139526	2.25	3.666666746139526	3.714285612106323		9.916666984558105	8	9.615385055541992	7.599999904632568	6.777777671813965	3.888888835906982	10	10		10	9.916667		3	4.375	7.6666665	1.8888888				8.8571424	3.375	4.5	3.1111112			9.84615421295166	9.583333015441895											2020.1
GB	1	1	2019	17	1110		BREXIT	2.01	0	2019	31.6	1	0.0	1.875	8.2857141	2	3				2.666666746139526		1.5454545		4		1.5	1.25		8.199999809265137	6.888888835906982	4.3333335	3	3.3333333	8.615385055541992	7.4615383	1.75	.75	6.599999904632568		6.333333492279053		6.375	4.333333492279053	6.5714288	8.100000381469727		8.571428298950195		9.285714149475098		8.600000381469727	6.199999809265137	1.7777778	7.5	6.625	2	6		7.5	2.6666667			7	5.6999998						7.300000190734863		8.8000002	2.4000001	4	4.625	6	1	7.8571429				2020.1
GB	1	1	1999	13	1101	51620	CONS	30.7	25	1997	35.77000045776367	2	0.0	2.153846263885498	6.875	5			2.5	1.083333373069763		1.461538434028625			2.916666746139526	3.166666746139526	2.230769157409668	2.583333253860474		6.92307710647583	7.692307472229004				7.083333492279053																																																2020.1
GB	1	1	2002	18	1101	51620	CONS	31.7	25.200001	2001	35.77000045776367	2	0.0	2.0	8.1333332	7.4666662			1.61		4.28	1.65		2.13	2.93	2.33	2.47	1.72		7.72	8.06				8.17																																																2020.1
GB	1	1	2006	9	1101	51620	CONS	32.4	30.700001	2005	26.70000076293945	2	0.0	2.56	5.1999998	6.2199998			2.63		6.13				4.25			2.5	4.13	6.56	7.0				6				5.78000020980835	6.440000057220459	7.670000076293945	7.5	7.630000114440918	5.570000171661377		7.289999961853027	6.880000114440918	5	5.139999866485596	6	4	8	7.880000114440918		7.5			6.429999828338623	5.860000133514404			7.29	7.29		6.29	4.5700002			7.1399999	5.29	7.139999866485596	7.139999866485596											2020.1
GB	1	1	2010	16	1101	51620	CONS	36.1	47.200001	2010	27.70000076293945	2	1.0	2.266666650772095	5.5555558	5.4000001		2.2	2.333333253860474		5.692307472229004				3.416666746139526			2.75	5.333333492279053	7.133333206176758	7.642857551574707				6.266666889190674				7	7.142857074737549	7.357142925262451	7.166666507720947	6.642857074737549	5.230769157409668		6.928571224212646	6.538461685180664	4.857142925262451	5.416666507720947	5.75	3.545454502105713	7.571428775787354	7.461538314819336		6.9166665	6.6153846		7	5	6.2307692	4.3333335				5	4.9166665	3.0769231	5.0833335			5.25	4.727272510528564											2020.1
GB	1	1	2014	7	1101	51620	CONS	36.1	47.200001	2010	23.9	2	1.0	3.142857074737549	7.4285712	7.2857141		2	2.833333253860474		5.857142925262451		2		3.200000047683716			3.5	3.599999904632568	7.0	7.857142925262451	9			6.142857074737549	4.8571429			8.142857551574707		7.857142925262451		6.833333492279053		7.4285712	7.428571224212646		4.857142925262451		6.5		8			7.1666665			5.833333492279053		7.5714288					5.2857141		3.7142856				5.142857074737549		7.3333335				2.1666667	3.1666667		13	9	5	2020.1
GB	1	1	2019	17	1101	51620	CONS	43.63	57.799999	2019	9.1	2	1.0	1.529411792755127	9.5882349	4.625	1.5555556				2.666666746139526		1.2		2.25		1.133333325386047	1.200000047683716		7.117647171020508	7.058823585510254	6.25	3.4545455	4	6.176470756530762	5.1176472	4.8333335	4	6.235294342041016		7.8125		6.647058963775635	5.117647171020508	6.2352943	7.375		3.9375		5.909090995788574		7.588235378265381	8.29411792755127	2.75	6.5	6.7142859	2.8461537	6.599999904632568		6.1764708	3.5882354			4.5333333	6.3571429						6.199999809265137		7.7647057	2	4.8571429	4.625	7	.9285714	8				2020.1
GB	1	1	1999	13	1107		GREEN	.200000002980232	0	1997	6.25	7	0.0	4.44444465637207	4.375	2.5			5.333333492279053	4.75		6.25			6	7	5.75	4.75		2.25	1.875				1.777777791023254																																																2020.1
GB	1	1	2006	9	1107		GREEN	1	0	2005	6.300000190734863	7	0.0	3.78	4.4333329	4			5.5		3.57				5.67			4.17	4.5	2.89	2.88				2.25				2.75	5.289999961853027	2.880000114440918	4.5	2.829999923706055	6		2.329999923706055	5.139999866485596	1.5	5.829999923706055	2.329999923706055	2.5	3.569999933242798	3.289999961853027		3.4300001			5.670000076293945	4.5			1.67	4.5		1.14	8.1400003			1	6.1399999	2.829999923706055	3.329999923706055											2020.1
GB	1	1	2010	16	1107		GREEN	1	.2	2010	8.100000381469727	7	0.0	4.692307472229004	4.7619047	2.4545455		1.8666667	4.800000190734863		3.666666746139526				5			4.111111164093018	4.875	2.533333301544189	1.923076868057251				1.428571462631226				2	6.5	2.307692289352417	4.454545497894287	2.076923131942749	5.55555534362793		2	5.333333492279053	.8461538553237915	6.454545497894287	1.909090876579285	2	2.5	4.272727489471436		2.6666667	4		4.875	2.777777671813965	.61538464	9				1.8	6.2222223	7.9000001	4.9000001			2.222222328186035	5.625											2020.1
GB	1	1	2014	7	1107		GREEN	1	.2	2010	7.9	7	0.0	5.166666507720947	4.5714288	4		1.4285715	6		3.75		3		6.5			4.25	4	1.857142806053162	2.0	5.2857141			1	6.8571429			1.5		1.714285731315613		1.833333373069763		2.1428571	1.200000047683716		.8333333134651184		2		2.142857074737549			2			5		.42857143					2		6.8000002				1.166666626930237		1.1666666				7.6666665	5.1428571		6	14	2	2020.1
GB	1	1	2019	17	1107		GREEN	2.7	.2	2019	12.1	7	0.0	6.705882549285889	7.7647057	.875	1.2857143				5.538461685180664		5		5.833333492279053		5.916666507720947	5.25		2.0	2.117647171020508	5.4000001	1.6	1.4	.8125	6.7857141	2	1	2		1.666666626930237		1.875	6.4375	1.875	1.785714268684387		.7058823704719543		2.400000095367432		1.70588231086731	4.266666889190674	1.4166666	2.5	5.0833335	1.2222222	3.363636255264282		1	9.0588236			5.8888888	2.5999999						1.923076868057251		1.3125	3.25	2.2142856	5.9230771	5.0666666	2.2307692	2.6153846				2020.1
GB	1	1	1999	13	1102	51320	LAB	43.2	63.599998	1997	28.03000068664551	5	1.0	5.384615421295166	5.1923079	3.4615386			4.727272510528564	2.833333253860474		4.25			5.083333492279053	5.75	4.384615421295166	5.461538314819336		4.730769157409668	4.846153736114502				4.5																																																2020.1
GB	1	1	2002	18	1102	51320	LAB	40.7	62.5	2001	28.03000068664551	5	1.0	5.22	6.8666663	3.7666664			3.76		5.39	4.63		2.12	4.93	4.94	5.13	5.19		5.18	5.28				4.83																																																2020.1
GB	1	1	2006	9	1102	51320	LAB	35.2	55	2005	22.60000038146973	5	1.0	5.22	4.4333329	4			4.63		6.13				5.63			5.25	5.75	4.88	4.44				4.67				3.670000076293945	7	6	5.380000114440918	4.380000114440918	6.570000171661377		7.139999866485596	6.75	3.140000104904175	6.139999866485596	5	3.289999961853027	6.5	6		6.3800001			3.140000104904175	4			5.29	5.29		4.5700002	4.71			7.1399999	5.8600001	4.139999866485596	5.829999923706055											2020.1
