country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
HR	0	1	2014	9	3107	81952	HDSSB	3	4	2011	1.7	8	0.0	4.75	6.2222223	1.1666666		1.6666666	3.333333253860474		4		2.5714285		6.125			4.400000095367432	3.5	8.44444465637207	5.0	5.625			8.625	6.6666665			5.166666507720947		4.599999904632568		3.833333253860474		4.1428571	7.428571224212646		8.55555534362793		8.5		7.5			8.3999996			8.25		6.1428571					2.375		4.4000001				8.44444465637207		8.5555553				6.7777777	5.1428571		4	12	18	2020.1
HR	0	1	2019	24	3107	81952	HDSSB	1.19	.69999999	2016		8	0.0	3.900000095367432	4.2941175	3.6666667	3.8461537				3.470588207244873		2.7222223		6.210526466369629		2.176470518112183	2.529411792755127		8.409090995788574	5.0625	4.5882354	1.5	5.2222223	8.545454978942871	6.5714288	2.3333333	3.75	3.923076868057251		4.266666889190674		3.666666746139526	5.764705657958984	3.5882354	7.75		8.217391014099121		7.863636493682861		8.800000190734863	5.571428775787354	1.2941177	8	4	1.1875	8.095237731933594		5.6428571	3.3888888			8.4210529	1.5217391						8.434782981872559		8.695652	.9285714	2.8421052	5.5454545	5.521739	4	8.9047623				2020.1
HR	0	1	2014	9	3101	81711	HDZ	21.9	27.200001	2011	27.6	4	0.0	6.222222328186035	7.6666665	1.5555556		1.5555556	5.833333492279053		6.125		4.375		6.875			6.125	3.799999952316284	7.333333492279053	5.333333492279053	6.625			8.25	8.2222223			6.55555534362793		6.44444465637207		5.5		5.3333335	7		8.111110687255859		8.44444465637207		7.142857074737549			7.8000002			6.571428775787354		6.5555553					6.625		2.125				6.777777671813965		8.1111107				2.7777777	4.7777777		12	13	15	2020.1
HR	0	1	2019	24	3101	81711	HDZ	34.59	41.5	2016	22.72	4	1.0	6.666666507720947	9.041667	3.125	1.9375				5.91304349899292		5.2173915		6.636363506317139		4.318181991577148	5.08695650100708		6.875	4.833333492279053	7.4166665	4.0999999	4.3846154	7.125	7.5	6.6111112	4.8333335	5.130434989929199		4.695652008056641		4.545454502105713	5.909090995788574	4	6.5652174949646		6.833333492279053		7.541666507720947		7.695652008056641	5.541666507720947	2.652174	7.7142859	4.0476189	3.45	6.045454502105713		6.409091	3			5.5652175	7						6.083333492279053		7.5833335	1.9523809	1.5	1.8333334	1.125	3.25	8.375				2020.1
HR	0	1	2019	24	3119		HKS			2016	4.26	2	0.0	2.61904764175415	5.9000001	2.2	1.9285715				2.823529481887817		1.8333334		4.571428775787354		1.368421077728271	1.842105269432068		9.260869979858398	6.0	3.5625	1.5	4.5	9.47826099395752	8.7142859	.5714286	2.8	5.214285850524902		5.583333492279053		5.07692289352417	5.0625	5.3571429	8.619047164916992		9.454545021057129		9.34782600402832		9.263157844543457	7.947368621826172	.70588237	9.2222223	7	.70588237	6.733333110809326		6.090909	2.2666667			8.2777777	7.8000002						9.363636016845703		9.545455	1.6666666	4.4499998	7.352941	7.1500001	6.4705882	8.8947372				2020.1
HR	0	1	2014	9	3112	81230	HL-SR	4.2	4	2011	3.4	5	0.0	5.55555534362793	6.1111112	1.75		1.7777778	5		3.75		2.75		5.875			4.285714149475098	5	2.0	2.0	8.875			2.125	6			3.111111164093018		2.222222328186035		1.25		2.1111112	2.428571462631226		2.333333253860474		2.555555582046509		3.857142925262451			3.5999999			2.714285612106323		4.75					3		6.1999998				2.285714387893677		2.6666667				7.8888888	7.75		14	17	1	2020.1
HR	0	1	2014	9	3105	81712	HNS	6.7	8.6000004	2011	7.5	3	1.0	7.0	9.333333	1.1111112		1	6		6.75		5.375		6.875			6.5	5.599999904632568	4.0	6.111111164093018	7.625			1.75	7.6666665			6.55555534362793		7.333333492279053		6.25		6.3333335	2.5		1.333333373069763		1.666666626930237		3			2.2			1.857142806053162		6.6666665					4.375		3.7142856				1.555555582046509		1.4444444				1.4444444	5.3333335		8	13	5	2020.1
HR	0	1	2019	24	3105	81712	HNS	5.37	6.0999999	2016	2.6	3	1.0	6.5652174949646	7.3913045	1.5	1.0625				6.608695507049561		5.521739		6.238095283508301		5.136363506317139	5.199999809265137		4.291666507720947	6.291666507720947	7.5416665	2.3	2.8461537	1.916666626930237	7.2916665	1.4705882	3.3333333	6.5652174949646		7.130434989929199		5.954545497894287	4.761904716491699	6.478261	3.08695650100708		1.583333373069763		1.416666626930237		4.363636493682861	3.375	2.0476191	3.8947368	3.1052632	1.7368422	2.142857074737549		6.4545455	2.9545455			3.4782608	4						2.833333253860474		2.375	1.6666666	.65217394	2.0833333	1.0416666	3.375	8.681818				2020.1
HR	0	1	2014	9	3104	81410	HSLS	3	0	2011	.6	3	0.0	6.333333492279053	6.6666665	1		1.1111112	6		6		4.625		6.571428775787354			5.800000190734863	5	5.333333492279053	7.111111164093018	7.625			3.25	7			7.44444465637207		7.666666507720947		7		7.6666665	3.285714387893677		2.888888835906982		4.111111164093018		4.285714149475098			4.8000002			3.5		6.6666665					4.2857141		3.5				4.125		4.5555553				2.875	6.2222223		13	5	8	2020.1
HR	0	1	2019	24	3104	81410	HSLS	.58	.69999999	2016		3	0.0	6.47826099395752	6.1999998	1.5	2.3125				6.363636493682861		5.1904764		6.199999809265137		5	4.736842155456543		5.34782600402832	6.958333492279053	7.9047618	2.5555556	2.4615386	3.545454502105713	5.4545455	2.8125	4.1999998	7.095238208770752		7.65217399597168		6.714285850524902	5.222222328186035	7.1363635	3.285714387893677		2.409090995788574		2.799999952316284		5.157894611358643	3.25	2.1764705	4.8000002	2.875	1.9285715	2.444444417953491		6.6666665	3.05			3.0952382	3.5263157						3.954545497894287		3.8636363	1.2222222	.31818181	3	2.2380953	5.181818	8.227273				2020.1
