country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
PT	1	1	1999	5	1208	35211	BE	2.4	.89999998	1999	1.789999961853027	6	0.0	2.5	4.375	3.333333			4.5	5		6			5	7	6	3.5		2.5	2.5				2.5																																																2020.1
PT	1	1	2006	10	1208	35211	BE	6.4	3.5	2005	4.900000095367432	6	0.0	4.0	5.333333	2.5			5.22		3.22				6.22			2.56	5.29	1.4	1.2				.9				.6000000238418579	8.699999809265137	.6000000238418579	7.599999904632568	.699999988079071	9		1.799999952316284	8	.5	8.800000190734863	1.330000042915344	5.699999809265137	.8999999761581421	7.75		.77999997			2.130000114440918	5.429999828338623			1.4400001	5.2199998		3	5.1100001			.60000002	8.4399996	.8600000143051147	8.289999961853027											2020.1
PT	1	1	2010	6	1208	35211	BE	9.81	7	2009	10.72000026702881	6	0.0	3.666666746139526	5.5555558	1.8333334		2	5.599999904632568		3.400000095367432				6.166666507720947			4.166666507720947	5	1.166666746139526	1.0				.1666666269302368				.5	8	.5	6.599999904632568	.1666666716337204	9.166666984558105		.5	6.833333492279053	0	9.199999809265137	.2000000029802322	4	.3333333432674408	7		.60000002	6		1.600000023841858	5	2	4.8333335				4.4000001	2.8	7	3.3333333			.6000000238418579	5.666666507720947											2020.1
PT	1	1	2014	8	1208	35211	BE	5.4	3.5	2011	4.9	6	0.0	3.125	6.875	3.5714285		2.375	5.666666507720947		3.333333253860474		1.3333334		4.166666507720947			2.166666746139526	5.333333492279053	1.333333373069763	0.6666666865348816	9.166667			.6666666865348816	4.6666665			2.333333253860474		.5		.5		.5	1		2		.3333333432674408		.800000011920929			.83333331			4.333333492279053		1.5					2.4000001		9.1999998				1.399999976158142		1.5				7.5	8		13	14	19	2020.1
PT	1	1	2019	8	1208	35211	BE	10.01	8.3999996	2019	10.6	6	0.0	3.75	5.5	1	4.75				3.571428537368774		1.8333334		4.25		3.166666746139526	3.5		0.875	1.0	8.5	3.75	2.25	1.75	7.2857141	2	1	1.875		1.428571462631226		1.428571462631226	9	1.625	2.5		1.25		.7142857313156128		1.5	6	2.1666667	1.8333334	5.8571429	2	3.166666746139526		2.625	7.75			7.2857141	2.6666667						.7142857313156128		2.1666667	1	2	7	7.2857141	8.25	5.375				2020.1
PT	1	1	1999	5	1202	35520	CDS-PP	8.300000000000001	6.5	1999	8.199999809265137	2	0.0	4.0	5.5	3			2.75	4		4			5	4.666666507720947	3.666666746139526	2.75		8.199999809265137	8.199999809265137				8.399999618530273																																																2020.1
PT	1	1	2002	7	1202	35520	CDS-PP	8.699999999999999	6.0999999	2002	8.199999809265137	2	0.5	3.71	6.6666665	5.3666668			3.33		3	3.5		5.57	6.5	4.58	3.17	3.33		8.14	8.14				9.140000000000001																																																2020.1
PT	1	1	2006	10	1202	35520	CDS-PP	7.3	5.1999998	2005		2	1.0	5.3	5	3.5999999			5.22		5.38				6.44			4.63	3.29	7.2	8.3				8.9				7.699999809265137	8.100000381469727	8	7.599999904632568	7.199999809265137	4.800000190734863		8.100000381469727	7	9.100000381469727	6.300000190734863	9.109999656677246	8.399999618530273	7.900000095367432	7.699999809265137		7.75			7.429999828338623	5.429999828338623			7.2199998	6.1100001		6.6300001	4.8899999			8	5.2199998	6.570000171661377	6.860000133514404											2020.1
PT	1	1	2010	6	1202	35520	CDS-PP	10.43	9.1000004	2009	8.359999656677246	2	0.0	5.5	6.1111107	2		1.1666666	4.199999809265137		4.599999904632568				6.5			5.199999809265137	4	8.0	8.166666984558105				8.800000190734863				8.333333015441895	7.166666507720947	7	6.599999904632568	6.333333492279053	4.333333492279053		9	7.666666507720947	9.166666984558105	5.199999809265137	8.600000381469727	8	8.5	7.333333492279053		7.8000002	5.5		8	6.166666507720947	6.8000002	2.6666667				6.4000001	3.2	2.6666667	2.3333333			7.400000095367432	4.666666507720947											2020.1
PT	1	1	2019	8	1202	35520	CDS/PP	4.44	2.2	2019	6.65	2	0.0	5.875	6.125	5.6666665	3.5				5.714285850524902		4.5		5.75		3.599999904632568	4.5		8.5	8.5	8.125	3.5	1.75	8.875	7.1428571	2	1.3333334	7.25		7.857142925262451		6.857142925262451	6.428571224212646	8.25	7.625		8.25		7.857142925262451		7	5.857142925262451	4.1666665	5.8333335	5.4285712	3	6.666666507720947		6.25	5.25			2.7142856	5						6.142857074737549		7.1666665	.25	3.2857144	3.3333333	4.8571429	6.75	7				2020.1
