country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
BG	ABV	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	AP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	BDC-NU	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	BSPFB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	BSPLB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	CoalAP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	DABG	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	DB	DB	2019	2020.1	6.05	6.78	4.18	3.67	6.80	-	1.61	5.10	2.37	-	-	8.32	-	-	-	5.85	0	6.45	2017	6.40	3.21	-	2.58	-	-	5.31	-	0.78	5.57	6.06	1.8	-	-	-	-	-	5.83	-	6.67	-	6.81	-	9.06	-	1	21	7	2.80	3.43	2.73	6.45	-	0.0	2.73	4.25	3.85	-	-	4.05	-	-	-	2.71	4.83	3.47	2.11	2.90	2.22	4.88	5.55	-	1.79	-	1.88	6.89	0	-	2.26	5.15	-	2.47	-	-	-	2.96
BG	DSB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	GERB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	GERB-UDF	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	GrMov	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	ITN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	MRF	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	PF	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	RB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	RP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	RUBGWC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	RUTO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	TISP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	UP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	VOLYA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	WCC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BG	АБВ	ABV	2014	2020.1	3.47	3.38	-	-	6.38	-	-	6.19	5.33	-	-	5.80	-	-	-	3.69	0	3.56	2014	-	6.5	4	5.79	-	-	-	1.38	-	4.5	6	3.15	-	-	-	4.93	-	4.62	-	4.80	-	5.65	-	6.12	4.08	1	20	5	5.38	-	-	5.53	-	0.5	-	6.46	-	-	6.17	-	14	13	17	-	-	5.23	5.25	-	-	-	3.13	-	4.75	-	3.71	-	4.60	-	5.79	3.07	-	5.53	-	-	-	4.2
BG	Атака	NOA	2006	2020.1	5.46	3.25	-	-	-	-	-	-	9.17	6.60	80710	-	9.44	7.30	4.33	3.20	0	-	2005	-	-	-	8.17	6.90	-	-	-	-	-	5.09	1.5	-	-	-	3.22	-	3.3	-	3	-	2.46	-	5.47	1	0	13	1	9.17	-	-	-	-	0.0	-	8.44	6.57	-	-	-	-	-	-	-	-	9	-	-	-	6.10	2.27	3.67	5.5	5	5.40	-	8.80	6.88	9.40	2.64	5.60	5.5	5.88	1.36	5.73	8.20
BG	Атака	NOA	2010	2020.1	6.27	2.90	-	-	-	-	-	-	9.27	8	80710	-	-	-	4.83	1.43	0	-	2009	2.86	7.29	11.96	9.55	9.45	-	-	2.73	-	-	5	2	-	-	-	3	-	2.29	-	2.75	-	2.5	-	4.85	1.27	1	14	1	9.27	-	-	-	-	0.0	-	8.62	6.11	5.88	8.25	-	-	-	-	-	7.25	8.86	-	-	-	8.25	2.44	4.5	6.86	5.11	6.64	-	8.80	7.20	9.30	3.22	5.5	4.12	5.25	-	-	9.4
BG	Атака	ATAKA	2014	2020.1	5.36	1.44	-	-	5.47	-	-	9.47	9.56	-	80710	6.76	-	-	-	0.86	0	1	2014	-	8	3	9.87	-	-	-	3	-	1.12	2.92	1.93	-	-	-	2.29	-	1.25	-	1.75	-	1.5	-	4.59	1.12	1	20	1	9.65	-	-	7.5	-	0.0	-	9.38	-	-	9.21	-	12	17	1	-	-	9.57	9.82	-	-	-	1.41	-	6	-	6.93	-	4.60	-	9.65	2.07	-	6.88	-	-	-	4.5
BG	Атака	Ataka	2019	2020.1	6.81	3.53	5.10	1.44	4.37	-	8.85	8.81	9.35	-	80710	6	-	-	-	2.25	0	2.06	2017	2.33	7.67	1.1	9.70	-	-	1.19	-	2.22	1.47	4.15	1.88	-	-	-	-	-	1.55	-	2.67	-	2.20	-	4.40	-	1	21	1	9.62	0.38	0.83	8.29	-	0.5	0.68	9.76	9.05	-	-	9.33	-	-	-	0.84	7.39	9.65	9.55	8	8.95	6.56	3.19	-	7.38	-	7.62	4.05	-	-	9.70	3.92	-	5.08	-	-	-	-
BG	БСП	BSP	2014	2020.1	3.69	3.47	-	-	7.29	-	-	4.06	5.62	-	80221	4.71	-	-	-	3.67	0	3.06	2014	-	6.67	18.9	4.93	-	-	-	1.47	-	4.12	6.44	5.31	-	-	-	5.38	-	3.53	-	4.75	-	5.29	-	6.12	3.88	1	20	5	5.94	-	-	4.31	-	0.5	-	6.20	-	-	6.29	-	14	17	13	-	-	5.36	5.12	-	-	-	3.18	-	5.67	-	3.27	-	15.4	-	5.77	3	-	6.06	-	-	-	14.6
