country	pm_id	lr	url	comment
BG	АБВ	CL	https://en.wikipedia.org/wiki/Alternative_for_Bulgarian_Revival	-
BG	Атака	FR	https://en.wikipedia.org/wiki/Attack_(political_party)	-
BG	bsp	CL	https://en.wikipedia.org/wiki/Bulgarian_Socialist_Party	-
BG	ВМРО–БНД	CCR	https://en.wikipedia.org/wiki/National_Movement_for_Stability_and_Progress	It was known as the National Movement Simeon II (Bulgarian: Национално движение „Симеон Втори“, romanized: Natsionalno dvizhenie „Simeon Vtori“) until 3 June 2007
BG	ВОЛЯ	RRF	https://en.wikipedia.org/wiki/Volya_Movement	-
BG	GERB	CR	https://en.wikipedia.org/wiki/GERB	-
BG	ДПС	C	https://en.wikipedia.org/wiki/Movement_for_Rights_and_Freedoms	-
BG	dsb	CRR	https://en.wikipedia.org/wiki/Democrats_for_a_Strong_Bulgaria	-
BG	grmov	C	https://en.wikipedia.org/wiki/Green_Movement_(Bulgaria)	-
BG	ЗС „Александър Стамболийски“	CL	https://en.wikipedia.org/wiki/Agrarian_Union_%22Aleksandar_Stamboliyski%22	-
BG	ruto	CL	https://en.wikipedia.org/wiki/Stand_Up.BG!_We_are_coming!	-
BG	itn	-	-	-
BG	kpb	FL	https://en.wikipedia.org/wiki/Communist_Party_of_Bulgaria	-
BG	НФСБ	RRF	https://en.wikipedia.org/wiki/National_Front_for_the_Salvation_of_Bulgaria	-
BG	НЗ	FR	https://en.wikipedia.org/wiki/Bulgarian_National_Union_%E2%80%93_New_Democracy	-
BG	ПБГ	CR	https://en.wikipedia.org/wiki/Reload_Bulgaria	Formerly known as Bulgaria Uncensored
BG	abv	CL	https://en.wikipedia.org/wiki/Alternative_for_Bulgarian_Revival	-
BG	bspfb	CL	https://en.wikipedia.org/wiki/BSP_for_Bulgaria	-
BG	bsplb	CL	https://en.wikipedia.org/wiki/BSP_for_Bulgaria	-
BG	bdc-nu	-	-	-
BG	volya	RRF	https://en.wikipedia.org/wiki/Volya_Movement	The same party as ВОЛЯ above
BG	gerb-udf	CR	https://en.wikipedia.org/wiki/Union_of_Democratic_Forces_(Bulgaria)	Since 2019 parties GERB and UDF are in alliance.
BG	mrf	C	https://en.wikipedia.org/wiki/Movement_for_Rights_and_Freedoms	-
BG	db	CCR	https://en.wikipedia.org/wiki/Democratic_Bulgaria	-
BG	ruto	CL	https://en.wikipedia.org/wiki/Stand_Up.BG!_We_are_coming!	-
BG	rubgwc	-	-	-
BG	tisp	BT	https://en.wikipedia.org/wiki/There_is_Such_a_People	-
BG	up	RRF	https://en.wikipedia.org/wiki/United_Patriots	-
BG	ap	FR	https://en.wikipedia.org/wiki/Attack_(political_party)	ATAKA, COALAP, AP, NOA, these are all abbreviations for the same party - ATAKA party.
BG	rp	FR	https://en.wikipedia.org/wiki/Revival_(Bulgarian_political_party)	-
BG	gerb	CR	https://en.wikipedia.org/wiki/GERB	-
BG	pf	R	https://en.wikipedia.org/wiki/Patriotic_Front_(Bulgaria,_2014)	The same party as ПФ above.
BG	wcc	C	https://en.wikipedia.org/wiki/We_Continue_the_Change	-
BG	rb	CR	https://en.wikipedia.org/wiki/Reformist_Bloc	The same party as РБ above.
BG	ПФ	R	https://en.wikipedia.org/wiki/Patriotic_Front_(Bulgaria,_2014)	-
BG	wcc	C	https://en.wikipedia.org/wiki/We_Continue_the_Change	-
BG	РБ	CR	https://en.wikipedia.org/wiki/Reformist_Bloc	-
BG	dabg	CCR	https://en.wikipedia.org/wiki/Yes,_Bulgaria!	-
