ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	CZ	-	2105	US-DEU	2002	6.8	7.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	2002	-	-	-	-	-	3.5	5.4	-	-	-	5.7	1.4	-	4.7	5.5	5.7	-	5.7	-	6.1	-	6.8	-	9.8	-	0	18	2	2.6	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.5	-	-	-	-	-	-	-	-	4.2	2020.1
1999-2019	CZ	-	2108	Nezavisl	2006	5.5	4.5	-	-	-	-	-	-	6.3	7.7	-	-	-	-	-	-	0	-	2006	-	-	8.2	-	-	-	-	-	-	-	5.5	1.5	-	-	-	5	-	5	-	5.7	-	4.0	-	8.3	-	1	6	9	4.8	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.7	4	5	6.3	-	-	-	-	-	2020.1
1999-2019	CZ	-	2106	SNK-ED	2006	6.7	7.2	-	-	-	-	-	-	3.2	6.5	-	-	3	4.7	7.2	7.4	0	-	2006	-	-	11	2.7	5	-	-	-	-	-	6.3	1.3	-	-	-	6.2	-	6	-	6.5	-	6.5	-	8.8	4.2	1	8	2	2.8	-	-	-	-	0.0	-	3.7	4	-	-	-	-	-	-	-	-	3	-	-	-	5.2	7	6	2.7	2.3	2.8	-	-	4	3.2	7	6.6	3	4	6.3	6	2.1	2020.1
1999-2019	CZ	-	2107	SZ	2006	4.9	5.2	-	-	-	-	-	-	2.4	7.2	82110	-	3.4	5.8	6.7	6.2	0	-	2006	-	-	3.2	3.4	7.2	-	-	-	-	-	6	2	-	-	-	6.2	-	5.8	-	6	-	6.2	-	7.9	4.8	1	8	7	2	-	-	-	-	0.0	-	4.8	4.8	-	-	-	-	-	-	-	-	2.4	-	-	-	4.6	5.7	5.8	4	2.8	2	-	3	6.8	3	5.7	5.8	4.5	3.8	4	6.2	6.3	2020.1
1999-2019	CZ	-	2107	SZ	2010	5.3	5.2	-	-	-	-	-	-	2.8	5.7	82110	-	-	-	4.9	4.7	0	-	2010	9.1	2.4	2.1	2.8	5.6	-	-	1.2	-	-	6.4	1.1	-	-	-	6.4	-	6.1	-	5.8	-	6.7	-	9.1	5.2	1	20	7	1.7	-	-	-	-	0.0	-	3.1	4.4	4.8	5.4	-	-	-	-	-	4.7	1.9	-	-	-	4.5	4.7	5	2.1	3.1	1.9	-	0	6.8	0.8	4.6	5.3	3.3	3.9	-	-	2.4	2020.1
1999-2019	CZ	-	2113	SVOBODNI	2014	8.7	9.2	-	-	6.9	-	-	7	3.3	-	-	6	-	-	-	9.4	0	9.5	2013	-	8.2	5.2	6.8	-	-	-	2.9	-	1.3	2.2	0.8	-	-	-	1.3	-	1.5	-	5.2	-	1.3	-	7.7	3.1	1	15	3	4.9	-	-	6.3	-	0.0	-	7.6	-	-	5.1	-	8	5	13	-	-	7.7	7.7	-	-	-	9	-	4.9	-	3.5	-	0	-	4.7	9.5	-	3.2	-	-	-	2.5	2020.1
1999-2019	CZ	-	2107	SZ	2014	3.9	3.7	-	-	4.9	-	-	5.8	2.2	-	82110	7	-	-	-	4.3	0	3.8	2013	-	0.8	3.8	1.6	-	-	-	1	-	5.5	5.9	2.2	-	-	-	5.9	-	5.7	-	5.5	-	6.6	-	6.7	5	1	15	7	1.3	-	-	7.7	-	0.0	-	1.3	-	-	4.8	-	6	16	2	-	-	1.3	1.9	-	-	-	4.1	-	3.1	-	2.1	-	0	-	1.5	4.5	-	2.9	-	-	-	3.2	2020.1
1999-2019	CZ	ANO + ANO2011	2111	ANO2011	2014	5.8	6.4	-	-	7.6	-	-	7.8	4.8	-	82430	8.5	-	-	-	6.3	0	5.9	2013	-	6.4	16.1	5	-	-	-	1.2	-	4.4	6.1	3	-	-	-	4.6	-	5.2	-	5.9	-	5.2	-	4.2	4	1	15	9	4.5	-	-	2.8	-	0.5	-	5.9	-	-	4.4	-	1	3	13	-	-	5	4.8	-	-	-	5.6	-	5.2	-	4	-	23.5	-	3.8	5.9	-	4.2	-	-	-	18.7	2020.1
1999-2019	CZ	ANO + ANO2011	2111	ANO2011	2019	4.7	4.5	5.5	2.3	7.7	-	5.5	6.3	6.2	-	82430	5.7	-	-	-	5	0	3.9	2017	2.5	7.3	21.2	6.3	-	-	1.9	-	6.8	2.8	5.9	2.8	-	-	-	-	-	3.0	-	5.8	-	4.5	-	4.9	-	1	27	9	5.7	5.5	4.1	4.0	-	1.0	2.1	8.5	6.9	-	-	9.8	-	-	-	2.3	4.9	8.2	6.6	3.8	5.9	6.3	3.8	-	6.7	-	2.8	3.2	39	-	4.9	4.2	-	5.3	-	-	-	29.6	2020.1
1999-2019	CZ	CSSD + ČSSD	2101	CSSD	2002	3.3	3.0	-	-	-	-	-	-	-	-	82320	-	-	-	-	-	0	-	2002	-	-	-	-	-	5.3	5.6	-	-	-	6.4	2.4	-	5.9	5.7	5.6	-	5.8	-	5.5	-	6.4	-	9.2	-	0	18	5	4.7	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	-	-	-	-	-	-	-	-	30.2	2020.1
1999-2019	CZ	CSSD + ČSSD	2101	CSSD	2006	3.4	3.3	-	-	-	-	-	-	5.2	4.8	82320	-	5.2	3.5	6.5	4	0	-	2006	-	-	8.8	4.5	3.5	-	-	-	-	-	6.3	3	-	-	-	5.3	-	5.9	-	6	-	5.9	-	7.9	5.2	1	8	5	4.9	-	-	-	-	0.5	-	5.2	3.8	-	-	-	-	-	-	-	-	5.5	-	-	-	7.2	3.5	5	5.2	2	2	-	37	3.8	3.6	2.7	5.8	3.4	2.4	3.4	5.4	32.3	2020.1
1999-2019	CZ	CSSD + ČSSD	2101	CSSD	2010	2.9	2.5	-	-	-	-	-	-	5.5	4.9	82320	-	-	-	5.1	2.8	0	-	2010	4.3	5.7	22.4	5.5	4.2	-	-	1	-	-	6.3	1.7	-	-	-	5.5	-	5.6	-	5.5	-	6.2	-	6.7	4.4	1	20	5	3.6	-	-	-	-	0.0	-	5.8	3.6	4.6	5.9	-	-	-	-	-	3.7	5.3	-	-	-	7.5	2.3	4.4	4.5	3	2.1	-	28	4.3	2.6	2.3	7.1	3.6	3.2	-	-	22.1	2020.1
1999-2019	CZ	CSSD + ČSSD	2101	CSSD	2014	3.1	2.7	-	-	7.9	-	-	1.5	4.8	-	82320	5.2	-	-	-	3.8	0	2.8	2013	-	5.7	14.2	4.7	-	-	-	1	-	5.2	6.4	2.9	-	-	-	5.4	-	5.6	-	5.4	-	6.1	-	5.7	4.2	1	15	5	4.4	-	-	3.1	-	0.5	-	4.3	-	-	4.6	-	14	13	17	-	-	4.2	5.1	-	-	-	2.8	-	4.5	-	2.8	-	25	-	3.3	2.6	-	4.9	-	-	-	20.5	2020.1
1999-2019	CZ	CSSD + ČSSD	2101	CSSD	2019	2.7	2.6	2.8	3.9	7.3	-	5	3.2	5.4	-	82320	4.4	-	-	-	2.7	0	2.4	2017	3.8	5.9	4.0	4.4	-	-	3.2	-	4.6	4.6	5.8	4.2	-	-	-	-	-	4.7	-	5.5	-	5.7	-	5.6	-	1	27	5	4.9	4.2	6.5	5.1	-	1.0	4.6	7.2	5.7	-	-	6.1	-	-	-	4.1	4.6	6.4	5.3	4.2	6.1	8.0	2.4	-	5.4	-	2.5	4.1	7.5	-	3.8	2.2	-	5.3	-	-	-	7.3	2020.1
-	CZ	K	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	CZ	KDS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	CZ	KDU-ČSL	2104	KDU-CSL	2002	4.9	7.9	-	-	-	-	-	-	-	-	82523	-	-	-	-	-	0	-	2002	-	-	-	-	-	5.5	5.2	-	-	-	6.3	2.3	-	5.5	5.6	5.4	-	5.6	-	5.3	-	6.4	-	8.9	-	0	18	4	7.6	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	-	-	-	-	-	-	-	-	10.3	2020.1
1999-2019	CZ	KDU-ČSL	2104	KDU-CSL	2006	5.7	5.7	-	-	-	-	-	-	7	7.2	82523	-	5.2	6	6.7	5.8	0	-	2006	-	-	9.6	6.2	5.6	-	-	-	-	-	5.9	2.4	-	-	-	5.2	-	5.4	-	6.1	-	5.8	-	7.5	3.3	1	8	4	7.2	-	-	-	-	0.5	-	4.5	4.5	-	-	-	-	-	-	-	-	7	-	-	-	5.8	4.8	4.5	4.2	7.6	6.8	-	6.5	7.2	7.6	5	6.3	7.4	6.6	5.4	4.6	7.2	2020.1
1999-2019	CZ	KDU-ČSL	2104	KDU-CSL	2010	5.3	4.8	-	-	-	-	-	-	7.4	6.4	82523	-	-	-	4.8	4.5	0	-	2010	4.5	6.2	7.6	7.1	4.2	-	-	1.3	-	-	6.2	1.7	-	-	-	5.5	-	5.6	-	5.5	-	6.1	-	6.5	2.3	1	20	4	8	-	-	-	-	0.0	-	6.6	4.2	4.2	4.1	-	-	-	-	-	5.1	7.9	-	-	-	5.9	4.2	4.9	3.9	7.6	8	-	0	7.4	8.4	4.4	5.6	7.6	6.8	-	-	4.4	2020.1
1999-2019	CZ	KDU-ČSL	2104	KDU-CSL	2014	5.9	5.6	-	-	6.2	-	-	2.5	7.3	-	82523	5.5	-	-	-	4.8	0	4.8	2013	-	4.6	10	5.8	-	-	-	1	-	5.4	6.4	1.4	-	-	-	5.8	-	6	-	6.1	-	6.5	-	6.4	2.5	1	15	4	7.6	-	-	7.2	-	0.5	-	7	-	-	3	-	13	14	15	-	-	7.7	5.1	-	-	-	4.9	-	3.8	-	9.2	-	7	-	8.2	4.9	-	8	-	-	-	6.8	2020.1
