ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	ES	-	517	CC	1999	5.7	5.6	-	-	-	-	-	-	-	-	33907	-	-	-	-	-	1	-	1996	-	-	1.6	-	-	-	5.8	-	-	-	6.7	1.9	-	5.8	5.1	6	4.5	5.6	-	-	-	6.0	-	5.2	-	1	12	8	5.7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.1	-	-	-	-	-	-	-	-	0.9	2020.1
1999-2019	ES	-	507	EA	1999	4.2	4.7	-	-	-	-	-	-	-	-	33903	-	-	-	-	-	1	-	1996	-	-	1.5	-	-	-	5	-	-	-	6	2.2	-	5	5.7	5	3.3	4.5	-	-	-	5.2	-	5	-	1	12	8	4.4	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.3	-	-	-	-	-	-	-	-	0.5	2020.1
1999-2019	ES	-	504	IU	1999	2.1	2.4	-	-	-	-	-	-	-	-	33220	-	-	-	-	-	1	-	1996	-	-	5.8	-	-	-	6.3	-	-	-	6.4	3.6	-	5.7	5.8	5.5	4.8	4.2	-	-	-	3.7	-	4.6	-	1	12	6	2.5	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	10.5	2020.1
1999-2019	ES	-	510	PAR	1999	6.2	6.3	-	-	-	-	-	-	-	-	33904	-	-	-	-	-	1	-	1996	-	-	-	-	-	-	5.6	-	-	-	6.6	0.6	-	5.6	5.8	5.7	5.5	5.7	-	-	-	6.1	-	5	-	1	12	8	6.0	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	0.2	2020.1
1999-2019	ES	-	512	UV	1999	6.0	5.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1996	-	-	-	-	-	-	5.8	-	-	-	6.5	1.1	-	5.6	5.8	5.3	5	5.5	-	-	-	6.2	-	5.9	-	1	12	8	5.9	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.3	-	-	-	-	-	-	-	-	0.4	2020.1
1999-2019	ES	-	514	VERDE	1999	2.9	2.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1996	-	-	-	-	-	-	6.2	-	-	-	6.6	3.8	-	6	6.8	5.6	6	4.5	-	-	-	5.9	-	6.1	-	1	12	7	1.9	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	0.2	2020.1
1999-2019	ES	-	517	CC	2002	5.9	6.0	-	-	-	-	-	-	-	-	33907	-	-	-	-	-	1	-	2000	-	-	1.6	-	-	6.4	6	-	-	-	6.9	2.1	-	5.8	5.9	5.4	-	5.8	-	5.7	-	6.2	-	7.0	-	1	13	8	5.7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.1	-	-	-	-	-	-	-	-	1.1	2020.1
1999-2019	ES	-	507	EA	2002	4.4	4.9	-	-	-	-	-	-	-	-	33903	-	-	-	-	-	1	-	2000	-	-	1.5	-	-	5.8	6.5	-	-	-	6.5	1.3	-	5.4	5.9	5.3	-	5.8	-	5.5	-	6.0	-	7.1	-	1	13	8	4.9	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.3	-	-	-	-	-	-	-	-	0.4	2020.1
1999-2019	ES	-	504	IU	2002	2.5	2.2	-	-	-	-	-	-	-	-	33220	-	-	-	-	-	1	-	2000	-	-	5.8	-	-	6.1	5.8	-	-	-	6.9	4.1	-	5.8	6.9	5.8	-	5.4	-	3.8	-	4.4	-	7.0	-	1	13	6	2.5	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.3	-	-	-	-	-	-	-	-	5.5	2020.1
1999-2019	ES	-	516	PA	2002	5.2	4.9	-	-	-	-	-	-	-	-	33906	-	-	-	-	-	1	-	2000	-	-	-	-	-	6.8	6	-	-	-	7	1.1	-	5.8	5.7	5.5	-	5.7	-	5.5	-	6.3	-	7.1	-	1	13	8	4.4	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.3	-	-	-	-	-	-	-	-	0.9	2020.1
