country	pm_id	lr	url	comment
ES	Amaiur	L	https://en.wikipedia.org/wiki/Amaiur	-
ES	BNG	L	https://en.wikipedia.org/wiki/Galician_Nationalist_Bloc	-
ES	CiU	CCR	https://en.wikipedia.org/wiki/Convergence_and_Union	-
ES	Cs	CR	https://en.wikipedia.org/wiki/Citizens_(Spanish_political_party)	-
ES	EAJ-PNV	C	https://en.wikipedia.org/wiki/Basque_Nationalist_Party	-
ES	EH Bildu	CLL	https://en.wikipedia.org/wiki/EH_Bildu	-
ES	ERC-S	CLL	https://en.wikipedia.org/wiki/Republican_Left_of_Catalonia	-
ES	ICV	L	https://en.wikipedia.org/wiki/Initiative_for_Catalonia_Greens	-
ES	PP	CRR	https://en.wikipedia.org/wiki/People%27s_Party_(Spain)	-
ES	PSC(PSC-PSOE)	CL	https://en.wikipedia.org/wiki/Socialists%27_Party_of_Catalonia	-
ES	PSC-PSOE	CL	https://en.wikipedia.org/wiki/Socialists%27_Party_of_Catalonia	-
ES	PSOE	CL	https://en.wikipedia.org/wiki/Spanish_Socialist_Workers%27_Party	-
ES	Más País-Equo	CLL	https://en.wikipedia.org/wiki/M%C3%A1s_Pa%C3%ADs	-
ES	UPyD	CCL	https://en.wikipedia.org/wiki/Union,_Progress_and_Democracy	-
ES	Vox	RRF	https://en.wikipedia.org/wiki/Vox_(political_party)	-
ES	C-P-EUPV	-	https://es.wikipedia.org/wiki/Comprom%C3%ADs-Podemos-EUPV:_A_la_Valenciana	-
ES	CC-NC-PNC	CCR	https://en.wikipedia.org/wiki/Agreement_of_Nationalist_Unity	-
ES	CCa-PNC	CCR	https://es.wikipedia.org/wiki/Coalici%C3%B3n_Canaria	-
ES	CCa-PNC-NC	CCR	https://en.wikipedia.org/wiki/Agreement_of_Nationalist_Unity	-
ES	CDC	CR	https://en.wikipedia.org/wiki/Democratic_Convergence_of_Catalonia	-
ES	CUP-PR	LLF	https://en.wikipedia.org/wiki/Popular_Unity_Candidacy	-
ES	Compromís-Q	-	-	-
ES	DL	CR	https://en.wikipedia.org/wiki/Democracy_and_Freedom	-
ES	EC-UP	L	https://en.wikipedia.org/wiki/En_Com%C3%BA_Podem	-
ES	ECP	L	https://en.wikipedia.org/wiki/En_Com%C3%BA_Podem	-
ES	ECP-GeC	L	https://en.wikipedia.org/wiki/En_Com%C3%BA_Podem	-
ES	EM-P-A-EU	-	-	-
ES	ERC-CATSÍ	CLL	https://en.wikipedia.org/wiki/Republican_Left_of_Catalonia%E2%80%93Catalonia_Yes	-
ES	ERC-RI.cat	CLL	https://en.wikipedia.org/wiki/Republican_Left_of_Catalonia	-
ES	EUPV	L	https://en.wikipedia.org/wiki/A_la_valenciana	-
ES	EUiA	L	https://en.wikipedia.org/wiki/United_and_Alternative_Left	-
ES	GB	CL	https://en.wikipedia.org/wiki/Geroa_Bai	-
ES	IZQ-PLU	L	https://en.wikipedia.org/wiki/Plural_Left_(Spain,_2011)	-
ES	JxCat-Junts	CR	https://en.wikipedia.org/wiki/Together_for_Catalonia_(2017)	-
ES	Més Compromís	L	https://en.wikipedia.org/wiki/M%C3%A9s_Comprom%C3%ADs	-
ES	NC-CCa-PNC	CCR	https://en.wikipedia.org/wiki/Agreement_of_Nationalist_Unity	-
ES	PP-EU	CRR	https://en.wikipedia.org/wiki/People%27s_Party_(Spain)	-
ES	PP-Foro	CRR	https://en.wikipedia.org/wiki/People%27s_Party_(Spain)	-
ES	PP-PAR	CRR	https://en.wikipedia.org/wiki/People%27s_Party_(Spain)	-
ES	PRC	CCL	https://en.wikipedia.org/wiki/Regionalist_Party_of_Cantabria	-
ES	PSE-EE-PSOE	CL	https://en.wikipedia.org/wiki/Socialist_Party_of_the_Basque_Country%E2%80%93Basque_Country_Left	-
ES	PSOE-NCa	CL	https://en.wikipedia.org/wiki/Socialist_Party_of_the_Canaries	-
ES	PSOEdeAndalucía	CL	https://en.wikipedia.org/wiki/Spanish_Socialist_Workers%27_Party_of_Andalusia	-
ES	PSdG-PSOE	CL	https://en.wikipedia.org/wiki/Socialists%27_Party_of_Galicia	-
ES	PsdeG-PSOE	-	-	-
ES	TE	BT	https://en.wikipedia.org/wiki/Teruel_Existe	-
ES	UP	L	https://en.wikipedia.org/wiki/Unidas_Podemos	-
ES	UPM	CR	https://es.wikipedia.org/wiki/Uni%C3%B3n_por_un_Movimiento_Popular	-
ES	UPN	CRR	https://en.wikipedia.org/wiki/Navarrese_People%27s_Union	-
ES	UPN-PP	CRR	https://en.wikipedia.org/wiki/Navarrese_People%27s_Union	-
