country	pm_id	lr	url	comment
GB	CON	CR	https://en.wikipedia.org/wiki/Conservative_Party_(UK)	-
GB	GP	L	https://en.wikipedia.org/wiki/Green_Party_(UK)	-
GB	LAB	CL	https://en.wikipedia.org/wiki/Labour_Party_(UK)	-
GB	LD	CCL	https://en.wikipedia.org/wiki/Liberal_Democrats_(UK)	-
GB	PC	CLL	https://en.wikipedia.org/wiki/Plaid_Cymru	-
GB	SNP	CL	https://en.wikipedia.org/wiki/Scottish_National_Party	-
GB	UKIP	RRF	https://en.wikipedia.org/wiki/UK_Independence_Party	-
GB	0UBS	-	https://en.wikipedia.org/wiki/Independent_conservative	-
GB	64RT	L	https://en.wikipedia.org/wiki/Respect_Party	-
GB	A	CCL	https://en.wikipedia.org/wiki/Alliance_Party_of_Northern_Ireland	-
GB	BI	-	https://www.parliament.uk/site-information/glossary/bishops/	-
GB	CB	-	https://en.wikipedia.org/wiki/Crossbencher	Crossbench members of the British House of Lords are not aligned to any particular party
GB	DUP	R	https://en.wikipedia.org/wiki/Democratic_Unionist_Party	-
GB	FZPG	CL	https://en.wikipedia.org/wiki/Social_Democratic_Party_(UK,_1990%E2%80%93present)	-
GB	I	-	-	-
GB	IGC	C	https://en.wikipedia.org/wiki/Change_UK	-
GB	IL	L	https://en.wikipedia.org/wiki/Independent_Labour_Party	-
GB	L1QU	CCL	https://en.wikipedia.org/wiki/Liberal_Democrats_(UK)	-
GB	L8TA	-	-	-
GB	LB	C	https://en.wikipedia.org/wiki/Liberal_Party_(UK)	-
GB	LI	L	https://en.wikipedia.org/wiki/Independent_Labour_Party	-
GB	LJ95	C	https://en.wikipedia.org/wiki/Change_UK	-
GB	NA	-	https://en.wikipedia.org/wiki/Non-affiliated_members_of_the_House_of_Lords	Non-affiliated members of the House of Lords are peers who do not belong to any parliamentary group. They do not take a political party's whip, nor affiliate to the crossbench group, nor are they Lords Spiritual (bishops).
GB	NPBE	-	https://en.wikipedia.org/wiki/Independent_Unionist	Independent Unionist has been a label sometimes used by candidates in elections in the United Kingdom, indicating a support for British unionism (not to be confused with trade unionism).
GB	QHMP	-	https://en.wikipedia.org/wiki/Independent_conservative	-
GB	QMZZ	CR	https://en.wikipedia.org/wiki/Ulster_Unionist_Party	-
GB	SDLP	CL	https://en.wikipedia.org/wiki/Social_Democratic_and_Labour_Party	-
GB	SO0T	-	-	-
GB	UUP	CR	https://en.wikipedia.org/wiki/Ulster_Unionist_Party	-
GB	UUSL	CL	https://en.wikipedia.org/wiki/Social_Democratic_Party_(UK,_1990%E2%80%93present)	-
GB	ZKPW	CL	https://en.wikipedia.org/wiki/Social_Democratic_and_Labour_Party	-
GB	PAUB	CL	https://en.wikipedia.org/wiki/Alba_Party	-
GB	S	-	-	In Parties file this is marked as “Speaker” and “parliamentary group”.
GB	LS	-	-	In Parties file this is marked as “Lord Speaker” and “parliamentary group”.
