country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
GR	Κ.Κ.Ε.	KKE	1999	2020.1	1.14	0.86	-	-	-	-	-	-	-	-	34210	-	-	-	-	-	1	-	1996	-	-	8.67	-	-	-	3	-	-	-	4.60	0.71	-	1.80	4.67	3.33	2.25	1.33	-	-	-	1.0	-	6.43	-	1	7	6	3.43	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.7	-	-	-	-	-	-	-	-	5.6
GR	Κ.Κ.Ε.	KKE	2002	2020.1	0.82	0.59	-	-	-	-	-	-	-	-	34210	-	-	-	-	-	1	-	2000	-	-	8.67	-	-	5.2	4.22	-	-	-	5.36	0.50	-	3.2	5.91	3	-	1.86	-	1.91	-	1.36	-	6.37	-	1	11	6	6.05	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.7	-	-	-	-	-	-	-	-	5.5
GR	Κ.Κ.Ε.	KKE	2006	2020.1	0.22	0.11	-	-	-	-	-	-	3.14	6.71	34210	-	7.75	7.17	6.63	0.13	1	-	2004	-	-	9.5	3.5	4.83	-	-	-	-	-	3.63	.38	-	-	-	3.13	-	1.71	-	1	-	1.0	-	5.93	2.57	1	10	6	6.14	-	-	-	-	0.0	-	3.60	5.67	-	-	-	-	-	-	-	-	4.25	-	-	-	9.75	0	4	4.43	3.71	1.88	-	4	2.67	6.33	1.33	8.71	6.33	6	0	9.75	5.9
GR	Κ.Κ.Ε.	KKE	2010	2020.1	0.36	0.09	-	-	-	-	-	-	2.70	6.91	34210	-	-	-	8.36	0.09	1	-	2009	4.5	5.5	8.35	3	5.78	-	-	3	-	-	3	0.09	-	-	-	2.30	-	1.18	-	1	-	1.0	-	8.48	1.62	1	11	6	6.09	-	-	-	-	0.0	-	2.22	6.90	6.30	9.09	-	-	-	-	-	6.56	2.78	-	-	-	9.80	0.09	5.22	3.90	2.30	1.45	-	7	3.40	5.20	0.91	8	6.55	5.10	-	-	7.54
GR	Κ.Κ.Ε.	KKE	2014	2020.1	0.67	0.11	-	-	9.11	-	-	9.78	5.43	-	34210	8.62	-	-	-	0	1	0.12	2012	-	5.57	6.1	3.14	-	-	-	3	-	1	2.33	0.67	-	-	-	2.14	-	1.57	-	1.33	-	1.11	-	6	1.29	1	9	6	5.78	-	-	3.44	-	0.0	-	2.83	-	-	9	-	14	17	8	-	-	3.83	5.56	-	-	-	0.33	-	5.33	-	0.78	-	4	-	6	0.88	-	5.80	-	-	-	4.5
GR	Κ.Κ.Ε.	KKE	2019	2020.1	0.22	0.11	0.33	0	9.11	-	1.25	7.89	3	-	34210	5.43	-	-	-	0	1	0	2019	2	5.67	5.35	2.14	-	-	1.14	-	0	1	3.5	0.17	-	-	-	-	-	1.25	-	1	-	1.11	-	6.22	-	1	9	6	6.62	3	.5	3.25	-	0.0	1.14	2.67	4.5	-	-	9	-	-	-	.5	3.88	3.71	5.12	4.43	9.43	7.67	0.11	-	3.75	-	1	0.43	5	-	4.75	0.56	-	4.71	-	-	-	5.3
GR	ΑΝ.ΕΛ.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GR	ΔΗ.ΣΥ.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GR	ΔΗΜ.ΑΡ	DIMAR	2014	2020.1	3.22	3.44	-	-	7.67	-	-	4.33	2.22	-	34213	7.44	-	-	-	3.43	1	2.75	2012	-	3.11	1.2	2.44	-	-	-	1.33	-	4.75	6.67	4	-	-	-	5.88	-	6	-	5.89	-	5.78	-	6.44	4.86	1	9	5	2.56	-	-	5.44	-	0.0	-	2.78	-	-	5.14	-	13	8	14	-	-	2.33	2.56	-	-	-	2.44	-	2.5	-	1.89	-	5.70	-	1.56	3.62	-	3.33	-	-	-	6.3
GR	Ε.Κ.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
