ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	HR	-	3112	HL-SR	2014	2.0	2.0	-	-	8.9	-	-	7.9	2.4	-	81230	7.8	-	-	-	2.2	0	2.1	2011	-	4.8	3.4	2.3	-	-	-	1.8	-	2.8	5.9	1.8	-	-	-	5	-	4.3	-	3.8	-	5.6	-	6.1	5	1	9	5	2.1	-	-	6	-	0.0	-	3.9	-	-	6.2	-	14	17	1	-	-	3.6	2.7	-	-	-	1.2	-	3	-	2.6	-	4	-	2.3	3.1	-	2.7	-	-	-	4.2	2020.1
1999-2019	HR	-	3118	NS-R	2019	4.6	6.0	3.4	1.6	7.6	-	0.6	2.2	3.8	-	-	3.7	-	-	-	6.7	0	6.2	2016	2.8	6.8	-	3.5	-	-	4.9	-	1.5	5.3	6.5	2	-	-	-	-	-	5.1	-	6.2	-	6.4	-	5.7	-	1	24	3	3.0	5.5	1.4	5.3	-	0.0	1.4	4.4	3.2	-	-	9.0	-	-	-	1.4	2.9	3.9	3.5	2.8	4.1	5.1	5.8	-	3.4	-	2.8	1.2	0.7	-	3.3	6.4	-	3.1	-	-	-	1.5	2020.1
-	HR	BDSH	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	BM 365 i NZ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HR	BM365	3117	MB 365	2019	5.6	3.7	6.2	1.8	5.4	-	0.7	3.5	5.2	-	-	1.4	-	-	-	4.4	0	3.4	2016	2.5	6.5	2.0	4.0	-	-	3.7	-	4.5	4	5.9	2.2	-	-	-	-	-	4.3	-	4.6	-	4.8	-	3.2	-	1	24	5	6.0	6.6	3.3	3.5	-	0.0	1.7	6.6	2.6	-	-	9.5	-	-	-	2	2.1	5.5	5.5	3.5	6.3	6.4	3.3	-	3.5	-	6.1	1.3	1.4	-	5.5	3.5	-	3.7	-	-	-	3.8	2020.1
-	HR	BUZ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	DC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	DP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	FOKUS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	GLAS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
