ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	HU	-	2306	CP	2002	4.8	5.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	2002	-	-	-	-	-	5.2	4.5	-	-	-	5.8	2.4	-	4.2	4.5	4	-	3.3	-	4.7	-	5.6	-	7.3	-	0	14	9	5.5	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	3.9	2020.1
1999-2019	HU	-	2303	MDF	2002	6.4	5.1	-	-	-	-	-	-	-	-	86521	-	-	-	-	-	0	-	2002	-	-	-	-	-	5.6	3.9	-	-	-	5.9	2.6	-	4.5	4.7	3.8	-	4.1	-	4.3	-	5.9	-	7.7	-	0	14	2	7.3	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6.2	-	-	-	-	-	-	-	-	5.1	2020.1
1999-2019	HU	-	2305	MIEP	2002	9.7	4.0	-	-	-	-	-	-	-	-	86620	-	-	-	-	-	0	-	2002	-	-	-	-	-	5	1.7	-	-	-	4.4	1.5	-	1.7	2.8	1.3	-	1	-	1.7	-	1.6	-	7.2	-	0	14	1	9.7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	4.4	2020.1
1999-2019	HU	-	2304	SzDSz	2002	4.2	6.9	-	-	-	-	-	-	-	-	86422	-	-	-	-	-	0	-	2002	-	-	-	-	-	5	5.6	-	-	-	6.3	1.0	-	5.7	5.6	5.7	-	5.9	-	6.3	-	6.9	-	9.7	-	0	14	3	1.5	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.2	-	-	-	-	-	-	-	-	5.6	2020.1
1999-2019	HU	-	2303	MDF	2006	5.4	5.4	-	-	-	-	-	-	4.8	5.8	86521	-	5.8	6.2	6	5.4	0	-	2006	-	-	5.3	5	4	-	-	-	-	-	6.4	1.6	-	-	-	5.4	-	5.5	-	5.6	-	6.6	-	6	3.5	1	5	2	5.8	-	-	-	-	0.0	-	5.8	5	-	-	-	-	-	-	-	-	5.8	-	-	-	6.5	4.8	3.5	4.7	5.2	5.5	-	2.8	4.2	6.2	5	6.2	4.8	5.8	5.2	3.7	5.0	2020.1
1999-2019	HU	-	2304	SzDSz	2006	4.8	8.8	-	-	-	-	-	-	3.5	7.8	86422	-	1.6	7.8	7.8	8	0	-	2006	-	-	7.7	4.8	6	-	-	-	-	-	6.4	1	-	-	-	6	-	5.8	-	6.8	-	7.0	-	7.2	5.2	1	6	3	2.2	-	-	-	-	1.0	-	3.5	6.2	-	-	-	-	-	-	-	-	3.2	-	-	-	7.8	7.2	3.8	5.2	6.8	0.8	-	5.2	7.8	1.2	7.6	6.2	1.8	7.2	7.5	5	6.5	2020.1
1999-2019	HU	-	2303	MDF	2010	6.3	5.9	-	-	-	-	-	-	5.5	5.5	86521	-	-	-	5.4	5.9	0	-	2010	3.1	5.8	5.3	5.3	5.2	-	-	2	-	-	6	2.9	-	-	-	5.1	-	5.4	-	5.7	-	5.9	-	6.4	4	1	17	2	6.4	-	-	-	-	0.0	-	5.6	4.3	3.1	5.2	-	-	-	-	-	4.5	6.1	-	-	-	5.1	5.8	4.2	5.7	6	6.9	-	0	5.9	5.7	5.9	6.2	5.8	4.9	-	-	2.7	2020.1
1999-2019	HU	-	2304	SZDSZ	2010	4.0	6.8	-	-	-	-	-	-	1	8.6	86422	-	-	-	5.7	7.3	0	-	2010	3.9	4.4	2.2	2.2	5.7	-	-	1.6	-	-	6.2	1.6	-	-	-	6.1	-	6.1	-	6.8	-	6.6	-	7.7	5	1	17	3	1.4	-	-	-	-	0.0	-	2	5.1	3.4	3.3	-	-	-	-	-	6	1.4	-	-	-	5	6.1	4.7	3.3	4.9	1.2	-	0	7.6	2.5	6.8	7.1	1.7	6.5	-	-	0.2	2020.1
1999-2019	HU	DK + DK-frakció	2311	DK	2014	3.4	4.9	-	-	7.2	-	-	4.5	2.1	-	86221	7.9	-	-	-	6.6	0	6.6	2014	-	5.4	9.8	3.3	-	-	-	1	-	5.4	6.6	1.9	-	-	-	5.9	-	6.4	-	6.4	-	6.7	-	7.6	4.2	1	14	5	2.6	-	-	7.2	-	0.0	-	2.8	-	-	3.2	-	3	2	1	-	-	3.5	1.6	-	-	-	4.2	-	4.1	-	1.2	-	2	-	2.2	5.5	-	2.1	-	-	-	2.8	2020.1
1999-2019	HU	DK + DK-frakció	2311	DK	2019	3.3	4.7	3.3	0.8	7.1	-	1.6	3.4	3	-	86221	8.7	-	-	-	5.1	0	4.8	2018	5.5	3.7	16.1	2.4	-	-	5.7	-	1	5.8	6.1	0.2	-	-	-	-	-	6	-	6.6	-	6.9	-	9.5	-	1	15	5	2.1	1.7	1.2	7.1	-	0.0	2.2	3.2	5.1	-	-	8.4	-	-	-	2	4.8	3.8	2.2	4.5	3	6.3	4.1	-	3.2	-	1.3	4.2	5	-	2.1	2.9	-	2.6	-	-	-	5.4	2020.1
