country	pm_id	lr	url	comment
HU	DK	CL	https://en.wikipedia.org/wiki/Democratic_Coalition_(Hungary)	-
HU	EGYÜTT	C	https://en.wikipedia.org/wiki/Together_(Hungary)	-
HU	Fidesz	RRF	https://en.wikipedia.org/wiki/Fidesz	-
HU	JOBBIK	CR	https://en.wikipedia.org/wiki/Jobbik	-
HU	KDNP	R	https://en.wikipedia.org/wiki/Christian_Democratic_People's_Party_(Hungary)	-
HU	LMP	CCL	https://en.wikipedia.org/wiki/LMP_–_Hungary's_Green_Party	-
HU	Momentum	C	https://en.wikipedia.org/wiki/Momentum_Movement	-
HU	Momentum-frakció	C	https://en.wikipedia.org/wiki/Momentum_Movement	-
HU	MSZP	CL	https://en.wikipedia.org/wiki/Hungarian_Socialist_Party	-
HU	Huxit	FR	https://en.wikipedia.org/wiki/János_Volner	This was originally Volner party and was then rebranded to Huxit party.
HU	MLP	CCR	https://en.wikipedia.org/wiki/Hungarian_Liberal_Party	-
HU	MNOÖ	CR	https://en.wikipedia.org/wiki/National_Self-Government_of_Germans_in_Hungary	-
HU	Mi Hazánk	FR	https://en.wikipedia.org/wiki/Our_Homeland_Movement	-
HU	Mi Hazánk-frakció	FR	https://en.wikipedia.org/wiki/Our_Homeland_Movement	-
HU	Párbeszéd	CLL	https://en.wikipedia.org/wiki/Dialogue_–_The_Greens'_Party	-
HU	Párbeszéd-frakció	CLL	https://en.wikipedia.org/wiki/Dialogue_–_The_Greens'_Party	-
HU	Szolidaritás	CL	https://en.wikipedia.org/wiki/Hungarian_Solidarity_Movement	-
HU	Volner	FR	https://en.wikipedia.org/wiki/János_Volner	This was before it rebranded and became Huxit party.
HU	ÚK	CCR	https://en.wikipedia.org/wiki/New_Start_(Hungary)	-
