country	pm_id	lr	url	comment
LV	AP	C	https://lv.wikipedia.org/wiki/Attīstībai/Par!	-
LV	JV	CR	https://en.wikipedia.org/wiki/New_Unity	-
LV	JK	CR	https://en.wikipedia.org/wiki/The_Conservatives_(Latvia)	-
LV	KPV-LV	CRR	https://en.wikipedia.org/wiki/For_a_Humane_Latvia	-
LV	LRA	C	https://en.wikipedia.org/wiki/Latvian_Association_of_Regions	-
LV	NA	R	https://en.wikipedia.org/wiki/For_Fatherland_and_Freedom/LNNK	-
LV	NSL	R	https://en.wikipedia.org/wiki/Awakening_(political_party)	-
LV	SAKAŅA	CL	https://en.wikipedia.org/wiki/Social_Democratic_Party_%22Harmony%22	-
LV	SASKAŅA	CL	https://en.wikipedia.org/wiki/Social_Democratic_Party_%22Harmony%22	-
LV	VIENOTĪBA	CR	https://en.wikipedia.org/wiki/Unity_(Latvia)	-
LV	ZZS	CCR	https://en.wikipedia.org/wiki/Union_of_Greens_and_Farmers	-
