Country	PersonID	Role	From	To	GovtTermID	MinistryID	orgName-xx	orgName-en	URL	Comment
PL	AdamKorol	minister	2015-06-16	2015-11-16	17th government	-	Ministerstwo Sportu i Turystyki	Ministry of Sport and Tourism	-	-
PL	AdamNiedzielski	minister	2020-08-26	-	19th government	-	Ministerstwo Zdrowia	Ministry of Health	-	-
PL	AndrzejAdamczyk	minister	2015-11-17	2018-01-09	17/18th government	-	Ministerstwo Infrastruktury i Budownictwa	Ministry of Infrastructure and Construction	https://en.wikipedia.org/wiki/Ministry_of_Infrastructure_and_Construction	-
PL	AndrzejAdamczyk	minister	2018-01-10	-	18/19th government	-	Ministerstwo Infrastruktury	Ministry of Infrastructure	https://en.wikipedia.org/wiki/Ministry_of_Infrastructure_(Poland)	-
PL	AnnaStreżyńska	minister	2015-11-16	2018-01-09	17/18th government	-	Ministerstwo Cyfryzacji	Ministry of Digital Affairs	https://en.wikipedia.org/wiki/Ministry_of_Digital_Affairs	-
PL	AnnaZalewska	minister	2015-11-17	2019-06-04	17/18th government	-	Ministerstwo Edukacji Narodowej	Ministry of National Education	-	-
PL	AntoniMacierewicz	minister	2015-11-16	2018-01-09	17/18th government	-	Ministerstwo Obrony Narodowej	Ministry of National Defence	-	-
PL	BartoszArłukowicz	minister	2011-11-18	2015-06-10	… to 16th government	-	Ministerstwo Zdrowia	Ministry of Health	https://en.wikipedia.org/wiki/Ministry_of_Health_(Poland)	-
PL	BorysBudka	minister	2015-05-05	2015-11-16	17th government	-	Ministerstwo Sprawiedliwości	Ministry of Justice	-	-
PL	BożenaBorysSzopa	minister	2019-06-05	2019-11-15	18th government	-	Ministerstwo Rodziny, Pracy i Polityki Społecznej	Ministry of Family and Social Policy	-	-
PL	CezaryGrabarczyk	minister	2014-09-22	2015-04-30	16/17th government	-	Ministerstwo Sprawiedliwości	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Poland)	-
PL	DanutaDmowskaAndrzejuk	minister	2019-12-06	2020-10-06	19th government	-	Ministerstwo Sportu	Ministry of Sport	-	-
PL	DariuszPiontkowski	minister	2019-06-05	2020-10-19	18th government	-	Ministerstwo Edukacji Narodowej	Ministry of National Education	-	-
PL	DawidJackiewicz	minister	2015-11-16	2018-01-09	17th government	-	Ministerstwo Skarbu Państwa	Ministry of State Treasury	https://en.wikipedia.org/wiki/Ministry_of_State_Treasury_(Poland)	-
PL	ElżbietaRafalska	minister	2015-11-16	2019-06-04	17/18th government	-	Ministerstwo Rodziny, Pracy i Polityki Społecznej	Ministry of Family and Social Policy	https://en.wikipedia.org/wiki/Ministry_of_Family_and_Social_Policy_(Poland)	-
PL	ElżbietaWitek	minister	2019-06-04	2019-08-09	18th government	-	Ministerstwo Spraw Wewnętrznych i Administracji	Ministry of Interior and Administration	-	-
PL	EwaKopacz	minister	2015-05-01	2015-05-04	17th government	-	Ministerstwo Sprawiedliwości	Ministry of Justice	-	-
PL	GrzegorzPuda	minister	2020-10-07	2021-10-26	19th government	-	Ministerstwo Rolnictwa i Rozwoju Wsi	Ministry of Agriculture and Rural Development	-	-
PL	GrzegorzSchetyna	minister	2014-09-11	2015-11-16	16/17th government	-	Ministerstwo Spraw Zagranicznych	Ministry of Foreign Affairs	https://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_(Poland)	-
PL	HenrykKowalczyk	minister	2018-01-10	2019-11-15	18th government	-	Ministerstwo Środowiska	Ministry of Environment	-	-
PL	HenrykKowalczyk	minister	2021-10-27	-	19th government	-	Ministerstwo Rolnictwa i Rozwoju Wsi	Ministry of Agriculture and Rural Development	-	-
PL	JacekCzaputowicz	minister	2018-01-09	2020-08-20	18/19th government	-	Ministerstwo Spraw Zagranicznych	Ministry of Foreign Affairs	-	-
PL	JadwigaEmilewicz	minister	2019-11-15	-	19th government	-	Ministerstwo Rozwoju	Ministry of Development	-	-
PL	JadwigaEmilewicz	minister	2018-01-12	2019-11-15	18th government	-	Ministerstwo Przedsiębiorczości i Technologii	Ministry of Entrepreneurship and Technology	https://en.wikipedia.org/wiki/Ministry_of_Entrepreneurship_and_Technology	-
PL	JanArdanowski	minister	2018-06-20	2020-10-06	18/19th government	-	Ministerstwo Rolnictwa i Rozwoju Wsi	Ministry of Agriculture and Rural Development	-	-
PL	JanSzyszko	minister	2015-11-16	2018-01-09	17/18th government	-	Ministerstwo Środowiska	Ministry of Environment	https://en.wikipedia.org/wiki/Ministry_of_Environment_(Poland)	-
PL	JarosławGowin	minister	2015-11-17	2020-04-09	17/18/19th government	-	Ministerstwo Nauki i Szkolnictwa Wyższego	Ministry of Science and Higher Education	-	-
PL	JerzyKwieciński	minister	2019-09-21	2019-11-15	18th government	-	Ministerstwo Finansów	Ministry of Finance	-	-
PL	JoachimBrudziński	minister	2018-01-10	2019-06-04	18th government	-	Ministerstwo Spraw Wewnętrznych i Administracji	Ministry of Interior and Administration	-	-
PL	JoannaKluzikRostkowska	minister	2013-11-27	2015-11-16	16/17th government	-	Ministerstwo Edukacji Narodowej	Ministry of National Education	https://en.wikipedia.org/wiki/Ministry_of_National_Education_(Poland)	-
PL	KamilBortniczuk	minister	2021-10-27	-	19th government	-	Ministerstwo Sportu i Turystyki	Ministry of Sport and Tourism	https://en.wikipedia.org/wiki/Ministry_of_Sport_and_Tourism_(Poland)	-
PL	KonstantyRadziwiłł	minister	2015-11-17	2018-01-09	17/18th government	-	Ministerstwo Zdrowia	Ministry of Health	-	-
PL	KrzysztofJurgiel	minister	2015-11-17	2018-06-19	17/18th government	-	Ministerstwo Rolnictwa i Rozwoju Wsi	Ministry of Agriculture and Rural Development	-	-
PL	KrzysztofTchórzewski	minister	2015-12-01	2019-11-15	17/18/19th government	-	Ministerstwo Energii	Ministry of Energy	https://pl.wikipedia.org/wiki/Ministerstwo_Energii	-
PL	MarekGróbarczyk	minister	2016-11-15	2020-10-06	17/18/19th government	-	Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej	Ministry of Marine Economy and Inland Navigation	https://en.wikipedia.org/wiki/Ministry_of_Marine_Economy_and_Inland_Navigation	-
PL	MarekSawicki	minister	2014-03-17	2015-11-16	16/17th government	-	Ministerstwo Rolnictwa i Rozwoju Wsi	Ministry of Agriculture and Rural Development	https://en.wikipedia.org/wiki/Ministry_of_Agriculture_and_Rural_Development_(Poland)	-
PL	MarekZagórski	minister	2018-04-18	2020-10-07	18/19th government	-	Ministerstwo Cyfryzacji	Ministry of Digital Affairs	-	-
PL	MarianBanaś	minister	2019-06-05	2019-08-30	18th government	-	Ministerstwo Finansów	Ministry of Finance	-	-
PL	MarianZembala	minister	2015-06-11	2015-11-16	16/17th government	-	Ministerstwo Zdrowia	Ministry of Health	-	-
PL	MariuszBłaszczak	minister	2018-01-10	-	18/19th government	-	Ministerstwo Obrony Narodowej	Ministry of National Defence	-	-
PL	MariuszBłaszczak	minister	2015-11-16	2018-01-09	17/18th government	-	Ministerstwo Spraw Wewnętrznych i Administracji	Ministry of Interior and Administration	https://en.wikipedia.org/wiki/Ministry_of_Interior_and_Administration_(Poland)	-
PL	MariuszKamiński	minister	2019-08-14	-	18/19th government	-	Ministerstwo Spraw Wewnętrznych i Administracji	Ministry of Interior and Administration	-	-
PL	MarlenaMaląg	minister	2019-11-16	-	19th government	-	Ministerstwo Rodziny, Pracy i Polityki Społecznej	Ministry of Family and Social Policy	-	-
PL	MateuszMorawiecki	minister	2015-11-16	2018-01-09	17/18th government	-	Ministerstwo Rozwoju	Ministry of Development	https://en.wikipedia.org/wiki/Ministry_of_Development_(Poland)	-
PL	MateuszMorawiecki	minister	2016-09-29	2018-01-09	17/18th government	-	Ministerstwo Finansów	Ministry of Finance	-	-
