ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	PT	-	1201	CDU	1999	2.8	2.4	-	-	-	-	-	-	-	-	35229	-	-	-	-	-	1	-	1999	-	-	10.3	-	-	-	5	-	-	-	5.4	2.0	-	4.7	6	3.2	3.2	3	-	-	-	2.6	-	4.5	-	1	5	6	3	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7.4	-	-	-	-	-	-	-	-	9	2020.1
1999-2019	PT	-	1201	CDU	2002	1.6	1.1	-	-	-	-	-	-	-	-	35229	-	-	-	-	-	1	-	2002	-	-	10.3	-	-	5.6	5.5	-	-	-	6.8	2.9	-	4.5	5.7	2.9	-	3.9	-	2	-	2.7	-	4.8	-	1	7	6	2.4	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.2	-	-	-	-	-	-	-	-	6.9	2020.1
1999-2019	PT	-	1201	CDU	2006	2.3	0.9	-	-	-	-	-	-	2.5	5.7	35229	-	5	4.6	7.6	0.7	1	-	2005	-	-	9.1	1.7	6.3	-	-	-	-	-	5.9	1.6	-	-	-	4.9	-	2.7	-	3.1	-	3.8	-	5.3	4.7	1	10	6	2.5	-	-	-	-	0.0	-	2.8	5.9	-	-	-	-	-	-	-	-	2.8	-	-	-	9.1	0.7	5.3	2.5	5.7	0.4	-	6.1	5.2	2.7	0.6	8.7	6.3	5.1	0.8	8.2	7.6	2020.1
1999-2019	PT	-	1201	CDU	2010	0.7	0.5	-	-	-	-	-	-	2.7	5.5	35229	-	-	-	5.6	0.2	1	-	2009	3.3	3.8	10.6	1.8	2	-	-	2.7	-	-	6.2	0.8	-	-	-	4.8	-	2.2	-	2	-	3.0	-	5	5	1	6	6	1.7	-	-	-	-	0.0	-	2.2	3.7	2.5	7	-	-	-	-	-	2.7	3	-	-	-	9.2	0.2	4	4.3	3.6	0.4	-	6.5	2.6	2.2	0.5	8.3	5.2	5.3	-	-	7.9	2020.1
1999-2019	PT	-	1201	CDU	2014	0.5	0.3	-	-	10	-	-	7.5	2.2	-	35229	7.8	-	-	-	0.2	1	0.2	2011	-	3.2	13.7	3	-	-	-	2.9	-	1	3.8	0.3	-	-	-	4.8	-	1.5	-	2	-	1.9	-	7.1	5	1	8	6	4.2	-	-	2.5	-	0.0	-	2.5	-	-	9.2	-	14	13	17	-	-	2	4.8	-	-	-	0.2	-	1.7	-	0.5	-	7	-	5	2.3	-	5.5	-	-	-	8.2	2020.1
1999-2019	PT	-	1209	MPT	2014	6.8	7.0	-	-	8	-	-	8	2.7	-	-	7.7	-	-	-	4.3	1	7	2011	-	0.5	7.7	8	-	-	-	1.8	-	3	6	2.5	-	-	-	5	-	4	-	5.5	-	3.4	-	4.7	4	1	8	7	6.3	-	-	3.8	-	0.0	-	7	-	-	6	-	1	3	6	-	-	7.5	6.7	-	-	-	3	-	5	-	7	-	0	-	8	4.3	-	6.3	-	-	-	0.4	2020.1
1999-2019	PT	-	1201	CDU	2019	0.9	0.6	2.2	0.8	8.4	-	2	7.7	4.2	-	35229	7.6	-	-	-	0.9	1	0.6	2019	6	3.3	-	2	-	-	2.8	-	4.5	1.3	4.2	0.3	-	-	-	-	-	3.5	-	2.9	-	2.4	-	5.2	-	1	8	6	5.1	2	2	5.9	-	0.0	1.7	2.4	4.8	-	-	8.4	-	-	-	2	5.1	1.8	5.5	6.6	8.7	8.9	0.9	-	2.2	-	0.7	1.8	-	-	4.4	1.5	-	7.2	-	-	-	-	2020.1
1999-2019	PT	BE	1208	BE	1999	2.5	2.5	-	-	-	-	-	-	-	-	35211	-	-	-	-	-	1	-	1999	-	-	1.8	-	-	-	6	-	-	-	5	3.3	-	6	7	4.5	5	3.5	-	-	-	2.5	-	4.4	-	1	5	6	2.5	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.9	-	-	-	-	-	-	-	-	2.4	2020.1
1999-2019	PT	BE	1208	BE	2006	1.4	1.2	-	-	-	-	-	-	1.8	8	35211	-	1.4	5.2	7.6	0.6	1	-	2005	-	-	4.9	0.9	8.3	-	-	-	-	-	6.2	2.5	-	-	-	5.2	-	2.6	-	3.2	-	4.0	-	5.3	5.3	1	10	6	0.9	-	-	-	-	0.0	-	0.9	7.8	-	-	-	-	-	-	-	-	0.8	-	-	-	9	0.7	5.1	3	5.7	1.3	-	3.5	8.8	0.5	0.6	8.7	2.1	5.4	0.6	8.4	6.4	2020.1
1999-2019	PT	BE	1208	BE	2010	1.2	1.0	-	-	-	-	-	-	0.5	6.8	35211	-	-	-	6.6	0.5	1	-	2009	4.8	2	10.7	0.6	5.7	-	-	2	-	-	6.2	1.8	-	-	-	5.6	-	4.2	-	3.4	-	3.7	-	5.6	5	1	6	6	0.2	-	-	-	-	0.0	-	0.3	7	3.3	7	-	-	-	-	-	6	0.6	-	-	-	9.2	0.2	2.8	4.4	4	0.2	-	7	9.2	0	0.5	8	1.6	5	-	-	9.8	2020.1
