Country	PersonID	Role	From	To	GovtTermID	MinistryID	orgName-xx	orgName-en	URL	Comment
RS	KrstićLazar	minister	2013-09-02	2014-07-15	12/13th cabinet	-	Ministarstvo finansija	Ministry of Finance	https://en.wikipedia.org/wiki/Ministry_of_Finance_(Serbia)	-
RS	VujovićDušan	minister	2014-07-16	2018-05-16	13/14/15th cabinet	-	Ministarstvo finansija	Ministry of Finance	https://en.wikipedia.org/wiki/Ministry_of_Finance_(Serbia)	-
RS	BrnabićAna	minister	2018-05-17	2018-05-29	15th cabinet	-	Ministarstvo finansija	Ministry of Finance	https://en.wikipedia.org/wiki/Ministry_of_Finance_(Serbia)	-
RS	MaliSiniša	minister	2018-05-30	-	15/16/17th cabinet	-	Ministarstvo finansija	Ministry of Finance	https://en.wikipedia.org/wiki/Ministry_of_Finance_(Serbia)	-
RS	RadulovićSaša	minister	2013-09-02	2014-01-24	12th cabinet	-	Ministarstvo privrede	Ministry of Economy	https://en.wikipedia.org/wiki/Ministry_of_Economy_(Serbia)	-
RS	MirovićIgor	minister	2014-01-25	2014-04-27	12th cabinet	-	Ministarstvo privrede	Ministry of Economy	https://en.wikipedia.org/wiki/Ministry_of_Economy_(Serbia)	-
RS	VujovićDušan	minister	2014-04-28	2014-09-03	13th cabinet	-	Ministarstvo privrede	Ministry of Economy	https://en.wikipedia.org/wiki/Ministry_of_Economy_(Serbia)	-
RS	SertićŽeljko	minister	2014-09-04	2016-08-11	13th cabinet	-	Ministarstvo privrede	Ministry of Economy	https://en.wikipedia.org/wiki/Ministry_of_Economy_(Serbia)	-
RS	KneževićGoran	minister	2016-08-12	2020-10-28	14/15th cabinet	-	Ministarstvo privrede	Ministry of Economy	https://en.wikipedia.org/wiki/Ministry_of_Economy_(Serbia)	-
RS	AtanaskovićAnđelka	minister	2020-10-29	2022-10-26	16th cabinet	-	Ministarstvo privrede	Ministry of Economy	https://en.wikipedia.org/wiki/Ministry_of_Economy_(Serbia)	-
RS	BastaRade	minister	2022-10-27	-	17th cabinet	-	Ministarstvo privrede	Ministry of Economy	https://en.wikipedia.org/wiki/Ministry_of_Economy_(Serbia)	This speaker cannot be found in RS corpus
RS	GlamočićDragan	minister	2013-09-02	2014-04-27	12th cabinet	-	Ministarstvo poljoprivrede, šumarstva i vodoprivrede	Ministry of Agriculture, Forestry and Water Economy	https://en.wikipedia.org/wiki/Ministry_of_Agriculture,_Forestry_and_Water_Economy_(Serbia)	-
RS	BogosavljevićBoškovićSnežana	minister	2014-04-28	2016-08-11	13th cabinet	-	Ministarstvo poljoprivrede, šumarstva i vodoprivrede	Ministry of Agriculture, Forestry and Water Economy	https://en.wikipedia.org/wiki/Ministry_of_Agriculture,_Forestry_and_Water_Economy_(Serbia)	-
RS	NedimovićBranislav	minister	2016-08-12	2022-10-26	14/15/16th cabinet	-	Ministarstvo poljoprivrede, šumarstva i vodoprivrede	Ministry of Agriculture, Forestry and Water Economy	https://en.wikipedia.org/wiki/Ministry_of_Agriculture,_Forestry_and_Water_Economy_(Serbia)	-
RS	TanaskovićJelena	minister	2022-10-27	-	17th cabinet	-	Ministarstvo poljoprivrede, šumarstva i vodoprivrede	Ministry of Agriculture, Forestry and Water Economy	https://en.wikipedia.org/wiki/Ministry_of_Agriculture,_Forestry_and_Water_Economy_(Serbia)	This speaker cannot be found in RS corpus
RS	BačevićMilan	minister	2012-07-27	2014-04-27	12th cabinet	-	Ministarstvo zaštite životne sredine	Ministry of Environmental Protection	https://en.wikipedia.org/wiki/Ministry_of_Environmental_Protection_(Serbia)	-
RS	TrivanGoran	minister	2017-06-29	2020-10-28	15th cabinet	-	Ministarstvo zaštite životne sredine	Ministry of Environmental Protection	https://en.wikipedia.org/wiki/Ministry_of_Environmental_Protection_(Serbia)	-
RS	VujovićIrena	minister	2020-10-29	-	16/17th cabinet	-	Ministarstvo zaštite životne sredine	Ministry of Environmental Protection	https://en.wikipedia.org/wiki/Ministry_of_Environmental_Protection_(Serbia)	-
RS	AntićAleksandar	minister	2013-09-02	2014-04-27	12th cabinet	-	Ministarstvo građevinarstva, saobraćaja i infrastrukture	Ministry of Construction, Transport and Infrastructure	https://en.wikipedia.org/wiki/Ministry_of_Construction,_Transport_and_Infrastructure_(Serbia)	-
RS	MihajlovićZorana	minister	2014-04-28	2020-10-28	13/14/15th cabinet	-	Ministarstvo građevinarstva, saobraćaja i infrastrukture	Ministry of Construction, Transport and Infrastructure	https://en.wikipedia.org/wiki/Ministry_of_Construction,_Transport_and_Infrastructure_(Serbia)	-
RS	MomirovićTomislav	minister	2020-10-28	2022-10-26	16th cabinet	-	Ministarstvo građevinarstva, saobraćaja i infrastrukture	Ministry of Construction, Transport and Infrastructure	https://en.wikipedia.org/wiki/Ministry_of_Construction,_Transport_and_Infrastructure_(Serbia)	-
RS	VesićGoran	minister	2022-10-27	-	17th cabinet	-	Ministarstvo građevinarstva, saobraćaja i infrastrukture	Ministry of Construction, Transport and Infrastructure	https://en.wikipedia.org/wiki/Ministry_of_Construction,_Transport_and_Infrastructure_(Serbia)	-
RS	MihajlovićZorana	minister	2012-07-27	2014-04-27	12th cabinet	-	Ministarstvo rudarstva i energetike	Ministry of Mining and Energy	https://en.wikipedia.org/wiki/Ministry_of_Mining_and_Energy_(Serbia)	-
RS	AntićAleksandar	minister	2014-04-28	2020-10-28	13/14/15th cabinet	-	Ministarstvo rudarstva i energetike	Ministry of Mining and Energy	https://en.wikipedia.org/wiki/Ministry_of_Mining_and_Energy_(Serbia)	-
RS	MihajlovićZorana	minister	2020-10-29	2022-10-26	16th cabinet	-	Ministarstvo rudarstva i energetike	Ministry of Mining and Energy	https://en.wikipedia.org/wiki/Ministry_of_Mining_and_Energy_(Serbia)	-
RS	ĐedovićDubravka	minister	2022-10-27	-	17th cabinet	-	Ministarstvo rudarstva i energetike	Ministry of Mining and Energy	https://en.wikipedia.org/wiki/Ministry_of_Mining_and_Energy_(Serbia)	This speaker cannot be found in RS corpus
RS	LjajićRasim	minister	2012-07-27	2020-10-28	12/13/14/15th cabinet	-	Ministarstvo unutrašnje i spoljašnje trgovine	Ministry of Internal and Foreign Trade	https://en.wikipedia.org/wiki/Ministry_of_Internal_and_Foreign_Trade_(Serbia)	-
RS	MatićTatjana	minister	2020-10-29	2022-10-26	16th cabinet	-	Ministarstvo unutrašnje i spoljašnje trgovine	Ministry of Internal and Foreign Trade	https://en.wikipedia.org/wiki/Ministry_of_Internal_and_Foreign_Trade_(Serbia)	-
