country	id	surname	forename	sex
RS	AbdAli	Ali	Abd	M
RS	AckovićDragoljub	Dragoljub	Acković	M
RS	AderJanoš	Janoš	Ader	M
RS	AdžemovićNevena	Nevena	Adžemović	F
RS	AdžićSlobodan	Slobodan	Adžić	M
RS	AgatonovićBorjan	Borjan	Agatonović	M
RS	AgramuntPedro	Pedro	Agramunt	M
RS	AhmetiRamadan	Ramadan	Ahmeti	M
RS	AksentijevićDanka	Danka	Aksentijević	F
RS	AksentijevićSiniša	Siniša	Aksentijević	M
RS	AlavanjaSlobodan	Slobodan	Alavanja	M
RS	AlbijanićMiloljub	Miloljub	Albijanić	M
RS	AleksićBojana	Bojana	Aleksić	F
RS	AleksićBoris	Boris	Aleksić	M
RS	AleksićDragan	Dragan	Aleksić	M
RS	AleksićGradimir	Gradimir	Aleksić	M
RS	AleksićIrena	Irena	Aleksić	F
RS	AleksićMiroslav	Miroslav	Aleksić	M
RS	AleksićZagorka	Zagorka	Aleksić	F
RS	AligrudićMiloš	Miloš	Aligrudić	M
RS	AlimpićZoran	Zoran	Alimpić	M
RS	AnastasovAdriana	Adriana	Anastasov	F
RS	AnastasovskiDragoljub	Dragoljub	Anastasovski	M
RS	AnatoljevičMedvedevDmitrij	Dmitrij	Anatoljevič Medvedev	M
RS	AndrejevićDejan	Dejan	Andrejević	M
RS	AndrićDragan	Dragan	Andrić	M
RS	AndrićIvan	Ivan	Andrić	M
RS	AndrićMilena	Milena	Andrić	F
RS	AndrićMirjana	Mirjana	Andrić	F
RS	AndrićSvetozar	Svetozar	Andrić	M
RS	AndrićVladimir	Vladimir	Andrić	M
RS	AntićAleksandar	Aleksandar	Antić	M
RS	AntićOliver	Oliver	Antić	M
RS	AntićZoran	Zoran	Antić	M
RS	AntonBiači	Biači	Anton	M
RS	AntonijevićVladimir	Vladimir	Antonijević	M
RS	AntonijevićVuko	Vuko	Antonijević	M
RS	AnđelkovićDušica	Dušica	Anđelković	F
RS	AnđelkovićZoran	Zoran	Anđelković	M
RS	AnđelkovićZoranM	Zoran M.	Anđelković	M
RS	AranđelovićMarija	Marija	Aranđelović	F
RS	ArežinaRadovan	Radovan	Arežina	M
RS	ArnerićNeda	Neda	Arnerić	M
RS	ArsenovićKonstantin	Konstantin	Arsenović	M
RS	ArsićJoca	Joca	Arsić	M
RS	ArsićTihomir	Tihomir	Arsić	M
RS	ArsićVeroljub	Veroljub	Arsić	M
RS	AtanackovićNebojša	Nebojša	Atanacković	M
RS	AtanackovićNebojšaBoban	Nebojša-Boban	Atanacković	M
RS	AtanaskovićAnđelka	Anđelka	Atanasković	F
RS	AtilaJuhas	Juhas	Atila	M
RS	AtlagićMarko	Marko	Atlagić	M
RS	AvramovAndrijana	Andrijana	Avramov	M
RS	AvramovMita	Mita	Avramov	M
RS	AvramovićDragan	Dragan	Avramović	M
RS	AvramovićMilan	Milan	Avramović	M
RS	AćimovićDragan	Dragan	Aćimović	M
RS	BabićDragoš	Dragoš	Babić	M
RS	BabićTatjana	Tatjana	Babić	F
RS	BabićVlado	Vlado	Babić	M
RS	BabićZoran	Zoran	Babić	M
RS	BabovićJovan	Jovan	Babović	M
RS	BajatovićDušan	Dušan	Bajatović	M
RS	BajićRade	Rade	Bajić	M
RS	BajovićSnežana	Snežana	Bajović	F
RS	BajramiArđend	Arđend	Bajrami	M
RS	BajčetićPredrag	Predrag	Bajčetić	M
RS	BajčetićRade	Rade	Bajčetić	M
RS	BakarecNebojša	Nebojša	Bakarec	M
RS	BakovićTatomir	Tatomir	Baković	M
RS	BalinovacZoran	Zoran	Balinovac	M
RS	BanacGrozdana	Grozdana	Banac	F
RS	BanovićDonka	Donka	Banović	F
RS	BančevićBranka	Branka	Bančević	F
RS	BanđurMiloš	Miloš	Banđur	M
RS	BaralićRajko	Rajko	Baralić	M
RS	BaraćMilun	Milun	Barać	M
RS	BarišićDragana	Dragana	Barišić	F
RS	BarošNenad	Nenad	Baroš	M
RS	BatakovićDušan	Dušan	Bataković	M
RS	BatićOlgica	Olgica	Batić	F
RS	BatićVladan	Vladan	Batić	M
RS	BauerIvan	Ivan	Bauer	M
RS	BačevacMuamer	Muamer	Bačevac	M
RS	BačevićMilan	Milan	Bačević	M
RS	BađevićVlastimir	Vlastimir	Bađević	M
RS	BelačićAleksandra	Aleksandra	Belačić	F
RS	BelićMilorad	Milorad	Belić	M
RS	BeloicaAna	Ana	Beloica	F
RS	BeretićAnita	Anita	Beretić	F
RS	BerićNebojša	Nebojša	Berić	M
RS	BeronjaLjiljana	Ljiljana	Beronja	F
RS	BesarovićVesna	Vesna	Besarović	F
RS	BećiriNadije	Nadije	Bećiri	F
RS	BečićIgor	Igor	Bečić	M
RS	BeševićBranko	Branko	Bešević	M
RS	BiačiAnton	Anton	Biači	M
RS	BiljićVojin	Vojin	Biljić	M
RS	BinićDragiša	Dragiša	Binić	M
RS	BirmančevićBoban	Boban	Birmančević	M
RS	BićaninMilena	Milena	Bićanin	F
RS	BjelobabaĐurđina	Đurđina	Bjelobaba	F
RS	BjelogrlićSnežana	Snežana	Bjelogrlić	F
RS	BlagojevićMarko	Marko	Blagojević	M
RS	BlažićBranislav	Branislav	Blažić	M
RS	BlažićMilovan	Milovan	Blažić	M
