country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
SE	C	C	1999	2020.1	5.67	5.67	-	-	-	-	-	-	-	-	11810	-	-	-	-	-	1	-	1998	-	-	6	-	-	-	3.83	-	-	-	4.80	4.44	-	4	5.71	4	2	3.71	-	-	-	3.67	-	4.38	-	1	9	11	7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.20	-	-	-	-	-	-	-	-	5.1
SE	C	C	2002	2020.1	5.58	5.58	-	-	-	-	-	-	-	-	11810	-	-	-	-	-	1	-	2002	-	-	6	-	-	3.91	4.7	-	-	-	5.2	4.44	-	4.44	5.67	3.2	-	3.5	-	4.17	-	4.42	-	4.73	-	1	12	11	6.25	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6.30	-	-	-	-	-	-	-	-	6.2
SE	C	C	2006	2020.1	6.33	7.22	-	-	-	-	-	-	6.22	7	11810	-	5.13	3.75	6.75	7.22	1	-	2006	-	-	6.30	4.67	4.29	-	-	-	-	-	6.14	4.27	-	-	-	4.67	-	5.38	-	6.11	-	5.55	-	5.17	5.67	1	11	11	5.38	-	-	-	-	0.5	-	5.56	6.56	-	-	-	-	-	-	-	-	6	-	-	-	5.78	6.22	6.43	2.5	5.22	3.67	-	8.30	6.67	3.33	7.11	7.11	6.78	7.38	5.11	4.56	7.9
SE	C	C	2010	2020.1	7.0	7.29	-	-	-	-	-	-	6.21	5.71	11810	-	-	-	7.31	7.5	1	-	2010	6.36	4.21	5.47	4.75	4.08	-	-	1.2	-	-	5.79	4.13	-	-	-	4.69	-	5.47	-	6.07	-	5.73	-	5.33	5.87	1	15	11	5	-	-	-	-	1.0	-	4.5	4.79	5.07	2.93	-	-	-	-	-	4.58	4.42	-	-	-	5.93	6.14	6	2.86	4.07	3.69	-	6.60	5.31	3	7.43	7.14	6.43	6.07	-	-	6.6
SE	C	C	2014	2020.1	7.24	7.67	-	-	7.48	-	-	2.05	4.67	-	11810	1.89	-	-	-	8.06	1	7.37	2014	-	3.68	6.5	3.31	-	-	-	1.32	-	3.41	5	4.25	-	-	-	5	-	5.06	-	5.53	-	5.41	-	3.95	5.41	1	22	11	3.05	-	-	5.76	-	0.5	-	1.94	-	-	3.31	-	13	18	5	-	-	2.63	3	-	-	-	6.22	-	3	-	2.24	-	6.30	-	2	6.68	-	6.95	-	-	-	6.1
SE	C	C	2019	2020.1	6.82	8.0	2.2	2.11	7.35	-	1.71	1.88	4.65	-	11810	0.93	-	-	-	8.69	1	7.24	2018	7.41	3.88	10.78	2.38	-	-	4.54	-	2.90	3.85	5	2.67	-	-	-	-	-	3.85	-	6.43	-	6.06	-	4.53	-	1	17	11	2.24	1.62	1.25	7.56	-	0.0	2.06	1.94	7.76	-	-	6.07	-	-	-	2.25	7.19	2.47	2	3.13	2.07	5.33	6.75	-	3.62	-	2	2.58	8.90	-	0.76	7.59	-	7.41	-	-	-	8.6
SE	KD	KD	1999	2020.1	7.25	6.67	-	-	-	-	-	-	-	-	11520	-	-	-	-	-	1	-	1998	-	-	7.60	-	-	-	5.40	-	-	-	4.75	3.61	-	4.20	6.17	5	3.62	5.33	-	-	-	5.67	-	5	-	1	9	4	8.12	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	-	-	-	-	-	-	-	-	11.80
SE	KD	KD	2002	2020.1	7.25	6.92	-	-	-	-	-	-	-	-	11520	-	-	-	-	-	1	-	2002	-	-	7.60	-	-	2.27	5.55	-	-	-	4.3	4.17	-	4.11	5.64	4.33	-	4.08	-	5.33	-	5.92	-	5.27	-	1	12	4	7.5	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9.5	-	-	-	-	-	-	-	-	9.1
SE	KD	KD	2006	2020.1	6.89	6.89	-	-	-	-	-	-	7.33	7.44	11520	-	5.5	3.88	6.13	7	1	-	2006	-	-	5.70	4.78	4.33	-	-	-	-	-	5.43	4.18	-	-	-	4.5	-	5.25	-	5.89	-	5.82	-	3.93	5.56	1	11	4	7.56	-	-	-	-	0.5	-	5	6.33	-	-	-	-	-	-	-	-	6.75	-	-	-	5.67	5.67	5.29	4.75	8.33	7.78	-	6.90	8.56	7.22	6.89	6.67	5.44	5.63	6.25	4.78	6.6
SE	KD	KD	2010	2020.1	7.07	7.07	-	-	-	-	-	-	7	6.57	11520	-	-	-	6.77	7.21	1	-	2010	4.86	5.21	4.68	4.62	4.42	-	-	1.2	-	-	5.36	3.73	-	-	-	4.77	-	5.71	-	5.87	-	5.93	-	5.78	5.67	1	15	4	7	-	-	-	-	1.0	-	4.57	5	5.15	3.29	-	-	-	-	-	5.08	5.25	-	-	-	5.86	6.07	4.33	3.82	7.29	7.07	-	5.40	7.5	6.36	7.14	7.07	5.21	4.36	-	-	5.6
