country	pm_id	lr	url	comment
SI	DeSUS	CCL	https://sl.wikipedia.org/wiki/Demokratična_stranka_upokojencev_Slovenije	-
SI	DL	CCR	https://en.wikipedia.org/wiki/Civic_List_(Slovenia)	-
SI	DLGV	R	https://sl.wikipedia.org/wiki/Državljanska_lista	-
SI	GAS	CR	https://sl.wikipedia.org/wiki/Gospodarsko_aktivna_stranka	-
SI	Konkretno	C	https://en.wikipedia.org/wiki/Concretely	-
SI	Levica	L	https://sl.wikipedia.org/wiki/Levica_(politična_stranka)	-
SI	LDS	CCL	https://sl.wikipedia.org/wiki/Liberalna_demokracija_Slovenije	-
SI	Lipa	-	-	-
SI	LMŠ	CCL	https://sl.wikipedia.org/wiki/Lista_Marjana_Šarca	-
SI	NeP	-	-	-
SI	NSi	CR	https://sl.wikipedia.org/wiki/Nova_Slovenija	-
SI	NP	-	-	-
SI	PS	CCL	https://sl.wikipedia.org/wiki/Pozitivna_Slovenija	-
SI	SLS+SKD	CR	https://sl.wikipedia.org/wiki/SLS+SKD_Slovenska_ljudska_stranka	-
SI	SDS	R	https://sl.wikipedia.org/wiki/Slovenska_demokratska_stranka	-
SI	SLS	CR	https://sl.wikipedia.org/wiki/Slovenska_ljudska_stranka	-
SI	SNS	RRF	https://sl.wikipedia.org/wiki/Slovenska_nacionalna_stranka	-
SI	SDS	R	https://sl.wikipedia.org/wiki/Slovenska_demokratska_stranka	-
SI	SD	CL	https://sl.wikipedia.org/wiki/Socialni_demokrati	-
SI	SAB	CL	https://sl.wikipedia.org/wiki/Stranka_Alenke_Bratušek	-
SI	SMC	CCL	https://sl.wikipedia.org/wiki/Stranka_modernega_centra	-
SI	SMS	CL	https://sl.wikipedia.org/wiki/Stranka_mladih_-_Zeleni_Evrope	-
SI	SMC	CCL	https://sl.wikipedia.org/wiki/Stranka_modernega_centra	-
SI	Zares	CL	https://sl.wikipedia.org/wiki/Zares	-
SI	Zares	CL	https://sl.wikipedia.org/wiki/Zares	-
SI	ZaAB	CL	https://sl.wikipedia.org/wiki/Stranka_Alenke_Bratušek	-
SI	zasld	CL	https://sl.wikipedia.org/wiki/Stranka_Alenke_Bratušek	-
SI	ZL	L	https://en.wikipedia.org/wiki/United_Left_(Slovenia)	-
SI	ZLSD	CL	https://sl.wikipedia.org/wiki/Socialni_demokrati	-
