country	pm_id	lr	encoder	comment
UA	бЛитвин	CCL	AnnaKryvenko	The participating parties were C to CL (https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_(%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0) & https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0)
UA	ЄПУ	C	AnnaKryvenko	en.wiki
UA	ЄОО	CCR	AnnaKryvenko	c.f. uk.wiki (The party bloced with the CR Our Ukraine but supported the C Party of Regions)
UA	АПУ96	C	AnnaKryvenko	en.wiki
UA	АПУ06	C	AnnaKryvenko	en.wiki
UA	бНУ06	CR	AnnaKryvenko	en.wiki
UA	БПП	CR	AnnaKryvenko	en.wiki
UA	бНУ02	CR	AnnaKryvenko	en.wiki
UA	бБЮТ	BT	AnnaKryvenko	en.wiki ; c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	бДемБлок	CR	AnnaKryvenko	The participating parties are https://en.wikipedia.org/wiki/Democratic_Party_of_Ukraine (split from РУХ) & https://uk.wikipedia.org/wiki/%D0%94%D0%B5%D0%BC%D0%BE%D0%BA%D1%80%D0%B0%D1%82%D0%B8%D1%87%D0%BD%D0%B8%D0%B9_%D1%81%D0%BE%D1%8E%D0%B7#%D0%94%D0%A1_%D0%B2_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%96
UA	бЗаЄдУ	C	AnnaKryvenko	en.wiki
UA	Заступ	C	AnnaKryvenko	A single issue party mixing CL and CR points in their program.
UA	Батьківщина	CCL	AnnaKryvenko	c.f. https://uk.wikipedia.org/wiki/%D0%92%D1%81%D0%B5%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%81%D1%8C%D0%BA%D0%B5_%D0%BE%D0%B1%27%D1%94%D0%B4%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F_%C2%AB%D0%91%D0%B0%D1%82%D1%8C%D0%BA%D1%96%D0%B2%D1%89%D0%B8%D0%BD%D0%B0%C2%BB ; https://razumkov.org.ua/uploads/article/2017_PARTII.pdf; https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	Громада	CL	AnnaKryvenko	en.wiki
UA	Демократи	C	AnnaKryvenko	Before they changed their name they supported За ЄдУ (C) at the 2002 election https://uk.wikipedia.org/wiki/%D0%92%D1%81%D0%B5%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%81%D1%8C%D0%BA%D0%B5_%D0%BE%D0%B1%27%D1%94%D0%B4%D0%BD%D0%B0%D0%BD%D0%BD%D1%8F_%C2%AB%D0%94%D0%B5%D0%BC%D0%BE%D0%BA%D1%80%D0%B0%D1%82%D0%B8%C2%BB
UA	Свобода	RRF	AnnaKryvenko	en.wiki
UA	ПОРА	CR	AnnaKryvenko	The party bloced with #pp.PRP
UA	Позиція	C	AnnaKryvenko	en.wiki
UA	гЄвВибір	C	AnnaKryvenko	In Nov 2003, the group merged into fr.reg
UA	гВоляН05	C	AnnaKryvenko	The group bloced with ppu (C)
UA	грДемУ	CL	AnnaKryvenko	en.wiki, also see uk.wiki
UA	гДемІ-Народовладдя	C	AnnaKryvenko	The group later merged into fr.edup (C)
UA	гДемІ	C	AnnaKryvenko	Its leader later joined fr.edup
UA	гЗМіС	BT	AnnaKryvenko	It consisted of the former members of the Party of Regions, Communists and Soyuz
UA	гНарВибір	C	AnnaKryvenko	Based on fr.edu, renamed to gr.soyuz ; https://www.pravda.com.ua/news/2002/07/5/2989640/
UA	гНародовладдя	C	AnnaKryvenko	The group later bloced with gr.demi (C)
UA	гРЗМ	CCR	AnnaKryvenko	It consisted of the former members of бБЮТ & бНУНС.
UA	гСоюз	C	AnnaKryvenko	gr.pch was renamed to gr.soyuz
UA	гСЄУ	C	AnnaKryvenko	c.f. https://uk.wikipedia.org/wiki/%D0%A1%D1%83%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%BD%D0%B0_%D1%94%D0%B2%D1%80%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0
UA	гЦентр	C	AnnaKryvenko	Several group members were affiliated with the other C groups in the Rada at other times.
UA	гВоляН	C	AnnaKryvenko	en.wiki
UA	гВідродження15	C	AnnaKryvenko	Related to the Party of Regions
UA	гЕР	C	AnnaKryvenko	Related to the Party of Regions
UA	гПВідродження15	C	AnnaKryvenko	Related to the Party of Regions
UA	гНБЛ	CCL	AnnaKryvenko	The group leaders Lytvyn and Sharov represented C to CL parties.
UA	гПППУ-ВоляН	C	AnnaKryvenko	ppu (C) & gr.pwill
UA	гВідродження05	C	AnnaKryvenko	Related to the Party of Regions
UA	гДовіраН	C	AnnaKryvenko	Renamed to the Revilal
UA	гПЗМ	CR	AnnaKryvenko	en.wiki
UA	гВУ	BT	AnnaKryvenko	split from the Opposition Platform — For Life, Servant of the People, and Dovira
UA	гДовіра	BT	AnnaKryvenko	en.wiki
UA	гЗМ	CR	AnnaKryvenko	en.wiki
UA	гПЗЖМ	CL	AnnaKryvenko	en.wiki
UA	гАУ	C	AnnaKryvenko	Related to АПУ
UA	КПРС	FL	AnnaKryvenko	en.wiki
UA	КПУ	FL	AnnaKryvenko	en.wiki
UA	КУН	FR	AnnaKryvenko	en.wiki
UA	ЛПУ	C	AnnaKryvenko	In 1998, the party bloced with pp.PP (CL) and in 2002 with pp.nu02 (CR)
UA	Молодь	C	AnnaKryvenko	In 2010, the party supported Yanukovych (pp.Reg)
UA	НП	CL	AnnaKryvenko	c.f. https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_(%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0)
UA	НСНУ	CR	AnnaKryvenko	en.wiki
UA	НДП	CCL	AnnaKryvenko	en.wiki
UA	бНУНС	CR	AnnaKryvenko	en.wiki
UA	ПЗМ	CR	AnnaKryvenko	en.wiki
UA	СУ	CCL	AnnaKryvenko	Information obtained from https://en.wikipedia.org/wiki/Strong_Ukraine + https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0
UA	Союз	BT	AnnaKryvenko	en.wiki
UA	Справедливість	CL	AnnaKryvenko	en.wiki
UA	Відродження	C	AnnaKryvenko	Related to the Party of Regions
UA	Справи	CL	AnnaKryvenko	uk.wiki No information in the uk.wiki on the party's political orientation. It is a political project of the regional elites in Khmelnytska Oblast related to the former Party of Regions. )_(https://uk.wikipedia.org/wiki/%D0%97%D0%B0_%D0%BA%D0%BE%D0%BD%D0%BA%D1%80%D0%B5%D1%82%D0%BD%D1%96_%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%B8).
UA	ПРП	CR	AnnaKryvenko	en.wiki
UA	Солідарність	CR	AnnaKryvenko	en.wiki
UA	УВперед	CL	AnnaKryvenko	en.wiki
UA	ПЗВ	CR	AnnaKryvenko	uk.wiki
UA	ПНЕРУ	C	AnnaKryvenko	НЕР = Demo
UA	ПП	CL	AnnaKryvenko	c.f. https://en.wikipedia.org/wiki/Party_of_Labor_(Ukraine) (the external link under the entry labels it as CL)
UA	ЄС	CR	AnnaKryvenko	en.wiki
UA	ЄдЦ	C	AnnaKryvenko	en.wiki
UA	Воля	C	AnnaKryvenko	en.wiki
UA	Балога	C	AnnaKryvenko	en.wiki
UA	РУХ	CR	AnnaKryvenko	en.wiki
UA	НФ	CRR	AnnaKryvenko	en.wiki
UA	Самопоміч	CR	AnnaKryvenko	en.wiki
UA	ОПЗЖ	CCL	AnnaKryvenko	c.f. https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	ПР	C	AnnaKryvenko	en.wiki
UA	Патріот	R	AnnaKryvenko	This party is not the same as the Patriot of Ukraine. They don't have a page in Wikipedia. https://www.unian.ua/elections/10607316-politichni-sili-ukrajini-partiya-patriot.html?_gl=1*3q26jd*_ga*MTU1MDUyMDkzOC4xNjkzNTUyNzcx*_ga_TECJ2YKWSJ*MTY5MzU1MzAzMy4xLjAuMTY5MzU1MzAzMy42MC4wLjA.*_ga_DENC12J6P3*MTY5MzU1MzAzMy4xLjAuMTY5MzU1MzAzMy42MC4wLjA.; https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%BC%D1%88%D0%B0_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%AF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87; https://www.chesno.org/party/138/
UA	ПС	RRF	AnnaKryvenko	en.wiki
UA	СН	C	AnnaKryvenko	en.wiki
UA	ТУ	CL	AnnaKryvenko	en.wiki
UA	УСГ	C	AnnaKryvenko	en.wiki
UA	Голос	CR	AnnaKryvenko	en.wiki
UA	Край	CL	AnnaKryvenko	en.wiki
UA	НУ	CR	AnnaKryvenko	en.wiki
UA	Нові	C	AnnaKryvenko	uk.wiki
UA	Опоблок	CCL	AnnaKryvenko	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	СЛ	C	AnnaKryvenko	en.wiki
UA	СіЧ	CR	AnnaKryvenko	en.wiki
UA	УДАР	C	AnnaKryvenko	en.wiki
UA	УКРОП	SY	AnnaKryvenko	en.wiki
UA	Ляшко	SY	AnnaKryvenko	en.wiki
UA	РПУ	CR	AnnaKryvenko	c.f. https://en.wikipedia.org/wiki/Ukrainian_Republican_Party This party merged into Sobor, which ih CR.
UA	РесПлат	CR	AnnaKryvenko	en.wiki
UA	РХП	CR	AnnaKryvenko	uk.wiki
UA	СДПУ(о)	CCL	AnnaKryvenko	en.wiki
UA	СПУ	L	AnnaKryvenko	en.wiki
UA	ТПУ	CL	AnnaKryvenko	en.wiki
UA	УРДП	SY	AnnaKryvenko	en.wiki
UA	УМП	C	AnnaKryvenko	c.f. http://45852.hainyzhn.web.hosting-test.net/doc/2012doc..u2.php
UA	УНП	CR	AnnaKryvenko	en.wiki
UA	УП	R	AnnaKryvenko	uk.wiki
UA	Єдність	CCR	AnnaKryvenko	c.f. uk.wiki (The party bloced with the CR Our Ukraine but supported the C Party of Regions)
UA	Собор11	CR	AnnaKryvenko	en.wiki
UA	Собор02	CR	AnnaKryvenko	en.wiki
UA	УСДП	CL	AnnaKryvenko	en.wiki
UA	фЄдУ	C	AnnaKryvenko	In June 2002, the fraction initially fell into 6 factions and groups: gr.narod (C), fr.ppu-lab (CCL), gr.au (C), fr.ndp (CCL), fr.reg (C) and gr.ech (C)
UA	фАУ	C	AnnaKryvenko	Based on gr.au (C)
UA	фЛитвин	CCL	AnnaKryvenko	The participating parties were C to CL (https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_(%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0) & https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D1%8C%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0)
UA	фНУНС	CR	AnnaKryvenko	en.wiki
UA	фПППУ	C	AnnaKryvenko	en.wiki
UA	фРЗМ	CCR	AnnaKryvenko	It consisted of the former members of бБЮТ & бНУНС.
UA	фТУ-НДП	CCL	AnnaKryvenko	lab (CL) & ndp (CCL)
UA	фАПУ	C	AnnaKryvenko	en.wiki
UA	фНУ06	CR	AnnaKryvenko	en.wiki
UA	фНУ02	CR	AnnaKryvenko	en.wiki
UA	фБЮТ	BT	AnnaKryvenko	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	фСвобода	RRF	AnnaKryvenko	en.wiki
UA	фКПУ	FL	AnnaKryvenko	en.wiki
UA	фНДП	CCL	AnnaKryvenko	en.wiki
UA	фНДП-ПППУ	CCL	AnnaKryvenko	ndp (CCL) & ppu (C)
UA	фНДП-Республіка	CCL	AnnaKryvenko	Renamed, previously fr.lab-ndp (CCL)
UA	фНДП-ТУ	CCL	AnnaKryvenko	ndp (CCL) & lab (CL)
UA	фНП05	CCL	AnnaKryvenko	en.wiki
UA	фНП10	CCL	AnnaKryvenko	en.wiki
UA	фНАПУ	C	AnnaKryvenko	Renamed, previously fr.apu (C)
UA	фПР	C	AnnaKryvenko	en.wiki
UA	фРегУ	C	AnnaKryvenko	en.wiki
UA	фНФ	CRR	AnnaKryvenko	en.wiki
UA	фУДАР	C	AnnaKryvenko	en.wiki
UA	фЛяшко	SY	AnnaKryvenko	en.wiki
UA	фСДПУ(о)	CCL	AnnaKryvenko	uk.wiki
UA	фСПУ	L	AnnaKryvenko	c.f. https://uk.wikipedia.org/wiki/%D0%A1%D0%BE%D1%86%D1%96%D0%B0%D0%BB%D1%96%D1%81%D1%82%D0%B8%D1%87%D0%BD%D0%B0_%D0%BF%D0%B0%D1%80%D1%82%D1%96%D1%8F_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8
UA	фУНП	CR	AnnaKryvenko	en.wiki
UA	фЄдУп	C	AnnaKryvenko	In 2004, the party supported Yanukovych, in 2005 it merged into pp.But
UA	фБПП	CR	AnnaKryvenko	en.wiki
UA	фПППУ-ТУ	CCL	AnnaKryvenko	ppu (C) & lab (CL)
UA	фЄС	CR	AnnaKryvenko	en.wiki
UA	фВпередУ	CL	AnnaKryvenko	en.wiki
UA	фГолос	CR	AnnaKryvenko	en.wiki
UA	фрНСНУ05	CR	AnnaKryvenko	en.wiki
UA	фОПЗЖ	CCL	AnnaKryvenko	c.f. https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	фОпоблок	CCL	AnnaKryvenko	c.f. https://razumkov.org.ua/uploads/article/2017_PARTII.pdf
UA	фПРП	CR	AnnaKryvenko	en.wiki
UA	фСН	C	AnnaKryvenko	en.wiki
UA	фТУ	CL	AnnaKryvenko	en.wiki
UA	фСамопоміч	CR	AnnaKryvenko	en.wiki
UA	фБатьківщина	CCL	AnnaKryvenko	c.f. http://www.ucipr.org.ua/publicdocs/party_ideology2013.pdf ; https://razumkov.org.ua/uploads/article/2017_PARTII.pdf; https://razumkov.org.ua/uploads/article/2020_part_sistem.pdf
UA	фВідродження05	C	AnnaKryvenko	Related to the Party of Regions
UA	фРУХ	CR	AnnaKryvenko	en.wiki
UA	ХДС	CR	AnnaKryvenko	en.wiki
