element	attribute	BE	BG	CZ	DK	ES	FR	GB	GR	HR	HU	IS	IT	LT	LV	NL	PL	SI	TR
TEI	ana	8	6	6	6	8	6	6	8	6	6	6	8	6	8	6	6	6	6
TEI	xml:id	8	6	6	6	8	6	6	8	6	6	6	8	6	8	6	6	6	6
TEI	xml:lang	8	6	6	6	8	6	6	8	6	6	6	8	6	8	6	6	6	6
affiliation	ana	-	-	2308	100	-	-	-	-	-	-	1512	4158	14190	-	-	-	976	9620
affiliation	from	3820	276	26438	100	1670	3194	23038	5044	-	-	1512	4804	14190	740	510	12	976	9620
affiliation	ref	3820	1708	26438	1886	3118	3194	23038	5044	372	388	1512	4804	14132	740	940	1440	976	9620
affiliation	role	3820	2126	26438	2188	3118	3194	23038	5044	736	776	1512	4804	14190	740	1952	2926	976	9620
affiliation	to	3104	172	20600	90	1670	1068	16914	3634	-	-	1512	3414	14190	740	164	8	616	7248
affiliation	when	-	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
application	ident	4	3	2	4	1	3	1	1	3	3	5	3	1	1	4	4	3	3
application	version	4	3	2	4	1	3	1	1	3	3	5	3	1	1	4	4	3	3
availability	status	10	8	8	8	10	8	8	10	8	8	8	10	8	10	8	8	8	8
birth	when	1096	1068	918	908	1586	1328	-	-	336	384	410	1478	494	-	-	1484	386	-
catDesc	xml:lang	263	145	273	110	194	207	-	119	196	200	391	159	212	128	227	204	189	123
catRef	scheme	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
catRef	target	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
category	ana	-	-	-	-	-	-	-	-	-	-	4014	-	-	-	-	-	-	-
category	xml:id	197	95	189	110	132	135	87	91	122	124	4337	107	140	92	207	136	111	123
change	when	16	25	8	12	12	16	-	10	31	-	-	32	28	-	-	25	25	-
date	ana	10	-	80	6	8	-	-	8	6	6	-	8	6	8	-	6	6	6
date	from	4	4	4	4	4	2	4	4	16	4	4	4	4	4	6	6	4	4
