ID	Lang	Houses	Ts	From	To	Yrs	Mw/Yr	Mw
AT	de	lower	8	1996-01	2022-10	27.1	2.24	60.84
BA	bs	unica	7	1998-11	2022-07	24.0	0.76	18.31
BE	fr+nl	lower	2	2014-06	2022-07	8.2	5.42	44.37
BG	bg	unica	5	2014-10	2022-07	7.9	3.37	26.47
CZ	cs	lower	3	2013-11	2023-07	9.8	3.14	30.77
DK	da	unica	4	2014-10	2022-06	7.8	5.25	40.80
EE	et	unica	3	2011-04	2022-06	11.4	2.01	22.87
CT	es+ca	unica	4	2015-10	2022-07	6.8	2.33	15.95
GA	gl	unica	3	2015-01	2022-05	7.4	2.40	17.84
PV	eu+es	unica	3	2015-02	2022-07	7.5	1.80	13.54
ES	es	lower	5	2015-01	2023-02	8.2	2.39	19.65
FI	fi+sv	unica	2	2015-04	2022-01	6.9	1.98	13.54
FR	fr	lower	2	2017-06	2022-03	4.8	10.33	49.63
GB	en	lower+upper	4	2015-01	2022-07	7.6	16.56	126.71
GR	el	unica	3	2015-01	2022-02	7.2	6.91	49.70
HR	hr	unica	5	2003-12	2022-07	18.8	4.64	87.32
HU	hu	unica	3	2014-05	2022-06	8.2	3.75	30.85
IS	is	unica	4	2015-01	2022-07	7.6	4.10	31.19
IT	it	upper	2	2013-03	2022-09	9.7	3.31	31.97
LV	lv	unica	2	2014-11	2021-02	6.3	1.44	9.16
NL	nl+nl	lower+upper	5	2014-04	2022-09	8.5	7.86	66.85
NO	nb+nn	unica+lower+upper	7	1998-10	2022-09	24.3	3.63	88.45
PL	pl	lower+upper	4	2015-11	2022-06	6.7	5.35	36.06
PT	pt	unica	3	2015-01	2022-03	7.3	2.41	17.65
RS	sr	unica	9	1997-12	2022-07	25.0	3.38	84.57
SE	sv	unica	2	2015-09	2022-05	6.8	4.28	28.98
SI	sl	lower	6	2000-10	2022-05	21.9	3.20	69.92
TR	tr	unica	4	2011-06	2022-11	11.6	4.26	49.26
UA	uk+ru	unica	3	2012-12	2023-09	10.9	1.73	18.92
