ID	Orgs	Parties	C/O	Persons	Affils	Ministers	MPs	PartyM	Birth	URL	IMG
AT	37	18	38	854	3456	122	776	795	848	854	0
BA	42	40	14	603	823	24	282	278	231	0	0
BE	68	66	19	786	2174	35	551	551	569	0	553
BG	46	38	6	1032	4559	25	838	817	912	95	0
CZ	450	33	7	597	13632	93	536	465	507	572	463
DK	21	19	8	383	1025	73	383	383	383	0	0
EE	8	6	7	488	1083	62	263	262	263	0	0
ES-CT	39	37	5	364	1726	44	324	364	364	0	0
ES-GA	59	57	6	227	722	16	170	212	214	182	0
ES-PV	11	9	5	197	440	21	193	193	175	156	0
ES	52	50	10	941	1849	65	843	826	884	0	0
FI	19	17	16	314	1187	77	306	305	310	0	0
FR	185	26	5	908	2622	18	846	814	902	0	0
GB	37	34	5	1951	9120	80	1868	1947	0	1951	1029
GR	16	14	5	635	2562	91	532	532	0	0	0
HR	47	45	12	1036	2373	78	660	660	660	0	0
HU	94	38	6	492	3420	25	279	343	488	0	0
IS	12	9	5	261	925	26	138	239	261	1	0
IT	47	45	23	771	3249	82	706	597	771	771	0
LV	13	11	6	234	488	35	196	196	0	0	0
NL	50	35	14	586	1140	49	244	549	542	557	0
NO	17	13	9	1106	5067	141	1069	1106	1106	0	0
PL	12	9	4	1223	2180	53	753	645	753	753	0
PT	25	22	8	723	2591	52	601	709	665	0	0
RS	73	71	18	1724	4992	57	1472	1472	1472	0	0
SE	15	13	5	649	1947	49	626	644	0	0	0
SI	32	29	30	973	1646	59	415	410	466	330	0
TR	83	47	3	1346	7326	96	1218	1229	1234	1204	0
UA	151	148	31	2252	10424	221	1828	1825	2230	506	1817
