Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
BE	parliamentaryGroup	CVP	CVP	-	Christelijke Volkspartij	-	-	-	-
BE	parliamentaryGroup	CSP	CSP	-	Christlich Soziale Partei	-	-	-	-
BE	parliamentaryGroup	CPB	CPB	-	Communistische Partij van België	-	-	-	-
BE	parliamentaryGroup	D95	D95	-	Democraten95	-	-	-	-
BE	parliamentaryGroup	DN	DN	-	Démocratie Nationale	-	-	-	-
BE	parliamentaryGroup	D-SA	D-SA	-	Democratisch-Solidair Appèl	-	-	-	-
BE	parliamentaryGroup	EFP	EFP	-	Europese Federalistische Partij	-	-	-	-
BE	parliamentaryGroup	HOERA	HOERA	-	HOERA	-	-	-	-
BE	parliamentaryGroup	LSP-PSL	LSP-PSL	-	Linkse Socialistische Partij	-	-	-	-
BE	parliamentaryGroup	PFF	PFF	-	Partei für Freiheit und Fortschritt	-	-	-	-
BE	parliamentaryGroup	PC	PC	-	Parti communiste Wallonie-Bruxelles	-	-	-	-
BE	parliamentaryGroup	PRL	PRL	-	Parti réformateur libéral	-	-	-	-
BE	parliamentaryGroup	PVV	PVV	-	Partij voor Vrijheid en Vooruitgang	-	-	-	-
BE	parliamentaryGroup	PPBE	PPBE	-	Piratenpartij in België	-	-	-	-
BE	parliamentaryGroup	ProDG	ProDG	-	Pro Deutschsprachige Gemeinschaft	-	-	-	-
BE	parliamentaryGroup	ROSSEM	ROSSEM	-	Radicale Omvormers en Sociale Strijders voor een Eerlijker Maatschappij	-	-	-	-
BE	parliamentaryGroup	R.W.F.	R.W.F.	-	Rassemblement Wallonie-France	-	-	-	-
BE	parliamentaryGroup	SoLiDe	SoLiDe	-	Sociaal Onafhankelijk Liberaal Integer Democratisch Evenwichtig	-	-	-	-
BE	parliamentaryGroup	SLP	SLP	-	Sociaal-Liberale Partij	-	-	-	-
BE	parliamentaryGroup	SP	SP	-	Socialistische Partij	-	-	-	-
BE	parliamentaryGroup	SAP-GA	SAP-GA	-	Stroming voor een Antikapitalistisch Project	-	-	-	-
BE	parliamentaryGroup	VSL	VSL	-	Vlaamse Sociaal-Liberalen	-	-	-	-
BE	parliamentaryGroup	Volt	Volt	-	Volt Europa	-	-	-	-
BE	parliamentaryGroup	Be.One	Be.One	-	Be.One	-	-	-	-
BE	parliamentaryGroup	DeMilitant	De Militant	-	De Militant	-	-	-	-
BE	parliamentaryGroup	DierAnimal	DierAnimal	-	DierAnimal	-	-	-	-
BE	parliamentaryGroup	ISLAM	ISLAM	-	ISLAM	-	-	-	-
BE	parliamentaryGroup	MilitantLinks	Militant Links	-	Militant Links	-	-	-	-
BE	parliamentaryGroup	ProBruxsel	Pro Bruxsel	-	Pro Bruxsel	-	-	-	-
BE	parliamentaryGroup	Vivant	Vivant	-	Vivant	-	-	-	-
BE	parliamentaryGroup	Volksunie	Volksunie	-	Volksunie	-	-	-	-
BE	parliamentaryGroup	SP_duitstalig	SP_duitstalig	-	Sozialistische Partei	-	-	-	-
BE	parliamentaryGroup	MR	MR	-	Mouvement Réformateur	-	-	-	-
BE	parliamentaryGroup	PS	PS	-	Parti Socialiste	-	-	-	-
BE	parliamentaryGroup	PTB	PTB	-	Parti du Travail de Belgique	-	-	-	-
BE	parliamentaryGroup	PVDA-PTB	PVDA-PTB	-	Partij van de Arbeid van België - Parti du Travail de Belgique	-	-	-	-
BE	parliamentaryGroup	PSC	PSC	-	Parti social chrétien	-	-	-	-
BE	parliamentaryGroup	BANAAN	BANAAN	-	Beter Alternatieven Nastreven Als Apathisch Nietsdoen	-	-	-	-
BE	parliamentaryGroup	spirit	spirit	-	Spirit	-	-	-	-
BE	parliamentaryGroup	Vl.Pro	Vl.Pro	-	VlaamsProgressieven	-	-	-	-
BE	parliamentaryGroup	FN	FN	-	Front National	-	-	-	-
BE	parliamentaryGroup	WOW	WOW	-	Waardig Ouder Worden	-	-	-	-
BE	parliamentaryGroup	Spirit	Spirit	-	Sociaal Progressief Internationaal Regionalistisch Integraal-democratisch en Toekomstgericht	-	-	-	-
BE	parliamentaryGroup	VlaamsBlok	Vlaams Blok	-	Vlaams Blok	-	-	-	-
BE	parliamentaryGroup	onafhankelijk	onafhankelijk	-	Onafhankelijk	-	-	-	-
BE	parliamentaryGroup	B.U.B.	B.U.B.	-	Belgische Unie - Union Belge	-	-	-	-
BE	parliamentaryGroup	Vooruit	Vooruit	-	Vooruit	-	-	-	-
BE	parliamentaryGroup	CD_en_V	CD&V	-	Christen-Democratisch en Vlaams	-	-	-	-
BE	parliamentaryGroup	N-VA	N-VA	-	Nieuw-Vlaamse Alliantie	-	-	-	-
BE	parliamentaryGroup	OpenVld	Open Vld	-	Open Vlaamse Liberalen en Democraten	-	-	-	-
BE	parliamentaryGroup	PP	PP	-	Parti Populaire	-	-	-	-
BE	parliamentaryGroup	VLD	VLD	-	Vlaamse Liberalen en Democraten	-	-	-	-
BE	parliamentaryGroup	Vuye_Wouters	Vuye_Wouters	-	Vuye & Wouters: V-Kamerleden	-	-	-	-
BE	parliamentaryGroup	PVDA	PVDA	-	Partij van de Arbeid van België	-	-	-	-
BE	parliamentaryGroup	VB	VB	-	Vlaams Belang	-	-	-	-
BE	parliamentaryGroup	LesEngagés	Les Engagés	-	Les Engagés	-	-	-	-
BE	parliamentaryGroup	DéFi	DéFi	-	Démocrate Fédéraliste Indépendant	-	-	-	-
BE	parliamentaryGroup	Ecolo	Ecolo	-	Ecologistes Confédérés pour l'Organisation de Luttes Originales	-	-	-	-
BE	parliamentaryGroup	cdH	cdH	-	Centre démocrate humaniste	-	-	-	-
BE	parliamentaryGroup	Agora	Agora	-	Agora	-	-	-	-
BE	parliamentaryGroup	LDD	LDD	-	Libertair, Direct, Democratisch	-	-	-	-
BE	parliamentaryGroup	Agalev	Agalev	-	Anders Gaan Leven	-	-	-	-
BE	parliamentaryGroup	FDF	FDF	-	Fédéralistes Démocrates Francophones	-	-	-	-
BE	parliamentaryGroup	sp.a	sp.a	-	Socialistische Partij Anders	-	-	-	-
BE	parliamentaryGroup	Groen_exclamation	Groen!	-	Groen!	-	-	-	-
BE	parliamentaryGroup	Groen	Groen	-	Groen	-	-	-	-
