Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
HU	politicalParty	party.Fidesz	Fidesz	-	Fidesz – Magyar Polgári Szövetség	Fidesz – Hungarian Civic Alliance	1988-03-30	-	-
HU	politicalParty	party.KDNP	KDNP	-	Kereszténydemokrata Néppárt	Christian Democratic People's Party	1944-10-13	-	-
HU	politicalParty	party.MSZP	MSZP	-	Magyar Szocialista Párt	Hungarian Socialist Party	1989-11-21	-	-
HU	politicalParty	party.EGYUTT	EGYÜTT	-	Együtt – a Korszakváltók Pártja	Together – Party for a New Era	2013-03-08	2018-06-02	-
HU	politicalParty	party.DK	DK	-	Demokratikus Koalíció	Democratic Coalition	2011-10-22	-	-
HU	politicalParty	party.Parbeszed	Párbeszéd	-	Párbeszéd Magyarországért	Dialogue for Hungary	2013-02-17	-	-
HU	politicalParty	party.MLP	MLP	-	Magyar Liberális Párt	Hungarian Liberal Party	2013-04-27	-	-
HU	politicalParty	party.JOBBIK	JOBBIK	-	Jobbik Magyarországért Mozgalom	Movement for a Better Hungary	2003-10-24	-	-
HU	politicalParty	party.LMP1	LMP	-	Lehet Más a Politika	Politics Can Be Different	2009-02-14	2020-02-01	-
HU	politicalParty	party.LMP2	LMP	-	LMP - Magyarország Zöld Pártja	LMP – Hungary's Green Party	2020-02-01	-	-
HU	politicalParty	party.MNOO	MNOÖ	-	Magyarországi Németek Országos Önkormányzata	National Self-Government of Germans in Hungary	1995-03-11	-	-
HU	politicalParty	party.Momentum	Momentum	-	Momentum Mozgalom	Momentum Movement	2017-03-04	-	-
HU	politicalParty	party.MiHazank	Mi Hazánk	-	Mi Hazánk Mozgalom	Our Homeland Movement	2018-06-23	-	-
HU	politicalParty	party.UK	ÚK	-	Új Kezdet	New Beginning	2016-04-20	-	-
HU	politicalParty	party.Szolidaritas	Szolidaritás	-	Magyar Szolidaritás Mozgalom	Hungarian Solidarity Movement	2011-10-01	-	-
HU	politicalParty	party.Volner	Volner	-	Volner Párt	Volner Party	2020-09-19	2022-05-08	-
HU	politicalParty	party.Huxit	Huxit	-	Huxit Párt	Huxit Party	2022-05-08	-	-
HU	parliamentaryGroup	parliamentaryGroup.Fidesz.7	Fidesz-frakció	-	A idesz – Magyar Polgári Szövetség parlamenti frakciója a 7. parlamenti ciklusban	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	2014-05-06	2018-05-07	-
HU	parliamentaryGroup	parliamentaryGroup.KDNP.7	KNDP-frakció	-	A Kereszténydemokrata Néppárt parlamenti frakciója a 7. parlamenti ciklusban	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	2014-05-06	2018-05-07	-
HU	parliamentaryGroup	parliamentaryGroup.MSZP.7	MSZP-frakció	-	A Magyar Szocialista Párt parlamenti frakciója a 7. parlamenti ciklusban	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	2014-05-06	2018-05-07	-
HU	parliamentaryGroup	parliamentaryGroup.JOBBIK.7	JOBBIK-frakció	-	A Jobbik Magyarországért Mozgalom parlamenti frakciója a 7. parlamenti ciklusban	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	2014-05-06	2018-05-07	-
HU	parliamentaryGroup	parliamentaryGroup.LMP.7	LMP-frakció	-	A Lehet Más a Politika parlamenti frakciója a 7. parlamenti ciklusban	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	2014-05-06	2018-05-07	-
HU	parliamentaryGroup	parliamentaryGroup.DK.8	DK-frakció	-	A Demokratikus Koalíció parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	2018-05-08	2022-05-01	-
HU	parliamentaryGroup	parliamentaryGroup.Parbeszed.8	Párbeszéd-frakció	-	A Párbeszéd Magyarországért parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	2018-05-08	2022-05-01	-
HU	parliamentaryGroup	parliamentaryGroup.Fidesz.8	Fidesz-frakció	-	A Fidesz – Magyar Polgári Szövetség parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	2018-05-08	2022-05-01	-
HU	parliamentaryGroup	parliamentaryGroup.KDNP.8	KNDP-frakció	-	A Kereszténydemokrata Néppárt parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	2018-05-08	2022-05-01	-
HU	parliamentaryGroup	parliamentaryGroup.MSZP.8	MSZP-frakció	-	A Magyar Szocialista Párt parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	2018-05-08	2022-05-01	-
