Country	orgType	orgID	Abb-xx	Abb-en	Full-xx	Full-en	From	To	Comment
TR	politicalParty	party.Zafer	Zafer	-	Zafer Partisi	Victory Party	2021-08-26	-	-
TR	politicalParty	party.MSP	MSP	-	Millî Selamet Partisi	National Salvation Party	1972-10-11	1981-10-16	-
TR	politicalParty	party.SODEP	SODEP	-	Sosyal Demokrasi Partisi	Social Democracy Party	1983-06-06	1985-11-03	-
TR	politicalParty	party.YURTP	YURTP	-	Yurt Partisi	Homeland Party	2002-03-14	-	-
TR	politicalParty	party.YENİPARTİ	YENİPARTİ	-	Yeni Parti	New Party	2008-06-23	2012-05-20	-
TR	politicalParty	party.AP	AP	-	Adalet Partisi	Justice Party	1961-02-11	1981-10-16	-
TR	politicalParty	party.ATP	ATP	-	Aydınlık Türkiye Partisi	Bright Turkey Party	1998-10-27	2010-04-11	-
TR	politicalParty	party.DGP	DGP	-	Demokratik Gelişim Partisi	Democratic Progress Party	2014-11-04	2015-03-31	-
TR	politicalParty	party.YTP	YTP	-	Yeni Türkiye Partisi	New Turkey Party	2002-07-22	2004-10-24	-
TR	politicalParty	party.HEP	HEP	-	Halkın Emek Partisi	People's Labor Party	1990-01-01	1993-07-14	-
TR	politicalParty	party.YP	YP	-	Yenilik Partisi	Innovation Party (Turkey)	2020-01-01	-	-
TR	politicalParty	party.TIP	TIP	-	Türkiye İşçi Partisi	Workers' Party of Turkey	2017-11-07	-	-
TR	politicalParty	party.SHP	SHP	-	Sosyaldemokrat Halkçı Parti	Social Democratic Populist Party	1985-11-03	1995-02-18	-
TR	politicalParty	party.Saadet	Saadet	-	Saadet Partisi	Felicity Party	2001-07-20	-	-
TR	politicalParty	party.Refah	Refah	-	Refah Partisi	Welfare Party	1983-07-19	1998-01-16	-
TR	politicalParty	party.SOL	SOL	-	Sol Parti	Left Party	2019-12-22	-	-
TR	politicalParty	party.ÖDP	ÖDP	-	Özgürlük ve Dayanışma Partisi	Freedom and Solidarity Party	1994-06-08	2019-12-21	-
TR	parliamentaryGroup	parliamentaryGroup.MHP	MHP	-	Milliyetçi Hareket Partisi	Nationalist Movement Party	-	-	-
TR	politicalParty	party.MHP	MHP	-	Milliyetçi Hareket Partisi	Nationalist Movement Party	1969-02-09	-	-
TR	politicalParty	party.MEP	MEP	-	Merkez Parti	Centre Party	2014-01-01	-	-
TR	politicalParty	party.Memleket	Memleket	-	Memleket Partisi	Homeland Party	2021-05-17	-	-
TR	politicalParty	party.MÇP	MÇP	-	Milliyetçi Çalışma Partisi	Nationalist Task Party	1985-11-30	1993-01-24	-
TR	parliamentaryGroup	parliamentaryGroup.IYI	IYI	-	İYİ Parti	İYİ Party	-	-	-
TR	politicalParty	party.IYI	IYI	-	İYİ Parti	İYİ Party	2017-10-25	-	-
TR	parliamentaryGroup	parliamentaryGroup.HDP	HDP	-	Halkların Demokratik Partisi	Peoples' Democratic Party	-	-	-
TR	politicalParty	party.HDP	HDP	-	Halkların Demokratik Partisi	Peoples' Democratic Party	2012-10-15	-	-
TR	politicalParty	party.HAS	HAS	-	Halkın Sesi Partisi	People's Voice Party	2010-11-01	2012-09-19	-
TR	politicalParty	party.HADEP	HADEP	-	Halkın Demokrasi Partisi	People's Democracy Party	1994-05-11	2003-03-13	-
TR	politicalParty	party.GP	GP	-	Gelecek Partisi	Future Party	2019-12-12	-	-
TR	politicalParty	party.Fazilet	Fazilet	-	Fazilet Partisi	Virtue Party	1997-01-01	2001-01-01	-
TR	politicalParty	party.eParti	eParti	-	Elektronik Demokrasi Partisi	Electronic Democracy Party	2014-01-01	-	-
TR	politicalParty	party.EMEP	EMEP	-	Emek Partisi	Labour Party	1996-11-25	-	-
TR	politicalParty	party.DYP	DYP	-	Doğru Yol Partisi	True Path Party	1983-01-01	-	-
TR	politicalParty	party.DTP	DTP	-	Demokratik Toplum Partisi	Democratic Society Party	2005-11-09	2009-12-11	-
TR	politicalParty	party.DSP	DSP	-	Demokratik Sol Parti	Democratic Left Party	1985-11-14	-	-
TR	politicalParty	party.DP	DP	-	Demokrat Parti	Democratic Party	1983-01-01	-	-
TR	politicalParty	party.DEVA	DEVA	-	Demokrasi ve Atılım Partisi	Democracy and Progress Party	2020-03-09	-	-
TR	politicalParty	party.DEHAP	DEHAP	-	Demokratik Halk Partisi	Democratic People's Party	1997-10-24	2005-11-19	-
TR	politicalParty	party.DBP	DBP	-	Demokratik Bölgeler Partisi	Democratic Regions Party	2008-05-02	2014-07-11	-
TR	parliamentaryGroup	parliamentaryGroup.CHP	CHP	-	Cumhuriyet Halk Partisi	Republican People's Party	-	-	-
TR	politicalParty	party.CHP	CHP	-	Cumhuriyet Halk Partisi	Republican People's Party	1923-09-09	-	-
TR	politicalParty	party.BDP	BDP	-	Barış ve Demokrasi Partisi	Peace and Democracy Party	2008-05-03	2014-07-01	-
TR	politicalParty	party.BBP	BBP	-	Büyük Birlik Partisi	Great Unity Party	1993-01-29	-	-
TR	politicalParty	party.ANAP	ANAP	-	Anavatan Partisi	Motherland Party	1983-05-20	2009-11-01	-
TR	politicalParty	party.ANA	ANA	-	Anadolu Partisi	Anatolia Party	2014-01-01	2015-12-19	-
TR	parliamentaryGroup	parliamentaryGroup.AKP	AKP	-	Adalet ve Kalkınma Partisi	Justice and Development Party	-	-	-
TR	politicalParty	party.AKP	AKP	-	Adalet ve Kalkınma Partisi	Justice and Development Party	2001-08-14	-	-
