category_id	term_en	code	term_local
chair	Chairperson	BE	Voorzitter
chair	Chairperson	BG	Председател
chair	Chairperson	CZ	Předsedající
chair	Chairperson	DK	
chair	Chairperson	ES	Presidencia
chair	Chairperson	FR	Président
chair	Chairperson	GB	
chair	Chairperson	GR	ΠΡΟΕΔΡΕΥΟΝ
chair	Chairperson	HR	Predsjedavajući
chair	Chairperson	HU	Házelnök
chair	Chairperson	IS	Þingforseti
chair	Chairperson	IT	Presidente
chair	Chairperson	LT	Pirmininkas
chair	Chairperson	LV	Priekššedētājs
chair	Chairperson	NL	
chair	Chairperson	PL	Przewodniczący
chair	Chairperson	SI	Predsedujoči
chair	Chairperson	TR	
chairOfSenate	Chair of Senate	BE	Voorzitter van de senaat
EuropeanCommissioner	European Commissioner	BE	Europees commissaris
government	Government	FR	Gouvernement
guest	Guest	BE	Gastspreker
guest	Guest	BG	Гост
guest	Guest	CZ	Host
guest	Guest	DK	
guest	Guest	ES	Orador/a invitado/a
guest	Guest	FR	Invité
guest	Guest	GB	
guest	Guest	GR	Επισκέπτης
guest	Guest	HR	Gost
guest	Guest	IS	Gestur
guest	Guest	IT	Ospite
guest	Guest	LT	Svečias
guest	Guest	LV	Viesis
guest	Guest	NL	
guest	Guest	PL	Gość
guest	Guest	SI	Gost
guest	Guest	TR	
irregular	Guest	HU	Vendég
minister	Minister	BE	Minister
other	Other type of speaker	BE	Overig sprekertype
presidentOfTheEuropeanCommission	President Of the European Commission	BE	Voorzitter van de Europese Commissie
primeMinister	Prime Minister	BE	Premier
rapporteur	Reporting	BE	Rapporteur
regular	Regular	BE	Lid federaal parlement
regular	Regular	BG	Говорещ
regular	Regular	CZ	Poslanec
regular	Regular	DK	
regular	Regular	ES	Diputado/a
regular	Regular	GB	
regular	Regular	GR	Τακτικός
regular	Regular	HR	Redovni
regular	Regular	HU	Képviselő
regular	Regular	IS	Venjulegur
regular	Regular	IT	Membro
regular	Regular	LT	Nuolatinis
regular	Regular	LV	Deputāts
regular	Regular	NL	
regular	Regular	PL	Parlamentarzysta
regular	Regular	SI	Navadni
regular	Regular	TR	
secretaryOfState	Secretary Of State	BE	Staatssecretaris
secretary	Secretary	BE	Secretaris
speaker	Regular	FR	Orateur
staffMemberOfMinister	Staff Member of Minister	BE	Ministeriële staf
unknown	Government	FR	Gouvernement
unknown	Unknown	BE	Onbekend
unknown	unknown	TR	
