Country	SpeakerID	Name	Sex
BE	AlChammasKonstantin	Al Chammas, Konstantin	-
BE	AlmaciMeyrem	Almaci, Meyrem	F
BE	AnciauxBert	Anciaux, Bert	M
BE	AndriannePhilippe	Andrianne, Philippe	-
BE	AnnemansGerolf	Annemans, Gerolf	M
BE	AnseeuwBjörn	Anseeuw, Björn	M
BE	AnsomsJos	Ansoms, Jos	M
BE	AnthuenisFilip	Anthuenis, Filip	M
BE	AntoineAndré	Antoine, André	M
BE	AouastiKhalil	Aouasti, Khalil	M
BE	ArenaMarie	Arena, Marie	F
BE	ArensJosy	Arens, Josy	M
BE	AvontroodtYolande	Avontroodt, Yolande	F
BE	BackerPhilippe	Backer, Philippe	M
BE	BacquelaineDaniel	Bacquelaine, Daniel	M
BE	BaekeAnneMarie	Baeke, Anne-Marie	F
BE	BaeselenXavier	Baeselen, Xavier	M
BE	BalcaenRonny	Balcaen, Ronny	M
BE	BaltusMöresJenny	Baltus-Möres, Jenny	-
BE	BandryJerôme	Bandry, Jerôme	-
BE	BarzinAnne	Barzin, Anne	F
BE	BastinChristophe	Bastin, Christophe	M
BE	BayetHugues	Bayet, Hugues	M
BE	BeckersJozef	Beckers, Jozef	-
BE	BecqSonja	Becq, Sonja	F
BE	BekeWouter	Beke, Wouter	M
BE	BelhouariTalbia	Belhouari, Talbia	F
BE	BellensRita	Bellens, Rita	F
BE	BellotFrançois	Bellot, François	M
BE	BenAchourMalik	Ben Achour, Malik	M
BE	BenHamouNawal	Ben Hamou, Nawal	F
BE	BensJan	Bens, Jan	-
BE	BertelsJan	Bertels, Jan	M
BE	BerxCathy	Berx, Cathy	-
BE	BettensAnneleen	Bettens, Anneleen	-
BE	BeuselinckManu	Beuselinck, Manu	M
BE	BeversTom	Bevers, Tom	-
BE	BexStijn	Bex, Stijn	M
BE	BihetMathieu	Bihet, Mathieu	M
BE	BillietCarole	Billiet, Carole	-
BE	BlanchartPhilippe	Blanchart, Philippe	M
BE	BleekerEva	Bleeker, Eva	F
BE	BodsonJeanLuc	Bodson, Jean-Luc	-
BE	BoeykensAntoon	Boeykens, Antoon	-
BE	BogaertHendrik	Bogaert, Hendrik	M
BE	BombledChristophe	Bombled, Christophe	M
BE	BonaventureChanelle	Bonaventure, Chanelle	F
BE	BonniVéronique	Bonni, Véronique	F
BE	BonteHans	Bonte, Hans	M
BE	BorginonAlfons	Borginon, Alfons	M
BE	BornCharlesHubert	Born, Charles-Hubert	-
BE	BorsusWilly	Borsus, Willy	M
BE	BortierJohan	Bortier, Johan	-
BE	BossuytMarc	Bossuyt, Marc	-
BE	BothuyneRobrecht	Bothuyne, Robrecht	-
BE	BougardChristian	Bougard, Christian	-
BE	BoukiliNabil	Boukili, Nabil	M
BE	BoukournaMohammed	Boukourna, Mohammed	M
BE	BouletJuliette	Boulet, Juliette	F
BE	BourgeoisGeert	Bourgeois, Geert	M
BE	BrackeSiegfried	Bracke, Siegfried	M
BE	BremsEva	Brems, Eva	F
BE	BriersJan	Briers, Jan	M
BE	BrotchiJacques	Brotchi, Jacques	-
BE	BrotcorneChristian	Brotcorne, Christian	M
BE	BruggemanWilly	Bruggeman, Willy	-
BE	BultinckKoen	Bultinck, Koen	M
BE	BurgeonColette	Burgeon, Colette	F
BE	BurtonEmmanuel	Burton, Emmanuel	M
BE	BuryKatleen	Bury, Katleen	F
BE	BuysroggePeter	Buysrogge, Peter	M
BE	BuyssePaul	Buysse, Paul	-
BE	BuystKim	Buyst, Kim	F
BE	CahayAndréPierrette	Cahay-André, Pierrette	F
BE	CalomneGautier	Calomne, Gautier	M
BE	CalvoKristof	Calvo, Kristof	M
BE	CapoenAn	Capoen, An	F
BE	CappoenJeanMichel	Cappoen, Jean-Michel	-
BE	CaprasseVéronique	Caprasse, Véronique	F
BE	CarcaciAldo	Carcaci, Aldo	M
BE	CasaerDylan	Casaer, Dylan	M
BE	CasierMartin	Casier, Martin	-
BE	CasierYouro	Casier, Youro	M
BE	CasloNancy	Caslo, Nancy	F
BE	CassartMailleuxCaroline	Cassart-Mailleux, Caroline	F
BE	CavdarliCemal	Cavdarli, Cemal	M
BE	CerexheBenoît	Cerexhe, Benoît	M
BE	CeysensPatricia	Ceysens, Patricia	F
BE	ChabotJacques	Chabot, Jacques	M
BE	ChansonJulie	Chanson, Julie	F
BE	ChastelOlivier	Chastel, Olivier	M
BE	CheronMarcel	Cheron, Marcel	M
BE	ChevalierMiguel	Chevalier, Miguel	M
BE	ClaerhoutSarah	Claerhout, Sarah	F
BE	ClaesDirk	Claes, Dirk	M
BE	ClaesHilde	Claes, Hilde	F
BE	ClaesIngrid	Claes, Ingrid	F
BE	ClaesMieke	Claes, Mieke	F
BE	ClaessenEric	Claessen, Eric	-
BE	ClarinvalDavid	Clarinval, David	M
BE	ClerfaytBernard	Clerfayt, Bernard	M
BE	ClémentHélène	Clément, Hélène	F
BE	CnuddeSally	Cnudde, Sally	-
BE	CoccioloAntonio	Cocciolo, Antonio	-
BE	CocriamontPatrick	Cocriamont, Patrick	M
BE	CoenegrachtsSandra	Coenegrachts, Sandra	-
BE	CogolatiSamuel	Cogolati, Samuel	M
BE	ColebundersGaby	Colebunders, Gaby	M
BE	ColenAlexandra	Colen, Alexandra	F
BE	ColiniaFrançoise	Colinia, Françoise	F
BE	CollardPhilippe	Collard, Philippe	M
BE	CompernolMarc	Compernol, Marc	-
BE	CornetCécile	Cornet, Cécile	F
BE	CornilJean	Cornil, Jean	M
BE	CorthoutsMichel	Corthouts, Michel	M
BE	CortoisWilly	Cortois, Willy	M
BE	CoudyserCathy	Coudyser, Cathy	F
BE	CourardPhilippe	Courard, Philippe	M
BE	CourtoisAlain	Courtois, Alain	M
BE	CoëmeGuy	Coëme, Guy	M
BE	CreemersBarbara	Creemers, Barbara	F
BE	CreyelmanSteven	Creyelman, Steven	M
BE	CreyfSimonne	Creyf, Simonne	F
BE	CrombezJohn	Crombez, John	M
BE	CruckeJeanLuc	Crucke, Jean-Luc	M
BE	CrusnièreStéphane	Crusnière, Stéphane	M
BE	CruysberghsLuc	Cruysberghs, Luc	-
BE	CzekalskiAurélie	Czekalski, Aurélie	-
BE	DAmicoRoberto	D'Amico, Roberto	M
BE	DAntuonoLeonardo	D'Antuono, Leonardo	-
BE	DHaeseChristoph	D'Haese, Christoph	M
BE	DHaeseJos	D'Haese, Jos	-
BE	DaemsGreet	Daems, Greet	F
BE	DaemsHendrik	Daems, Hendrik	M
BE	DaemsRik	Daems, Rik	-
BE	DaerdenFrédéric	Daerden, Frédéric	M
BE	DaerdenMichel	Daerden, Michel	M
BE	DallemagneGeorges	Dallemagne, Georges	M
BE	DamilotJulien	Damilot, Julien	-
BE	DanenJohan	Danen, Johan	-
BE	DeBackerPhilippe	De Backer, Philippe	-
BE	DeBeukelaarChristophe	De Beukelaar, Christophe	-
BE	DeBleekerEva	De Bleeker, Eva	-
BE	DeBlockMaggie	De Block, Maggie	F
BE	DeBolleCatherine	De Bolle, Catherine	-
BE	DeBontRita	De Bont, Rita	F
BE	DeBueValérie	De Bue, Valérie	F
BE	DeCaluwéRobby	De Caluwé, Robby	M
BE	DeClerckStefaan	De Clerck, Stefaan	M
BE	DeClercqAlisson	De Clercq, Alisson	F
BE	DeClercqMathias	De Clercq, Mathias	M
BE	DeClercqWim	De Clercq, Wim	-
BE	DeCoenePhilippe	De Coene, Philippe	M
BE	DeConinckInez	De Coninck, Inez	F
BE	DeConinckMonica	De Coninck, Monica	F
BE	DeCremPieter	De Crem, Pieter	M
BE	DeCromSandrine	De Crom, Sandrine	F
BE	DeCrooAlexander	De Croo, Alexander	M
BE	DeCrooHerman	De Croo, Herman	M
BE	DeGrootePatrick	De Groote, Patrick	M
BE	DeGuchtKarel	De Gucht, Karel	M
BE	DeJongeTania	De Jonge, Tania	F
BE	DeMaegdMichel	De Maegd, Michel	M
BE	DeMaghtMartine	De Maght, Martine	F
BE	DeManFilip	De Man, Filip	M
BE	DeMesmaekerMarc	De Mesmaeker, Marc	-
BE	DeMeulemeesterIngeborg	De Meulemeester, Ingeborg	F
BE	DeMeyerMagda	De Meyer, Magda	F
BE	DeMoorSabine	De Moor, Sabine	-
BE	DePadtGuido	De Padt, Guido	M
BE	DePermentierCorinne	De Permentier, Corinne	F
BE	DePotterJenne	De Potter, Jenne	M
BE	DeRammelaereEls	De Rammelaere, Els	F
BE	DeRidderMinneke	De Ridder, Minneke	F
BE	DeRooverPeter	De Roover, Peter	M
BE	DeSchamphelaereMia	De Schamphelaere, Mia	F
BE	DeSmetFrançois	De Smet, François	M
BE	DeSpiegeleerPieter	De Spiegeleer, Pieter	M
BE	DeSutterPetra	De Sutter, Petra	-
BE	DeValkeneerChristian	De Valkeneer, Christian	-
BE	DeVolderJan	De Volder, Jan	-
BE	DeVosLuc	De Vos, Luc	-
BE	DeVriendtWouter	De Vriendt, Wouter	M
BE	DeVuystSteven	De Vuyst, Steven	M
BE	DeWeverBart	De Wever, Bart	M
BE	DeWitSophie	De Wit, Sophie	F
BE	DeWitteJozef	De Witte, Jozef	-
BE	DebaeneRudy	Debaene, Rudy	-
BE	DebastNathalie	Debast, Nathalie	-
BE	DeboutteJean	Deboutte, Jean	-
BE	DeclercqAstrid	Declercq, Astrid	-
BE	DecropRudi	Decrop, Rudi	-
BE	DedeckerJeanMarie	Dedecker, Jean-Marie	M
BE	DedeckerPeter	Dedecker, Peter	M
BE	DedonderLudivine	Dedonder, Ludivine	F
BE	DedryAnne	Dedry, Anne	F
BE	DeffetMichel	Deffet, Michel	-
BE	DefosséGuillaume	Defossé, Guillaume	M
BE	DefraigneChristine	Defraigne, Christine	-
BE	DefreyneRoland	Defreyne, Roland	M
BE	DegrooteKoenraad	Degroote, Koenraad	M
BE	DehuMaurice	Dehu, Maurice	M
BE	DeiterenCaroline	Deiteren, Caroline	-
BE	DejonghMarc	Dejongh, Marc	-
BE	DelPercioIvan	Del Percio, Ivan	-
BE	DelacroixRolinMyriam	Delacroix-Rolin, Myriam	F
