Country	SpeakerID	Name	Sex
EE	a_aas_19800609	Aas, Arto	M
EE	a_akkermann_19721005	Akkermann, Annely	F
EE	a_alber_00000000	Alber, A	-
EE	a_aller_19730728	Aller, A	-
EE	a_ammas_19620225	Ammas, Andres	M
EE	a_anger_kraavi_00000000	Kraavi, A	-
EE	a_ansip_19561001	Ansip, Andrus	M
EE	a_anvelt_19690930	Anvelt, Andres	M
EE	a_hamburg_00000000	Hamburg, A	-
EE	a_hansson_00000000	Hansson, A	-
EE	a_heinsalu_00000000	Heinsalu, A	-
EE	a_heinvee_19560927	Heinvee, Aare	M
EE	a_helm_00000000	Helm, A	-
EE	a_herkel_19620814	Herkel, Andres	M
EE	a_hvostov_00000000	Hvostov, A	-
EE	a_jalak_19530319	Jalak, Andres	M
EE	a_karis_00000000	Karis, A	-
EE	a_kokk_19600415	Kokk, Aivar	M
EE	a_konist_00000000	Konist, A	-
EE	a_korobeinik_19801105	Korobeinik, Andrei	M
EE	a_kovalenko_kõlvart_19910921	Kovalenko-Kõlvart, Anastassia	F
EE	a_kütt_00000000	Kütt, A	-
EE	a_laaneots_19480116	Laaneots, Ants	M
EE	a_laneman_19620506	Laneman, Alar	M
EE	a_lipstok_00000000	Lipstok, A	-
EE	a_lutsepp_19540506	Lutsepp, Ain	M
EE	a_lõhmus_00000000	Lõhmus, A	-
EE	a_metsoja_19781125	Metsoja, Andres	M
EE	a_mikli_00000000	Mikli, A	-
EE	a_must_19510325	Must, Aadu	M
EE	a_novikov_19820327	Novikov, Andrei	M
EE	a_ott_19760502	Ott, Anneli	F
EE	a_poolamets_19710222	Poolamets, Anti	M
EE	a_rahno_00000000	Rahno, A	-
EE	a_riisalu_19610313	Riisalu, Aivar	M
EE	a_rosenberg_19620914	Rosenberg, Aivar	M
EE	a_saare_19651229	Saare, Andrus	M
EE	a_seeme_19691108	Seeme, Andrus	M
EE	a_sepp_19711025	Sepp, Andre	M
EE	a_sild_19470426	Sild, Arno	M
EE	a_sulling_19761012	Sulling, Anne	F
EE	a_surva_19620327	Surva, Aivar	M
