Country	SpeakerID	Name	Sex
ES-CT	AbellaJeannine	Abella i Chica, Jeannine	F
ES-CT	AbellánConcepción	Abellán Carretero, Concepción	F
ES-CT	AcostaManuel	Acosta Elías, Manuel Jesús	M
ES-CT	AlamanyElisenda	Alamany Gutiérrez, Elisenda	F
ES-CT	AlbertJordi	Albert i Caballero, Jordi	M
ES-CT	AlbiachJèssica	Albiach Satorres, Jéssica	F
ES-CT	AlbóPere	Albó Marlés, Pere	M
ES-CT	AlcaláJudit	Alcalá González, Judit	F
ES-CT	Alonso-CuevillasJaume	Alonso-Cuevillas i Sayrol, Jaume	M
ES-CT	AlonsoMatías	Alonso Ruiz, Matías	M
ES-CT	AlsinaVictòria	Alsina i Burgués, Victòria	F
ES-CT	AmatJaume	Amat i Reyero, Jaume	M
ES-CT	AmatOriol	Amat i Salas, Oriol	M
ES-CT	AmellòHéctor	Amellò Montiu, Héctor	M
ES-CT	AmorósOriol	Amorós i March, Oriol	M
ES-CT	AparicioOscar	Aparicio Pedrosa, Oscar	M
ES-CT	AragonèsIrene	Aragonès Gràcia, Irene	F
ES-CT	AragonèsPere	Aragonès i Garcia, Pere	M
ES-CT	AragonésVidal	Aragonés Chicharro, Vidal	M
ES-CT	ArgimonJosep	Argimon Pallàs, Josep Maria	M
ES-CT	ArrimadasInés	Arrimadas García, Inés	F
ES-CT	ArtadiElsa	Artadi i Vila, Elsa	F
ES-CT	BaigetJordi	Baiget i Cantons, Jordi	M
ES-CT	BalaschAntoni	Balasch i Parisi, Antoni	M
ES-CT	BalseraAna	Balsera i Marín, Ana	F
ES-CT	BargallóGerard	Bargalló Boivin, Gerard	M
ES-CT	BargallóJosep	Bargalló Valls, Josep	M
ES-CT	BarraMartin	Barra López, Martín Eusebio	M
ES-CT	BarrufetRamona	Barrufet i Santacana, Ramona	F
ES-CT	BaróEva	Baró i Ramos, Eva	F
ES-CT	BassaDolors	Bassa i Coll, Dolors	F
ES-CT	BatallaAlbert	Batalla i Siscart, Albert	M
ES-CT	BatetAlbert	Batet Canadell, Albert	M
ES-CT	BatlleMariaAntònia	Batlle i Andreu, Maria Antònia	F
ES-CT	BayoHelena	Bayo Delgado, Helena	F
ES-CT	BayonaAntoni	Bayona Rocamora, Antoni	M
ES-CT	BañosAntonio	Baños Boncompain, Antonio	M
ES-CT	BelGermà	Bel Queralt, Germà	M
