Country	SpeakerID	Name	Sex
IS	AdalsteinnSverrisson	Sverrisson, Aðalsteinn Haukur	M
IS	AddaJohannsdottir	Jóhannsdóttir, Adda María	F
IS	AgustAgustsson	Ágústsson, Ágúst Ólafur	M
IS	AgustGardarsson	Garðarsson, Ágúst Bjarni	M
IS	AgustaAgustsdottir	Ágústsdóttir, Ágústa	F
IS	AlbertGudmundsson1991	Guðmundsson, Albert	M
IS	AlbertinaEliasdottir	Elíasdóttir, Albertína Friðbjörg	F
IS	AlexStefansson	Stefánsson, Alex B.	M
IS	AlfheidurEymarsdottir	Eymarsdóttir, Álfheiður	F
IS	AlfheidurIngadottir	Ingadóttir, Álfheiður	F
IS	AndresJonsson	Jónsson, Andrés Ingi	M
IS	AndriSturluson	Sturluson, Andri Þór	M
IS	AnnaArnadottir	Árnadóttir, Anna Kolbrún	F
IS	AnnaEliasdottir	Elíasdóttir, Anna María	F
IS	AnnaGudjonsdottir	Guðjónsdóttir, Anna Margrét	F
IS	AriGudmundsson	Guðmundsson, Ari Trausti	M
IS	ArnaJonsdottir	Jónsdóttir, Arna Lára	F
IS	ArnarJonsson	Jónsson, Arnar Þór	M
IS	ArndisGunnarsdottir	Gunnarsdóttir, Arndís Anna Kristínardóttir	F
IS	ArniArnason	Árnason, Árni Páll	M
IS	AsgerdurGylfadottir	Gylfadóttir, Ásgerður K.	F
IS	AslaugFridriksdottir	Friðriksdóttir, Áslaug María	F
IS	AslaugSigurbjornsdottir	Sigurbjörnsdóttir, Áslaug Arna	F
IS	AsmundurDadason	Daðason, Ásmundur Einar	M
IS	AsmundurFridriksson	Friðriksson, Ásmundur	M
IS	AstaHelgadottir	Helgadóttir, Ásta Guðrún	F
IS	AsthildurTHorsdottir	Þórsdóttir, Ásthildur Lóa	F
IS	BenediktJohannesson	Jóhannesson, Benedikt	M
IS	BerglindGudmundsdottir	Guðmundsdóttir, Berglind Ósk	F
IS	BerglindHäsler	Häsler, Berglind	F
IS	BerglindSvavarsdottir	Svavarsdóttir, Berglind Harpa	F
IS	BergthorOlason	Ólason, Bergþór	M
IS	BirgirArmannsson	Ármannsson, Birgir	M
