Country	SpeakerID	Name	Sex
NO	person.AAMH	Haga, Åslaug	F
NO	person.AAR	Årøen, Åsta	F
NO	person.AAS	Sæle, Anita Apelthun	F
NO	person.AASE	Aasen-Svensrud, Maria	F
NO	person.AASS	Simonsen, Aase	F
NO	person.AAST	Grande, Arild	M
NO	person.AAUK	Aukrust, Åsmund	M
NO	person.ABA	Andersen, Anne Berit	F
NO	person.ABCH	Kroglund, Abel Cecilie Knibe	F
NO	person.ABIR	Raja, Abid	M
NO	person.ABRA	Braut, Arne	M
NO	person.ABS	Stråtveit, Anne Brit	F
NO	person.ABUANJ	Abusland, Anja Ninasdotter	F
NO	person.ABY	Byrknes, Astrid Aarhus	F
NO	person.AC	Chaudhry, Akhtar	M
NO	person.ACS	Sjaastad, Anders C.	M
NO	person.AD	Dørum, Anneliese	F
NO	person.ADA	Dahl, André Oktay	M
NO	person.ADV	Duesund, Åse Gunhild Woie	F
NO	person.AE	Elseth, Anette Carnarius	F
NO	person.AEL	Enger, Anne	F
NO	person.AENG	Engstad, Ann-Kristin	F
NO	person.AESO	Sortevik, Arne	M
NO	person.AF	Folkestad, Aud	F
NO	person.AG	Gabrielsen, Ansgar	M
NO	person.AGEA	Austheim, Åge	M
NO	person.AGES	Starheim, Åge	M
NO	person.AGNVIL	Viljugrein, Agnes Nærland	F
NO	person.AGOK	Goksøyr, Arnulf	M
NO	person.AGV	Valle, Ågot	F
NO	person.AHE	Hedstein, Alvhild	F
NO	person.AHK	Kvalvik, Aud Herbjørg	F
NO	person.AHO	Hornslien, Anders	M
NO	person.AICS	Stenersen, Aina	F
NO	person.AIJF	Falch, Arvid	M
NO	person.AIM	Molberg, Anna	F
NO	person.AIN	Nilsen, Aina Johanne	F
NO	person.AIS	Samuelsen, Alf Ivar	M
NO	person.AJI	Iversen, Anne June	F
NO	person.AJO	Johansen, Allan	M
NO	person.AK	Kvakkestad, André	M
NO	person.AKA	Slungård, Anne Kathrine	F
NO	person.AKBR	Bryne, Anne Kristin	F
NO	person.AKSH	Hagen, Aksel	M
NO	person.AKSY	Sydnes, Anne Kristin	F
NO	person.AL	Lyngstad, Arne	M
NO	person.ALEH	Holmelid, Alf Egil	M
NO	person.ALER	Lervåg, Ann-Hege	F
NO	person.ALES	Stokkebø, Aleksander	M
NO	person.ALFAND	Andersen, Alf Erik Bergstøl	M
NO	person.ALFBJR	Bjørlo, Alfred Jens	M
NO	person.ALI	Linnestad, Anne Kristine	F
NO	person.ALJ	Ljunggren, Anna	F
NO	person.ALJA	Jakobsen, Alf E.	M
NO	person.ALL	Lunde, Anne Lise	F
NO	person.ALYS	Lysbakken, Audun	M
NO	person.AMAGUN	Gunnufsen, Amalie	F
NO	person.AMN	Nistad, Astrid Marie	F
NO	person.AMW	Wessel, Astri	F
NO	person.ANA	Anundsen, Anders	M
NO	person.ANCB	Moe, Anna Ceselie Brustad	F
NO	person.ANDARF	Arff, Andreas	M
NO	person.ANEBRE	Breivik, Ane	F
NO	person.ANES	Norberg, Anette Stegegjerdet	F
NO	person.ANH	Høegh, Annelise	F
NO	person.ANHG	Hauglie, Anniken	F
NO	person.ANIPAT	Patel, Anita	F
NO	person.ANKD	Davidsen, Anette Kristine	F
NO	person.ANKO	Olli, Anne Karin	F
NO	person.ANMB	Bjørnflaten, Anne Marit	F
NO	person.ANML	Larsen, Anne Margrethe	F
NO	person.ANNH	Huitfeldt, Anniken	F
NO	person.ANNS	Skjelstad, André N.	M
NO	person.ANNTVI	Tvinnereim, Anne Beathe	F
NO	person.ANS	Strøm-Erichsen, Anne-Grete	F
NO	person.AOD	Odenmarck, Anne Berit	F
NO	person.AOR	Orlund, Anita	F
NO	person.AOS	Østby, Anita	F
NO	person.AOT	Otterstad, Audun	M
NO	person.AR	Rafiq, Afshan	F
NO	person.ARAKAR	Karim, Aram	M
NO	person.AREH	Helseth, Are	M
NO	person.ARII	Riise, Anders	M
NO	person.ARK	Kambe, Arve	M
NO	person.ARLH	Haugen, Arne L.	M
NO	person.ARN	Næss, Are	M
NO	person.ARNEV	Nævra, Arne	M
NO	person.ARNHAA	Haabeth, Arne Olav	M
NO	person.ARNN	Nergård, Arnfinn	M
NO	person.ARNT	Thomassen, Arne	M
NO	person.ARU	Rundhaug, Åshild Karlstrøm	F
NO	person.ARVS	Sigmundstad, Arve	M
NO	person.ASA	Sandum, Anne	F
NO	person.ASAE	Elvik, Åsa	F
NO	person.ASC	Michaelsen, Åse	F
NO	person.ASHI	Heiberg, Astrid Nøklebye	F
NO	person.ASK	Kristoffersen, Asmund	M
NO	person.ASKH	Bruun-Gundersen, Åshild	F
NO	person.ASMH	Hilde, Astrid Margrethe	F
NO	person.AST	Tømmerås, Ane Sofie	F
NO	person.ATJ	Tjærandsen, Agnete	F
NO	person.ATLS	Simonsen, Atle	M
