Country	SpeakerID	Name	Sex
SE	Q101093736	Nordborg, Gudrun	F
SE	Q103821442	Bayibsa, Solange Olame	F
SE	Q1040479	Schlyter, Carl	M
SE	Q104214592	Köster, Emma Ahlström	F
SE	Q104215904	Deremar, Catarina	F
SE	Q104215963	Hartzell, Åsa	F
SE	Q105371172	Stuart, Magnus	M
SE	Q105414501	Attefjord, Nicklas	M
SE	Q105604453	Olofsson, Katarina	F
SE	Q10578332	Sundin, Mathias	M
SE	Q106785041	Färm, Daniel	M
SE	Q108059200	Olofsgård, Jakob	M
SE	Q108420017	Björk, Malin	F
SE	Q108525852	Amloh, Sofia	F
SE	Q108525972	Strömberg, Anna-Belle	F
SE	Q108598507	Fransson, Margareta	F
SE	Q108713160	Plath, Stefan	M
SE	Q108765984	Melki, Aphram	M
SE	Q108986522	Nilsson, Christina	F
SE	Q109352589	Lindberg, Kristoffer	M
SE	Q109747746	Lönnberg, Ulf	M
SE	Q109828321	Gustafsdotter, Jeanette	F
SE	Q109830262	Bergman, Ulrik	M
SE	Q109928721	Frimert, Anders	M
SE	Q110540198	Marmgren, Martin	M
SE	Q110635584	Eriksson, Sofie	F
SE	Q110776549	Ojanne, Alexander	M
SE	Q111342604	Farid, Jasmin	F
SE	Q111655286	Abdirahman, Mubarik Mohamed	M
SE	Q1581082	Linde, Hans	M
SE	Q1593545	Lavesson, Olof	M
SE	Q15963975	Marttinen, Adam	M
SE	Q15992158	Bylund, Linus	M
SE	Q16162546	Bieler, Paula	F
SE	Q16595953	Nordquist, Lina	F
SE	Q16596143	Rasmusson, Magda	F
SE	Q16616153	Yngwe, Kristina	F
SE	Q16633048	Hervieu, Hannes	M
SE	Q16633140	Karlsson, Niklas	M
SE	Q16633339	Ottosson, Mattias	M
SE	Q16633513	Tovatt, Lorentz	M
SE	Q1681740	Ericson, Jan	M
SE	Q17080318	Adaktusson, Lars	M
SE	Q17265833	Hannah, Robert	M
SE	Q1780398	Kristersson, Ulf	M
SE	Q18169826	Delis, Sotiris	M
SE	Q18176335	Hadzialic, Aida	F
SE	Q18177071	Regnér, Åsa	F
SE	Q18202336	Bladelius, Yasmine	F
SE	Q18202338	Holmqvist, Paula	F
SE	Q18202339	Carvalho, Teresa	F
SE	Q18202340	Haider, Monica	F
SE	Q18202361	Fölster, Sofia	F
SE	Q18202362	Stenergard, Maria Malmer	F
SE	Q18202365	Drougge, Ida	F
SE	Q18202390	Strömkvist, Maria	F
SE	Q18202393	Willner, Maria Andersson	F
SE	Q18202405	Emilsson, Lena	F
SE	Q18202407	Töyrä, Emilia	F
SE	Q18202412	Haraldsson, Johanna	F
SE	Q18202413	Sätherberg, Anna-Caren	F
SE	Q18202414	Wallentheim, Anna	F
SE	Q18202415	Völker, Alexandra	F
SE	Q18237073	Abdu, Said	M
SE	Q18237118	Ahl, Jeff	M
SE	Q18237283	Andersson, Lisbeth Sundén	F
SE	Q18237639	Bengtsson, Angelika	F
SE	Q18237754	Bjälkö, Sara-Lena	F
SE	Q18238133	Christensson, Fredrik	M
SE	Q18238235	Dadgostar, Nooshi	F
SE	Q18238286	Damm, Sofia	F
SE	Q18238432	Dioukarev, Dennis	M
SE	Q18238607	Emilsson, Aron	M
SE	Q18238692	Ericson, Janine Alm	F
SE	Q18238731	Eskilandersson, Mikael	M
SE	Q18238811	Felten, Olle	M
SE	Q18238847	Filper, Runar	M
SE	Q18238922	Forsberg, Anders	M
SE	Q18239164	Ghasemi, Tina	F
SE	Q18239250	Green, Mats	M
SE	Q18242588	Hirvonen, Annika	F
SE	Q18242665	Hult, Emma	F
SE	Q18242990	Jakobsson, Stefan	M
SE	Q18243097	Fornarve, Lotta Johnsson	F
SE	Q18243181	Jönsson, Patrik	M
SE	Q18243197	Kain, Nina	F
SE	Q18243244	Karlsson, Maj	F
SE	Q18243330	Klarberg, Per	M
SE	Q18243354	Knutsson, Elisabet	F
SE	Q18243514	Stenkvist, Robert	M
SE	Q18243576	Lahti, Birger	M
SE	Q18243775	Linde, Ann	F
SE	Q18243811	Lindholm, Veronica	F
SE	Q18243853	Ling, Rasmus	M
SE	Q18244376	Millard, Jonas	M
SE	Q18244644	Nissinen, Johan	M
SE	Q18244660	Nohrén, Emma	F
SE	Q18244900	Oscarsson, Magnus	M
SE	Q18245020	Persson, Magnus	M
SE	Q18245374	Riazat, Daniel	M
SE	Q18245379	Richthoff, Roger	M
SE	Q18245444	Gustafsson, Azadeh Rojhan	F
SE	Q18245556	Rågsjö, Karin	F
SE	Q18245726	Sestrajcic, Daniel	M
SE	Q18245930	Snecker, Linda Westerlund	F
SE	Q18246207	Ståhl, Jimmy	M
SE	Q18246234	Sundin, Cassandra	F
SE	Q18246258	Svenneling, Håkan	M
SE	Q18246550	Östberg, Christina Tapper	F
SE	Q18246818	Venegas, Marco	M
SE	Q18274557	Hedlund, Roger	M
SE	Q18275046	Åfeldt, Jennie	F
SE	Q18275164	Öz, Emanuel	M
SE	Q18335045	Wallrup, Emma	F
SE	Q18335061	Weimer, Maria	F
SE	Q18448703	Lennström, Sanne	F
SE	Q18451082	Karkiainen, Ida	F
SE	Q18451520	Redar, Lawen	F
SE	Q18452054	Fundahn, Marianne	F
SE	Q18454922	Stålhammar, Pernilla	F
SE	Q18600515	Bäckström, Daniel	M
SE	Q18617010	Sjöstedt, Oscar	M
SE	Q18649252	Dahlqvist, Mikael	M
SE	Q18649282	Jönsson, Johanna	F
SE	Q18692956	Persson, Rickard	M
SE	Q18747077	Eliasson, Bengt	M
SE	Q18923356	Karlsson, Jesper Skalberg	M
SE	Q19724763	Andersson, Erik	M
SE	Q19976333	Andersson, Pontus	M
SE	Q19976447	Cato, Jonny	M
SE	Q19976668	Elger, Max	M
SE	Q19977055	Möller, Ola	M
SE	Q19977122	Fridh, Per Olsson	M
SE	Q19977128	Ottoson, Erik	M
SE	Q19977216	Schröder, Anders	M
SE	Q19977330	Westerén, Hanna	F
SE	Q19977344	Örnebjär, Christina	F
SE	Q20095387	Büser, Johan	M
SE	Q20156222	Wiechel, Björn	M
SE	Q2029325	Fridolin, Gustav	M
SE	Q2029704	Sjöstedt, Jonas	M
SE	Q20652801	Ek, Magnus	M
SE	Q20652878	Nysmed, Leif	M
SE	Q21497027	Eriksson, Fredrik	M
SE	Q21503959	Nilsson, Stefan	M
SE	Q21529026	Mouneimne, Jamal	M
SE	Q21531339	Håkansson, Per-Arne	M
SE	Q21558211	Ezelius, Erik	M
SE	Q21558214	Skoglund, John	M
SE	Q21561347	Lundqvist, Patrik	M
SE	Q21578777	Söder, Larry	M
SE	Q21585331	Rönnmark, Marie-Louise	F
SE	Q22923559	Hansén, Camilla	F
SE	Q237522	Wallström, Margot	F
SE	Q23915305	Edin, Henrik	M
SE	Q23915324	Kihlblom, Lina Axelsson	F
SE	Q23916255	Lindhagen, Åsa	F
SE	Q24018140	Lind, Amanda	F
SE	Q241208	Lövin, Isabella	F
SE	Q24701062	Tegnér, Mathias	M
SE	Q2494607	Thorwaldsson, Karl-Petter	M
