Country	SpeakerID	Name	Sex
UA	ЄвгенІвановичКирильчук.1940	Кирильчук, Євген Іванович	M
UA	ЄвгенІвановичМельник.1956	Мельник, Євген Іванович	M
UA	ЄвгенІвановичТалишев.1952	Талишев, Євген Іванович	M
UA	ЄвгенІгоровичЗімін.1960	Зімін, Євген Ігорович	M
UA	ЄвгенІгоровичЦарьков.1974	Царьков, Євген Ігорович	M
UA	ЄвгенАльфредовичЧервоненко.1959	Червоненко, Євген Альфредович	M
UA	ЄвгенВасильовичЛапін.1950	Лапін, Євген Васильович	M
UA	ЄвгенВасильовичМармазов.1938	Мармазов, Євген Васильович	M
UA	ЄвгенВасильовичПетруняк.1977	Петруняк, Євген Васильович	M
UA	ЄвгенВасильовичФіліндаш.1977	Філіндаш, Євген Васильович	M
UA	ЄвгенВолодимировичКорнійчук.1966	Корнійчук, Євген Володимирович	M
UA	ЄвгенВолодимировичРадченко.1973	Радченко, Євген Володимирович	M
UA	ЄвгенВіталійовичБалицький.1969	Балицький, Євген Віталійович	M
UA	ЄвгенГеннадійовичЯковенко.1965	Яковенко, Євген Геннадійович	M
UA	ЄвгенГригоровичКарташов.1942	Карташов, Євген Григорович	M
UA	ЄвгенГригоровичУдод.1973	Удод, Євген Григорович	M
UA	ЄвгенДмитровичДобряк.1973	Добряк, Євген Дмитрович	M
UA	ЄвгенДмитровичЖовтяк.1961	Жовтяк, Євген Дмитрович	M
UA	ЄвгенКириловичМарчук.1941	Марчук, Євген Кирилович	M
UA	ЄвгенМиколайовичБакулін.1956	Бакулін, Євген Миколайович	M
UA	ЄвгенМиколайовичНищук.1972	Нищук, Євген Миколайович	M
UA	ЄвгенОлексійовичГірник.1954	Гірник, Євген Олексійович	M
UA	ЄвгенПавловичПивоваров.1978	Пивоваров, Євген Павлович	M
UA	ЄвгенПетровичШаго.1941	Шаго, Євген Петрович	M
UA	ЄвгенСеменовичКонстантинов.1937	Константинов, Євген Семенович	M
UA	ЄвгенСергійовичДейдей.1987	Дейдей, Євген Сергійович	M
UA	ЄвгенСергійовичКуренков	Куренков, Євген Сергійович	M
UA	ЄвгенЮрійовичРибчинський.1969	Рибчинський, Євген Юрійович	M
UA	ЄвгенЯковичСігал.1955	Сігал, Євген Якович	M
UA	ЄвгенійІвановичСуслов.1981	Суслов, Євгеній Іванович	M
UA	ЄвгенійБорисовичГєллєр.1974	Гєллєр, Євгеній Борисович	M
UA	ЄвгенійВадимовичБрагар.1994	Брагар, Євгеній Вадимович	M
UA	ЄвгенійВадимовичМорозенко.1958	Морозенко, Євгеній Вадимович	M
UA	ЄвгенійВалерійовичВолинець.1978	Волинець, Євгеній Валерійович	M
UA	ЄвгенійВолодимировичМураєв.1976	Мураєв, Євгеній Володимирович	M
UA	ЄвгенійВолодимировичШевченко.1972	Шевченко, Євгеній Володимирович	M
UA	ЄвгенійПетровичКушнарьов.1951	Кушнарьов, Євгеній Петрович	M
UA	ЄвгеніяМихайлівнаКравчук.1985	Кравчук, Євгенія Михайлівна	F
UA	ЄгорВолодимировичЧернєв.1985	Чернєв, Єгор Володимирович	M
UA	ЄгорВікторовичСоболєв.1977	Соболєв, Єгор Вікторович	M
UA	ЄгорПавловичФірсов.1988	Фірсов, Єгор Павлович	M
UA	ЄлизаветаОлексіївнаЯсько.1990	Ясько, Єлизавета Олексіївна	F
UA	ЄлізаветаПетрівнаБогуцька.1964	Богуцька, Єлізавета Петрівна	F
UA	ЄнсСтолтенберг.1959	Столтенберг, Єнс	M
UA	ЄфимЗісєвичФікс.1946	Фікс, Єфим Зіс’євич	M
UA	ІванІвановичБалога.1966	Балога, Іван Іванович	M
UA	ІванІвановичБушко.1969	Бушко, Іван Іванович	M
UA	ІванІвановичКрулько.1981	Крулько, Іван Іванович	M
UA	ІванІвановичКуліченко.1955	Куліченко, Іван Іванович	M
UA	ІванІвановичКуровський.1951	Куровський, Іван Іванович	M
UA	ІванІвановичМельничук.1969	Мельничук, Іван Іванович	M
UA	ІванІвановичМигович.1942	Мигович, Іван Іванович	M
UA	ІванІвановичСавка.1972	Савка, Іван Іванович	M
UA	ІванІвановичСтупак.1960	Ступак, Іван Іванович	M
UA	ІванІвановичСідельник.1939	Сідельник, Іван Іванович	M
UA	ІванІвановичТкаленко.1955	Ткаленко, Іван Іванович	M
UA	ІванАдамовичЧайківський.1972	Чайківський, Іван Адамович	M
UA	ІванАнатолійовичШинкаренко.1986	Шинкаренко, Іван Анатолійович	M
UA	ІванАнтоновичЧетверіков.1951	Четверіков, Іван Антонович	M
UA	ІванВасильовичІванчо.1946	Іванчо, Іван Васильович	M
UA	ІванВасильовичВасюник.1959	Васюник, Іван Васильович	M
UA	ІванВасильовичВернидубов.1951	Вернидубов, Іван Васильович	M
UA	ІванВасильовичДенькович.1963	Денькович, Іван Васильович	M
UA	ІванВасильовичПлачков.1957	Плачков, Іван Васильович	M
UA	ІванВасильовичПопеску.1964	Попеску, Іван Васильович	M
UA	ІванВасильовичСподаренко.1931	Сподаренко, Іван Васильович	M
UA	ІванВолодимировичМірошніченко.1972	Мірошніченко, Іван Володимирович	M
UA	ІванГеннадійовичФурсін.1971	Фурсін, Іван Геннадійович	M
UA	ІванГригоровичКириленко.1956	Кириленко, Іван Григорович	M
UA	ІванДмитровичСпориш.1959	Спориш, Іван Дмитрович	M
UA	ІванМиколайовичБондарчук.1944	Бондарчук, Іван Миколайович	M
UA	ІванМиколайовичМирний.1954	Мирний, Іван Миколайович	M
UA	ІванМиколайовичРішняк.1946	Рішняк, Іван Миколайович	M
UA	ІванМихайловичБастрига.1937	Бастрига, Іван Михайлович	M
UA	ІванМихайловичРізак.1965	Різак, Іван Михайлович	M
UA	ІванМихайловичСтойко.1961	Стойко, Іван Михайлович	M
UA	ІванОлександровичБрацюнь	Брацюнь, Іван Олександрович	M
UA	ІванОлександровичВакарчук.1947	Вакарчук, Іван Олександрович	M
UA	ІванОлександровичГерасимов.1921	Герасимов, Іван Олександрович	M
UA	ІванОлександровичЗаєць.1952	Заєць, Іван Олександрович	M
UA	ІванПетровичРибак.1978	Рибак, Іван Петрович	M
UA	ІванРомановичКалаур.1968	Калаур, Іван Романович	M
UA	ІванСергійовичЮнаков.1984	Юнаков, Іван Сергійович	M
UA	ІванСидоровичБокий.1942	Бокий, Іван Сидорович	M
UA	ІванСтепановичПлющ.1941	Плющ, Іван Степанович	M
UA	ІванСтепановичРуснак.1952	Руснак, Іван Степанович	M
UA	ІванФедоровичДрач.1936	Драч, Іван Федорович	M
UA	ІванФедоровичКурас.1939	Курас, Іван Федорович	M
UA	ІванФедоровичТомич.1958	Томич, Іван Федорович	M
UA	ІванЮлійовичВінник.1979	Вінник, Іван Юлійович	M
UA	ІванЮрійовичЛіщина.1977	Ліщина, Іван Юрійович	M
UA	ІванЯковичСахань.1948	Сахань, Іван Якович	M
UA	ІванЯрославовичГаврилюк.1948	Гаврилюк, Іван Ярославович	M
UA	ІваннаВасилівнаСмачило.1976	Смачило, Іванна Василівна	F
UA	ІваннаВасилівнаФедько	Федько, Іванна Василівна	F
UA	ІваннаОрестівнаКлимпуш-Цинцадзе.1972	Климпуш-Цинцадзе, Іванна Орестівна	F
UA	ІгорЄвгеновичГоцул.1965	Гоцул, Ігор Євгенович	M
UA	ІгорЄвгенійовичСкосар.1968	Скосар, Ігор Євгенійович	M
UA	ІгорІвановичКріль.1961	Кріль, Ігор Іванович	M
UA	ІгорІвановичОсташ.1959	Осташ, Ігор Іванович	M
UA	ІгорІвановичПлохой.1968	Плохой, Ігор Іванович	M
