Country	PersonID	Role	From	To	GovtTermID	MinistryID	orgName-xx	orgName-en	URL	Comment
EE	j_ligi_19590716	minister	2009-06-03	2014-11-03	11th/12th parliament	-	Eesti Vabariigi Rahandusministeerium	Ministry of Finance	https://en.wikipedia.org/wiki/Minister_of_Finance_(Estonia)	-
EE	m_lauri_19660101	minister	2014-11-04	2015-04-09	12th parliament	-	Eesti Vabariigi Rahandusministeerium	Ministry of Finance	https://en.wikipedia.org/wiki/Minister_of_Finance_(Estonia)	-
EE	s_sester_19690714	minister	2015-04-10	2017-06-12	13th parliament	-	Eesti Vabariigi Rahandusministeerium	Ministry of Finance	https://en.wikipedia.org/wiki/Minister_of_Finance_(Estonia)	-
EE	t_tõniste_19670426	minister	2017-06-13	2019-04-29	13th parliament	-	Eesti Vabariigi Rahandusministeerium	Ministry of Finance	https://en.wikipedia.org/wiki/Minister_of_Finance_(Estonia)	-
EE	m_helme_19760424	minister	2019-04-30	2021-01-26	14th parliament	-	Eesti Vabariigi Rahandusministeerium	Ministry of Finance	https://en.wikipedia.org/wiki/Minister_of_Finance_(Estonia)	-
EE	k_pentus_rosimannus_19760303	minister	2021-01-27	2022-10-19	14th parliament	-	Eesti Vabariigi Rahandusministeerium	Ministry of Finance	https://en.wikipedia.org/wiki/Minister_of_Finance_(Estonia)	-
EE	a_akkermann_19721005	minister	2022-10-20	2023-04-17	14th parliament	-	Eesti Vabariigi Rahandusministeerium	Ministry of Finance	https://en.wikipedia.org/wiki/Minister_of_Finance_(Estonia)	-
EE	m_võrklaev_19840530	minister	2023-04-18		15th parliament	-	Eesti Vabariigi Rahandusministeerium	Ministry of Finance	https://en.wikipedia.org/wiki/Minister_of_Finance_(Estonia)	-
EE	u_paet_19740420	minister	2005-04-13	2014-11-17	10th/11th/12th parliament	-	Eesti Vabariigi Välisministeerium	Ministry of Foreign Affairs	https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Estonia)	-
EE	k_pentus_rosimannus_19760303	minister	2014-11-18	2015-07-16	12th parliament	-	Eesti Vabariigi Välisministeerium	Ministry of Foreign Affairs	https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Estonia)	-
EE	m_kaljurand_19620906	minister	2015-07-17	2016-09-12	13th parliament	-	Eesti Vabariigi Välisministeerium	Ministry of Foreign Affairs	https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Estonia)	-
EE	j_ligi_19590716	minister	2016-09-13	2016-11-23	13th parliament	-	Eesti Vabariigi Välisministeerium	Ministry of Foreign Affairs	https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Estonia)	-
EE	s_mikser_19731108	minister	2016-11-24	2019-04-29	13th parliament	-	Eesti Vabariigi Välisministeerium	Ministry of Foreign Affairs	https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Estonia)	-
EE	u_reinsalu_19750622	minister	2019-04-30	2021-01-26	14th parliament	-	Eesti Vabariigi Välisministeerium	Ministry of Foreign Affairs	https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Estonia)	-
EE	em_liimets_19740531	minister	2021-01-27	2022-06-03	14th parliament	-	Eesti Vabariigi Välisministeerium	Ministry of Foreign Affairs	https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Estonia)	-
EE	u_reinsalu_19750622	minister	2022-07-18	2023-04-17	14th parliament	-	Eesti Vabariigi Välisministeerium	Ministry of Foreign Affairs	https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Estonia)	-
EE	m_tsahkna_19770413	minister	2023-04-18		15th parliament	-	Eesti Vabariigi Välisministeerium	Ministry of Foreign Affairs	https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Estonia)	-
EE	u_palo_19720710	minister	2014-03-26	2015-04-09	12th parliament	-	Majandus- ja Kommunikatsiooniministeerium	Ministry of Economic Affairs and Communications	https://en.wikipedia.org/wiki/Minister_of_Economic_Affairs_and_Information_Technology_(Estonia)	-
EE	k_michal_19750712	minister	2015-04-10	2016-11-23	13th parliament	-	Majandus- ja Kommunikatsiooniministeerium	Ministry of Economic Affairs and Communications	https://en.wikipedia.org/wiki/Minister_of_Economic_Affairs_and_Information_Technology_(Estonia)	-
EE	k_simson_19770122	minister	2016-11-24	2019-04-29	13th parliament	-	Majandus- ja Kommunikatsiooniministeerium	Ministry of Economic Affairs and Communications	https://en.wikipedia.org/wiki/Minister_of_Economic_Affairs_and_Information_Technology_(Estonia)	-
EE	t_aas_19660110	minister	2019-04-30	2022-06-03	14th parliament	-	Majandus- ja Kommunikatsiooniministeerium	Ministry of Economic Affairs and Communications	https://en.wikipedia.org/wiki/Minister_of_Economic_Affairs_and_Information_Technology_(Estonia)	-
EE	r_sikkut_19830112	minister	2022-07-18	2023-04-17	14th parliament	-	Majandus- ja Kommunikatsiooniministeerium	Ministry of Economic Affairs and Communications	https://en.wikipedia.org/wiki/Minister_of_Economic_Affairs_and_Information_Technology_(Estonia)	-
EE	RiisaloTiit	minister	2023-04-18		15th parliament	-	Majandus- ja Kommunikatsiooniministeerium	Ministry of Economic Affairs and Communications	https://en.wikipedia.org/wiki/Minister_of_Economic_Affairs_and_Information_Technology_(Estonia)	-
EE	k_michal_19750712	minister	2011-04-06	2012-12-10	12th parliament	-	Justiitsministeerium	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Estonia)	-
EE	h_pevkur_19770402	minister	2012-12-11	2014-03-26	12th parliament	-	Justiitsministeerium	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Estonia)	-
EE	a_anvelt_19690930	minister	2014-03-27	2015-04-09	12th parliament	-	Justiitsministeerium	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Estonia)	-
EE	u_reinsalu_19750622	minister	2015-04-10	2019-04-29	13th parliament	-	Justiitsministeerium	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Estonia)	-
EE	r_aeg_19620704	minister	2019-04-30	2021-01-26	14th parliament	-	Justiitsministeerium	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Estonia)	-
EE	m_lauri_19660101	minister	2021-01-27	2022-07-18	14th parliament	-	Justiitsministeerium	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Estonia)	-
EE	DanilsonJärgLea	minister	2022-07-19	2023-04-17	14th parliament	-	Justiitsministeerium	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Estonia)	-
EE	k_laanet_19650925	minister	2023-04-18		15th parliament	-	Justiitsministeerium	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Estonia)	-
EE	u_reinsalu_19750622	minister	2012-05-14	2014-03-26	12th parliament	-	Eesti Vabariigi Kaitseministeerium	Ministry of Defence	https://en.wikipedia.org/wiki/Minister_of_Defence_(Estonia)	-
EE	s_mikser_19731108	minister	2014-03-27	2015-09-14	12th parliament	-	Eesti Vabariigi Kaitseministeerium	Ministry of Defence	https://en.wikipedia.org/wiki/Minister_of_Defence_(Estonia)	-
EE	h_hanso_19711006	minister	2015-09-15	2016-11-23	13th parliament	-	Eesti Vabariigi Kaitseministeerium	Ministry of Defence	https://en.wikipedia.org/wiki/Minister_of_Defence_(Estonia)	-
EE	m_tsahkna_19770413	minister	2016-11-24	2017-06-12	13th parliament	-	Eesti Vabariigi Kaitseministeerium	Ministry of Defence	https://en.wikipedia.org/wiki/Minister_of_Defence_(Estonia)	-
EE	j_luik_19660817	minister	2017-06-13	2021-01-26	13th/14th parliament	-	Eesti Vabariigi Kaitseministeerium	Ministry of Defence	https://en.wikipedia.org/wiki/Minister_of_Defence_(Estonia)	-
EE	k_laanet_19650925	minister	2021-01-27	2022-07-18	14th parliament	-	Eesti Vabariigi Kaitseministeerium	Ministry of Defence	https://en.wikipedia.org/wiki/Minister_of_Defence_(Estonia)	-
EE	h_pevkur_19770402	minister	2022-07-19		14th/15th parliament	-	Eesti Vabariigi Kaitseministeerium	Ministry of Defence	https://en.wikipedia.org/wiki/Minister_of_Defence_(Estonia)	-
EE	u_tiidus_19540606	minister	2013-12-04	2015-04-09	12th parliament	-	Eesti Kultuuriministeerium	Ministry of Culture	https://en.wikipedia.org/wiki/Ministry_of_Culture_(Estonia)	-
EE	i_saar_19730220	minister	2015-04-10	2019-04-29	13th parliament	-	Eesti Kultuuriministeerium	Ministry of Culture	https://en.wikipedia.org/wiki/Ministry_of_Culture_(Estonia)	-
EE	t_lukas_19620605	minister	2019-04-30	2021-01-26	14th parliament	-	Eesti Kultuuriministeerium	Ministry of Culture	https://en.wikipedia.org/wiki/Ministry_of_Culture_(Estonia)	-
EE	a_ott_19760502	minister	2021-01-27	2021-11-03	14th parliament	-	Eesti Kultuuriministeerium	Ministry of Culture	https://en.wikipedia.org/wiki/Ministry_of_Culture_(Estonia)	-
EE	t_terik_19790615	minister	2021-11-08	2022-06-03	14th parliament	-	Eesti Kultuuriministeerium	Ministry of Culture	https://en.wikipedia.org/wiki/Ministry_of_Culture_(Estonia)	-
EE	HartmanPiret	minister	2022-07-18	2023-04-17	14th parliament	-	Eesti Kultuuriministeerium	Ministry of Culture	https://en.wikipedia.org/wiki/Ministry_of_Culture_(Estonia)	-
EE	h_purga_19750318	minister	2023-04-18		15th parliament	-	Eesti Kultuuriministeerium	Ministry of Culture	https://en.wikipedia.org/wiki/Ministry_of_Culture_(Estonia)	-
EE	km_vaher_19740905	minister	2011-04-06	2014-03-26	12th parliament	-	Eesti Siseministeerium	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Estonia)	-
EE	h_pevkur_19770402	minister	2014-03-27	2016-11-23	12th/13th parliament	-	Eesti Siseministeerium	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Estonia)	-
EE	a_anvelt_19690930	minister	2016-11-24	2018-11-26	13th parliament	-	Eesti Siseministeerium	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Estonia)	-
EE	k_raik_19671026	minister	2018-11-27	2019-04-29	13th parliament	-	Eesti Siseministeerium	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Estonia)	-
EE	m_helme_19491031	minister	2019-04-30	2020-11-09	14th parliament	-	Eesti Siseministeerium	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Estonia)	-
EE	a_laneman_19620506	minister	2020-11-18	2021-01-26	14th parliament	-	Eesti Siseministeerium	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Estonia)	-
EE	k_jaani_19761211	minister	2021-01-27	2022-06-03	14th parliament	-	Eesti Siseministeerium	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Estonia)	-
EE	k_laanet_19650925	minister	2022-06-04	2022-07-14	14th parliament	-	Eesti Siseministeerium	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Estonia)	-
EE	l_läänemets_19830131	minister	2022-07-18		14th/15th parliament	-	Eesti Siseministeerium	Ministry of the Interior	https://en.wikipedia.org/wiki/Ministry_of_the_Interior_(Estonia)	-
EE	j_aaviksoo_19540111	minister	2011-04-06	2014-03-26	12th parliament	-	Haridus- ja teadusministeerium	Ministry of Education and Research	https://en.wikipedia.org/wiki/Minister_of_Education_and_Research_(Estonia)	-
EE	j_ossinovski_19860315	minister	2014-03-27	2015-04-09	12th parliament	-	Haridus- ja teadusministeerium	Ministry of Education and Research	https://en.wikipedia.org/wiki/Minister_of_Education_and_Research_(Estonia)	-
EE	j_ligi_19590716	minister	2015-04-10	2016-09-12	13th parliament	-	Haridus- ja teadusministeerium	Ministry of Education and Research	https://en.wikipedia.org/wiki/Minister_of_Education_and_Research_(Estonia)	-
EE	m_lauri_19660101	minister	2016-09-13	2016-11-23	13th parliament	-	Haridus- ja teadusministeerium	Ministry of Education and Research	https://en.wikipedia.org/wiki/Minister_of_Education_and_Research_(Estonia)	-
EE	m_reps_19750113	minister	2016-11-24	2020-11-21	13th/14th parliament	-	Haridus- ja teadusministeerium	Ministry of Education and Research	https://en.wikipedia.org/wiki/Minister_of_Education_and_Research_(Estonia)	-
EE	j_aab_19600409	minister	2020-11-25	2021-01-26	14th parliament	-	Haridus- ja teadusministeerium	Ministry of Education and Research	https://en.wikipedia.org/wiki/Minister_of_Education_and_Research_(Estonia)	-
EE	l_kersna_19800403	minister	2021-01-27	2022-07-18	14th parliament	-	Haridus- ja teadusministeerium	Ministry of Education and Research	https://en.wikipedia.org/wiki/Minister_of_Education_and_Research_(Estonia)	-
