Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
ES-CT	AlsinaVictòria	minister	2021-05-26	2022-10-10	-	-	Consellera d'Acció Exterior i Transparència	-	-	-
ES-CT	AragonèsPere	minister	2018-05-29	2021-05-25	-	-	Vicepresident de la Generalitat i Conseller d’Economia i Hisenda	-	-	-
ES-CT	ArgimonJosep	minister	2021-05-26	2022-10-10	-	-	Conseller de Salut	-	-	-
ES-CT	ArtadiElsa	minister	2018-05-29	2019-03-24	-	-	Conseller de Presidència	-	-	-
ES-CT	BaigetJordi	minister	2016-01-14	2017-07-03	-	-	Conseller d'Empresa i Coneixement	-	-	-
ES-CT	BaigetJordi	minister	2012-12-27	2016-01-13	-	-	Secretari del Govern	-	-	-
ES-CT	BargallóJosep	minister	2018-05-29	2021-05-25	-	-	Conseller d'Educació	-	-	-
ES-CT	BassaDolors	minister	2016-01-14	2017-10-27	-	-	Consellera d’Afers Socials, Treball i Famílies	-	-	-
ES-CT	BorràsLaura	minister	2018-05-29	2019-03-24	-	-	Consellera de Cultura	-	-	-
ES-CT	BorràsMeritxell	minister	2016-01-15	2017-10-27	-	-	Consellera de Governació, Administracions Públiques i Habitatge	-	-	-
ES-CT	BorràsMeritxell	minister	2015-06-22	2016-01-14	-	-	Consellera de Governació i Relacions Institucionals de la Generalitat de Catalunya	-	-	-
ES-CT	BoschAlfred	minister	2018-11-22	2020-03-09	-	-	Conseller d'Acció Exterior, Relacions Institucionals i Transparència	-	-	-
ES-CT	BuchMiquel	minister	2018-05-19	2020-09-03	-	-	Conseller	-	-	-
ES-CT	BudóMeritxell	minister	2021-06-08	2023-01-24	-	-	Secretària d'Atenció Sanitària i Participació	-	-	-
ES-CT	CalvetDamià	minister	2018-05-29	2021-05-26	-	-	Conseller de Territori i Sostenibilitat	-	-	-
ES-CT	CapellaEster	minister	2018-05-29	2021-05-25	-	-	Consellera de Justicia	-	-	-
ES-CT	CerveraViolant	minister	2021-05-26	2022-10-10	-	-	Consellera de Dret Socials	-	-	-
ES-CT	ÀngelsChacón	minister	2018-06-02	2020-09-03	-	-	Consellera d'Empresa i Coneixement	-	-	-
ES-CT	CiuróLourdes	minister	2021-05-26	2022-10-10	-	-	Consellera de Justícia	-	-	-
ES-CT	ComínAntoni	minister	2016-01-14	2017-10-27	-	-	Conseller de Salut	-	-	-
ES-CT	ElHomraniChakir	minister	2018-06-02	2021-05-26	-	-	Conseller de Treball, Afers Socials i Famílies	-	-	-
ES-CT	IgnasiJoan	minister	2021-05-26	2023-01-24	-	-	Conseller d'Interior	-	-	-
