Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
ES-GA	LorenzanaMaríaJesús	minister	2020-09-07	-	GOV.11	-	-	-	-	-
ES-GA	PomarCarmenMaría	minister	2018-09-27	2020-09-04	GOV.10	-	-	-	-	-
ES-GA	VázquezEthelMaría	minister	2014-06-18	2015-10-05	GOV.9	-	-	-	-	-
ES-GA	VázquezEthelMaría	minister	2015-10-05	2016-11-12	GOV.9	-	-	-	-	-
ES-GA	VázquezEthelMaría	minister	2016-11-14	2020-09-04	GOV.10	-	-	-	-	-
ES-GA	VázquezEthelMaría	minister	2020-09-07	-	GOV.11	-	-	-	-	-
ES-GA	MatoBeatriz	minister	2012-12-03	2015-10-05	GOV.9	-	-	-	-	-
ES-GA	MatoBeatriz	minister	2015-10-05	2016-11-12	GOV.9	-	-	-	-	-
ES-GA	MatoBeatriz	minister	2016-11-14	2018-09-27	GOV.10	-	-	-	-	-
ES-GA	VázquezMaríaÁngeles	minister	2015-10-05	2016-11-12	GOV.9	-	-	-	-	-
ES-GA	VázquezMaríaÁngeles	minister	2016-11-14	2018-09-27	GOV.10	-	-	-	-	-
ES-GA	VázquezMaríaÁngeles	minister	2018-09-27	2020-09-04	GOV.10	-	-	-	-	-
ES-GA	VázquezMaríaÁngeles	minister	2020-09-07	-	GOV.11	-	-	-	-	-
ES-GA	QuintanaRosaMaría	minister	2012-12-03	2015-10-05	GOV.9	-	-	-	-	-
ES-GA	QuintanaRosaMaría	minister	2015-10-05	2016-11-12	GOV.9	-	-	-	-	-
ES-GA	QuintanaRosaMaría	minister	2016-11-14	2020-09-04	GOV.10	-	-	-	-	-
ES-GA	QuintanaRosaMaría	minister	2020-09-07	-	GOV.11	-	-	-	-	-
ES-GA	GarcíaFabiola	minister	2018-09-27	2020-09-04	GOV.10	-	-	-	-	-
ES-GA	GarcíaFabiola	minister	2020-09-07	-	GOV.11	-	-	-	-	-
ES-GA	MartínezValeriano	minister	2015-02-10	2016-11-12	GOV.9	-	-	-	-	-
ES-GA	MartínezValeriano	minister	2016-11-14	2020-09-04	GOV.10	-	-	-	-	-
ES-GA	MartínezValeriano	minister	2020-09-07	2021-10-06	GOV.11	-	-	-	-	-
ES-GA	RodríguezRomán	minister	2015-02-10	2016-11-12	GOV.9	-	-	-	-	-
ES-GA	RodríguezRomán	minister	2016-11-14	2018-09-27	GOV.10	-	-	-	-	-
ES-GA	RodríguezRomán	minister	2018-09-27	2020-09-04	GOV.10	-	-	-	-	-
ES-GA	RodríguezRomán	minister	2020-09-07	-	GOV.11	-	-	-	-	-
ES-GA	CondeFranciscoJosé	minister	2012-12-03	2016-11-12	GOV.9	-	-	-	-	-
ES-GA	CondeFranciscoJosé	minister	2016-11-14	2020-09-04	GOV.10	-	-	-	-	-
ES-GA	GonzálezJosé	minister	2018-09-27	2020-09-04	GOV.10	-	-	-	-	-
ES-GA	GonzálezJosé	minister	2020-09-07	-	GOV.11	-	-	-	-	-
ES-GA	ReyJoséManuel	minister	2015-10-05	2016-11-12	GOV.9	-	-	-	-	-
ES-GA	ReyJoséManuel	minister	2016-11-14	2018-09-27	GOV.10	-	-	-	-	-
ES-GA	VázquezAlmuíñaJesús	minister	2015-10-05	2016-08-01	GOV.9	-	-	-	-	-
ES-GA	VázquezAlmuíñaJesús	minister	2016-11-14	2020-02-10	GOV.10	-	-	-	-	-
ES-GA	MosqueraRocío	minister	2012-12-03	2015-10-05	GOV.9	-	-	-	-	-
ES-GA	GarcíaJulio	minister	2020-09-07	-	GOV.11	-	-	-	-	-
ES-GA	CorgosMiguel	minister	2021-10-18	-	GOV.11	-	-	-	-	-
