Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
ES	AlbertoGarzónEspinosa	minister	2020-01-13	-	-	-	-	Minister of Consumer Affairs	-	-
ES	AlbertoRuizGallardón	minister	2011-12-22	2014-09-23	-	-	-	Minister of Justice	-	-
ES	AlfonsoMaríaDastisQuecedo	minister	2016-11-04	2018-06-07	-	-	-	Minister of Foreign Affairs and Cooperation	-	-
ES	AnaMaríaPastorJulián	minister	2011-12-22	2016-07-18	-	-	-	Minister of Development	-	-
ES	AnaMato	minister	2011-12-22	2014-11-26	-	-	-	Minister of Health, Social Services and Equality	-	-
ES	AranchaGonzálezLaya	minister	2020-01-13	2021-07-12	-	-	-	Minister of Foreign Affairs, European Union and Cooperation	-	-
ES	CarmenCalvoPoyato	minister	2018-06-07	2020-01-13	-	-	-	Minister of the Presidency, Relations with the Cortes and Equality	-	-
ES	CarmenCalvoPoyato	minister	2020-01-13	2021-07-12	-	-	-	Minister of the Presidency, Relations with the Cortes and Democratic Memory	-	-
ES	CarmenMontónGiménez	minister	2018-06-07	2018-09-11	-	-	-	Minister of Health, Consumer Affairs and Social Welfare	-	-
ES	CarolinaDariasSanSebastián	minister	2020-01-13	2021-01-27	-	-	-	Minister of Territorial Policy and Civil Service	-	-
ES	CarolinaDariasSanSebastián	minister	2021-01-27	2023-03-28	-	-	-	Minister of Health	-	-
ES	CristóbalRicardoMontoroRomero	minister	2011-12-22	2016-11-04	-	-	-	Minister of Finance and Public Administrations	-	-
ES	CristóbalRicardoMontoroRomero	minister	2016-11-04	2018-06-07	-	-	-	Minister of Finance and Civil Service	-	-
ES	DianaMorantRipoll	minister	2021-07-12	-	-	-	-	Minister of Science and Innovation	-	-
ES	DoloresDelgadoGarcía	minister	2018-06-07	2020-01-13	-	-	-	Minister of Justice	-	-
ES	DolorsMontserratMontserrat	minister	2016-11-04	2018-06-07	-	-	-	Minister of Health, Social Services and Equality	-	-
ES	FernandoGrandeMarlaskaGómez	minister	2018-06-07	-	-	-	-	Minister of the Interior	-	-
ES	FátimaBáñez	minister	2011-12-22	2018-06-07	-	-	-	Minister of Employment and Social Security	-	-
ES	FélixBolaños	minister	2021-07-12	-	-	-	-	Minister of the Presidency, Relations with the Cortes and Democratic Memory	-	-
ES	HéctorGómezHernández	minister	2023-03-28	-	-	-	-	Minister of Industry, Trade and Tourism	-	-
ES	IoneBelarraUrteaga	minister	2021-03-31	-	-	-	-	Minister of Social Rights and 2030 Agenda	-	-
ES	IreneMaríaMonteroGil	minister	2020-01-13	-	-	-	-	Minister of Equality	-	-
ES	IsabelCelaáDiéguez	minister	2018-06-07	2021-07-12	-	-	-	Minister of Education and Vocational Training	-	-
ES	IsabelGarcíaTejerina	minister	2014-04-28	2016-11-04	-	-	-	Minister of Agriculture, Food and Environment	-	-
ES	IsabelGarcíaTejerina	minister	2016-11-04	2018-06-07	-	-	-	Minister of Agriculture and Fisheries, Food and Environment	-	-
ES	IsabelRodríguezGarcía	minister	2021-07-12	-	-	-	-	Minister of Territorial Policy	-	-
ES	JoanSubiratsHumet	minister	2021-12-20	-	-	-	-	Minister of Universities	-	-
ES	JorgeFernándezDíaz	minister	2011-12-22	2016-11-04	-	-	-	Minister of the Interior	-	-
ES	JosepBorrellFontelles	minister	2018-06-07	2019-11-30	-	-	-	Minister of Foreign Affairs, European Union and Cooperation	-	-
ES	JoséGuiraoCabrera	minister	2018-06-14	2020-01-13	-	-	-	Minister of Culture and Sports	-	-
ES	JoséIgnacioWertOrtega	minister	2011-12-22	2015-06-26	-	-	-	Minister of Education, Culture and Sports	-	-
ES	JoséLuisEscriváBelmonte	minister	2020-01-13	-	-	-	-	Minister of Inclusion, Social Security and Migration	-	-
ES	JoséLuisÁbalosMeco	minister	2018-06-07	2020-01-13	-	-	-	Minister of Development	-	-
