Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
GR	ΒΙΤΣΑΣ_ΑΘΑΝΑΣΙΟΥ_ΔΗΜΗΤΡΙΟΣ	minister	2018-02-28	2019-07-09	-	-	ΥΠΟΥΡΓΟΣ ΜΕΤΑΝΑΣΤΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ	-	-	-
GR	ΙΩΑΝΝΗΣ_ΜΟΥΖΑΛΑΣ	minister	2016-11-05	2018-02-28	-	-	ΥΠΟΥΡΓΟΣ ΜΕΤΑΝΑΣΤΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ	-	-	-
GR	ΚΟΥΡΟΥΜΠΛΗΣ_ΕΛΕΥΘΕΡΙΟΥ_ΠΑΝΑΓΙΩΤΗΣ	minister	2015-01-27	2015-08-27	-	-	ΥΠΟΥΡΓΟΣ ΥΓΕΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΑΣΦΑΛΙΣΕΩΝ	-	-	-
GR	ΚΟΥΡΟΥΜΠΛΗΣ_ΕΛΕΥΘΕΡΙΟΥ_ΠΑΝΑΓΙΩΤΗΣ	minister	2015-09-23	2016-11-05	-	-	ΥΠΟΥΡΓΟΣ ΕΣΩΤΕΡΙΚΩΝ ΚΑΙ ΔΙΟΙΚΗΤΙΚΗΣ ΑΝΑΣΥΓΚΡΟΤΗΣΗΣ	-	-	-
GR	ΚΟΥΡΟΥΜΠΛΗΣ_ΕΛΕΥΘΕΡΙΟΥ_ΠΑΝΑΓΙΩΤΗΣ	minister	2016-11-05	2018-08-29	-	-	ΥΠΟΥΡΓΟΣ ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ	-	-	-
GR	ΚΕΡΑΜΕΩΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΝΙΚΗ	minister	2019-07-09	-	-	-	ΥΠΟΥΡΓΟΣ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ	-	-	-
GR	ΝΙΚΟΛΑΟΣ_ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ	minister	2015-01-27	2015-08-27	-	-	ΥΠΟΥΡΓΟΣ ΔΙΚΑΙΟΣΥΝΗΣ ΔΙΑΦΑΝΕΙΑΣ ΚΑΙ ΑΝΘΡΩΠΙΝΩΝ ΔΙΚΑΙΩΜΑΤΩΝ	-	-	-
GR	ΒΑΡΒΙΤΣΙΩΤΗΣ_ΙΩΑΝΝΗ_ΜΙΛΤΙΑΔΗΣ	minister	2015-01-25	2015-01-27	-	-	ΥΠΟΥΡΓΟΣ ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΑΙΓΑΙΟΥ	-	-	-
GR	ΚΥΡΙΑΚΟΣ_ΠΙΕΡΡΑΚΑΚΗΣ	minister	2019-07-09	-	-	-	ΥΠΟΥΡΓΟΣ ΕΠΙΚΡΑΤΕΙΑΣ	-	-	-
GR	ΑΝΤΩΝΙΟΣ_ΜΑΝΙΤΑΚΗΣ	minister	2015-08-28	2015-09-21	-	-	ΥΠΟΥΡΓΟΣ ΕΣΩΤΕΡΙΚΩΝ ΚΑΙ ΔΙΟΙΚΗΤΙΚΗΣ ΑΝΑΣΥΓΚΡΟΤΗΣΗΣ	-	-	-
GR	ΑΠΟΣΤΟΛΟΥ_ΔΗΜΗΤΡΙΟΥ_ΕΥΑΓΓΕΛΟΣ	minister	2015-09-23	2018-08-29	-	-	ΥΠΟΥΡΓΟΣ ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ	-	-	-
GR	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	minister	2015-01-25	2015-01-27	-	-	ΥΠΟΥΡΓΟΣ ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ	-	-	-
GR	ΜΙΧΑΗΛ_ΚΑΛΟΓΗΡΟΥ	minister	2018-08-29	2019-07-09	-	-	ΥΠΟΥΡΓΟΣ ΔΙΚΑΙΟΣΥΝΗΣ ΔΙΑΦΑΝΕΙΑΣ ΚΑΙ ΑΝΘΡΩΠΙΝΩΝ ΔΙΚΑΙΩΜΑΤΩΝ	-	-	-
GR	ΠΕΤΡΟΣ_ΜΟΛΥΒΙΑΤΗΣ	minister	2015-08-28	2015-09-21	-	-	ΥΠΟΥΡΓΟΣ ΕΞΩΤΕΡΙΚΩΝ	-	-	-
GR	ΧΑΤΖΗΔΑΚΗΣ_ΙΩΑΝΝΗ_ΚΩΝΣΤΑΝΤΙΝΟΣ_ΚΩΣΤΗΣ	minister	2019-07-09	2021-01-04	-	-	ΥΠΟΥΡΓΟΣ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ	-	-	-
GR	ΧΑΤΖΗΔΑΚΗΣ_ΙΩΑΝΝΗ_ΚΩΝΣΤΑΝΤΙΝΟΣ_ΚΩΣΤΗΣ	minister	2021-01-04	-	-	-	ΥΠΟΥΡΓΟΣ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ	-	-	-
GR	ΦΛΑΜΠΟΥΡΑΡΗΣ_ΓΕΡΑΣΙΜΟΥ_ΑΛΕΞΑΝΔΡΟΣ	minister	2015-09-23	2019-07-09	-	-	ΥΠΟΥΡΓΟΣ ΕΠΙΚΡΑΤΕΙΑΣ	-	-	-
GR	ΚΑΜΜΕΝΟΣ_ΗΛΙΑ_ΠΑΝΑΓΙΩΤΗΣ_ΠΑΝΟΣ	minister	2015-01-27	2015-08-27	-	-	ΥΠΟΥΡΓΟΣ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ	-	-	-
GR	ΚΑΜΜΕΝΟΣ_ΗΛΙΑ_ΠΑΝΑΓΙΩΤΗΣ_ΠΑΝΟΣ	minister	2015-09-23	2019-01-14	-	-	ΥΠΟΥΡΓΟΣ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ	-	-	-
