Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
LV	AšeradensArvils	minister	2016-11-23	2019-01-10	-	-	-	-	-	-
LV	PetravičaRamona	minister	2019-11-14	2020-11-25	-	-	-	-	-	-
LV	PuntulisNauris	minister	2019-09-26	2022-03-17	-	-	-	-	-	-
LV	ViņķeleIlze	minister	2019-11-14	2020-11-10	-	-	-	-	-	-
LV	Reizniece-OzolaDana	minister	2015-11-30	2019-01-17	-	-	-	-	-	-
LV	StraujumaLaimdota	minister	2014-12-11	2016-01-21	-	-	-	-	-	-
LV	ReirsJānis	minister	2014-12-11	2021-11-23	-	-	-	-	-	-
LV	PavļutsDaniels	minister	2021-03-11	2022-04-21	-	-	-	-	-	-
LV	ŠadurskisKārlis	minister	2016-10-27	2018-11-01	-	-	-	-	-	-
LV	ĢirģensSandis	minister	2019-04-03	2021-03-11	-	-	-	-	-	-
LV	AugulisUldis	minister	2017-11-22	2017-11-22	-	-	-	-	-	-
LV	MuižnieceAnita	minister	2021-10-25	2022-09-29	-	-	-	-	-	-
LV	DūklavsJānis	minister	2017-01-19	2017-09-07	-	-	-	-	-	-
LV	BelēvičsGuntis	minister	2015-04-23	2016-03-03	-	-	-	-	-	-
LV	GolubevaMarija	minister	2021-08-12	2022-03-17	-	-	-	-	-	-
LV	ŠuplinskaIlga	minister	2019-04-03	2021-03-11	-	-	-	-	-	-
LV	GerhardsKaspars	minister	2018-06-20	2022-03-17	-	-	-	-	-	-
LV	EglītisGatis	minister	2021-11-04	2021-11-04	-	-	-	-	-	-
LV	KučinskisMāris	minister	2016-06-16	2019-01-10	-	-	-	-	-	-
LV	ČakšaAnda	minister	2017-03-15	2019-01-17	-	-	-	-	-	-
LV	PabriksArtis	minister	2019-01-24	2022-09-29	-	-	-	-	-	-
LV	BordānsJānis	minister	2019-01-31	2022-06-02	-	-	-	-	-	-
LV	LinkaitsTālis	minister	2019-11-14	2022-09-15	-	-	-	-	-	-
LV	MatīssAnrijs	minister	2014-12-17	2014-12-17	-	-	-	-	-	-
LV	VitenbergsJānis	minister	2020-10-29	2020-11-10	-	-	-	-	-	-
LV	PūceJuris	minister	2019-03-21	2020-06-10	-	-	-	-	-	-
LV	RinkēvičsEdgars	minister	2015-01-22	2022-01-27	-	-	-	-	-	-
LV	KozlovskisRihards	minister	2016-01-21	2016-01-21	-	-	-	-	-	-
LV	KariņšArtursKrišjānis	minister	2019-01-24	2022-05-26	-	-	-	-	-	-
LV	VējonisRaimonds	minister	2015-01-22	2015-01-22	-	-	-	-	-	-
LV	NemiroRalfs	minister	2019-05-23	2020-02-27	-	-	-	-	-	-
LV	BergmanisRaimonds	minister	2015-11-03	2017-12-07	-	-	-	-	-	-
LV	RasnačsDzintars	minister	2015-09-17	2018-06-20	-	-	-	-	-	-
LV	PlešsArtūrsToms	minister	2021-03-11	2022-09-08	-	-	-	-	-	-
LV	MelbārdeDace	minister	2018-11-01	2018-11-01	-	-	-	-	-	-
