ParlaMint_ministers-BA.log:ERROR: Person TurkovićBisera not found in TEI corpus, skipping!
ParlaMint_ministers-BA.log:ERROR: Person OsmićZekerijah not found in TEI corpus, skipping!
ParlaMint_ministers-LV.log:ERROR: Person BrokaBaiba not found in TEI corpus, skipping!
ParlaMint_ministers-LV.log:ERROR: Person SprudžsEdmunds not found in TEI corpus, skipping!
ParlaMint_ministers-LV.log:ERROR: Person CirceneIngrida not found in TEI corpus, skipping!
ParlaMint_ministers-PL.log:ERROR: Person MałgorzataOmilanowska not found in TEI corpus, skipping!
ParlaMint_ministers-PL.log:ERROR: Person LenaKolarskaBobinska not found in TEI corpus, skipping!
ParlaMint_ministers-PL.log:ERROR: Person MateuszSzczurek not found in TEI corpus, skipping!
ParlaMint_ministers-PL.log:ERROR: Person MariaWasiak not found in TEI corpus, skipping!
ParlaMint_ministers-PL.log:ERROR: Person AndrzejBiernat not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person BastaRade not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person TanaskovićJelena not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person ĐedovićDubravka not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person MiščevićTanja not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person GrujičićDanica not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person MartinovićZoran not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person GajićZoran not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person BegovićJelena not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person MemićHusein not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person JovanovićMihailo not found in TEI corpus, skipping!
ParlaMint_ministers-RS.log:ERROR: Person ĐerlekEdin not found in TEI corpus, skipping!
