Country	SpeakerID	Name	Sex
HR	AdamJene	Adam, Jene	M
HR	AdlešičĐurđa	Adlešič, Đurđa	F
HR	AhelIrena	Ahel, Irena	F
HR	AntešićZdenko	Antešić, Zdenko	M
HR	AntičevićMarinovićIngrid	Antičević Marinović, Ingrid	F
HR	AntunovićŽeljka	Antunović, Željka	F
HR	ArapovićFranjo	Arapović, Franjo	M
HR	ArlovićMato	Arlović, Mato	M
HR	BabićPetričevićZdenka	Babić-Petričević, Zdenka	F
HR	BačićStjepan	Bačić, Stjepan	M
HR	BagarićAnto	Bagarić, Anto	M
HR	BagarićIvan	Bagarić, Ivan	M
HR	BajtMarija	Bajt, Marija	F
HR	BanacIvo	Banac, Ivo	M
HR	BebićLuka	Bebić, Luka	M
HR	BekavacMarijan	Bekavac, Marijan	M
HR	BitunjacJure	Bitunjac, Jure	M
HR	BorasFlorijan	Boras, Florijan	M
HR	BošnjakovićDražen	Bošnjaković, Dražen	M
HR	BrdarićLjubica	Brdarić, Ljubica	F
HR	BrnadićMirjana	Brnadić, Mirjana	F
HR	BućanKajo	Bućan, Kajo	M
HR	BukićPerica	Bukić, Perica	M
HR	CaparinKarmela	Caparin, Karmela	F
HR	CrkvenacMato	Crkvenac, Mato	M
HR	ČačijaMiroslav	Čačija, Miroslav	M
HR	ČehokIvan	Čehok, Ivan	M
HR	ČervarLino	Červar, Lino	M
HR	ČikešLucija	Čikeš, Lucija	F
HR	ČuhnilZdenka	Čuhnil, Zdenka	F
HR	ČuljakTomislav	Čuljak, Tomislav	M
HR	ĆosićKrešimir	Ćosić, Krešimir	M
HR	DidovićMirjana	Didović, Mirjana	F
HR	DorićMiljenko	Dorić, Miljenko	M
HR	DrandićValter	Drandić, Valter	M
HR	DrmićIvan	Drmić, Ivan	M
HR	ĐakićJosip	Đakić, Josip	M
HR	ĐapićAnto	Đapić, Anto	M
HR	FerenčakSrećko	Ferenčak, Srećko	M
HR	FilipovićMirko	Filipović, Mirko	M
HR	FiolićStjepan	Fiolić, Stjepan	M
HR	GajicaRatko	Gajica, Ratko	M
HR	GavranMato	Gavran, Mato	M
HR	GlavašBranimir	Glavaš, Branimir	M
HR	HebrangAndrija	Hebrang, Andrija	F
HR	HermanVilim	Herman, Vilim	M
HR	HreljaSilvano	Hrelja, Silvano	M
HR	IvanišNikola	Ivaniš, Nikola	M
HR	IvasRade	Ivas, Rade	M
HR	JandrokovićGordan	Jandroković, Gordan	M
HR	JarnjakIvan	Jarnjak, Ivan	M
HR	JelkovacVlado	Jelkovac, Vlado	M
HR	JosipovićIvo	Josipović, Ivo	M
HR	JukićVlado	Jukić, Vlado	M
HR	JurčićLjubo	Jurčić, Ljubo	M
HR	JurjevićMarin	Jurjević, Marin	M
HR	JurkinIvan	Jurkin, Ivan	M
HR	KajinDamir	Kajin, Damir	M
HR	KapraljevićAntun	Kapraljević, Antun	M
HR	KlemIvica	Klem, Ivica	M
HR	KolarIvan	Kolar, Ivan	M
HR	KoračevićZlatko	Koračević, Zlatko	M
HR	KorenikaMiroslav	Korenika, Miroslav	M
HR	KošišaČičinŠainAlenka	Košiša Čičin-Šain, Alenka	F
HR	KovačevićPero	Kovačević, Pero	M
HR	KozinaStjepan	Kozina, Stjepan	M
HR	KramarićZlatko	Kramarić, Zlatko	M
HR	KurečićVladimir	Kurečić, Vladimir	M
HR	KurtovŽeljko	Kurtov, Željko	M
HR	LalićLjubica	Lalić, Ljubica	F
HR	LedinskiŽeljko	Ledinski, Željko	M
HR	LekoJosip	Leko, Josip	M
HR	LelićRuža	Lelić, Ruža	F
HR	LeticaSlaven	Letica, Slaven	M
HR	LinićSlavko	Linić, Slavko	M
HR	LončarIvo	Lončar, Ivo	M
HR	LučinŠime	Lučin, Šime	M
HR	LugarićMarija	Lugarić, Marija	F
HR	MajdenićNevenka	Majdenić, Nevenka	F
HR	MakNikola	Mak, Nikola	M
HR	MaltarZdravko	Maltar, Zdravko	M
HR	MarasovićJakša	Marasović, Jakša	M
HR	MarkovAnte	Markov, Ante	M
HR	MarkovinovićKrunoslav	Markovinović, Krunoslav	M
HR	MartićJagoda	Martić, Jagoda	F
HR	MatušićFrano	Matušić, Frano	M
HR	MedenMilan	Meden, Milan	M
HR	MilinovićDarko	Milinović, Darko	M
HR	MimicaNeven	Mimica, Neven	M
HR	MlinarićPetar	Mlinarić, Petar	M
HR	MršićZvonimir	Mršić, Zvonimir	M
HR	NenadićŽeljko	Nenadić, Željko	M
HR	NenadićŽivko	Nenadić, Živko	M
HR	OpačićMilanka	Opačić, Milanka	F
HR	PančićIvica	Pančić, Ivica	M
HR	PankretićBožidar	Pankretić, Božidar	M
HR	PaseckyBranimir	Pasecky, Branimir	M
HR	PavičićVukičevićJelena	Pavičić-Vukičević, Jelena	F
HR	PavlicŽeljko	Pavlic, Željko	M
HR	PecekŽeljko	Pecek, Željko	M
HR	PermanBiserka	Perman, Biserka	F
HR	PeronjaKruno	Peronja, Kruno	M
HR	PeruškoAnton	Peruško, Anton	M
HR	PešićBukovacDorotea	Pešić-Bukovac, Dorotea	F
HR	PiculaTonino	Picula, Tonino	M
HR	PlešaVelimir	Pleša, Velimir	M
HR	PoropatValter	Poropat, Valter	M
HR	PosavecKrivecIvana	Posavec Krivec, Ivana	F
HR	PrtenjačaŠime	Prtenjača, Šime	M
HR	PuklešDragutin	Pukleš, Dragutin	M
HR	PupovacMilorad	Pupovac, Milorad	M
HR	PusićVesna	Pusić, Vesna	F
HR	RadinFurio	Radin, Furio	M
HR	RadošJozo	Radoš, Jozo	M
HR	RebićNiko	Rebić, Niko	M
HR	RoićLuka	Roić, Luka	M
HR	RoksandićIvanka	Roksandić, Ivanka	F
HR	RožićMiroslav	Rožić, Miroslav	M
HR	SabatiZvonimir	Sabati, Zvonimir	M
HR	SelemPetar	Selem, Petar	M
HR	SesvečanDamir	Sesvečan, Damir	M
HR	SobolGordana	Sobol, Gordana	F
HR	SočkovićZdravko	Sočković, Zdravko	M
HR	SopčićNikola	Sopčić, Nikola	M
HR	StanimirovićVojislav	Stanimirović, Vojislav	M
HR	StazićNenad	Stazić, Nenad	M
HR	SučecTrakoštanecIvana	Sučec-Trakoštanec, Ivana	F
HR	ŠeksVladimir	Šeks, Vladimir	M
HR	ŠiracMarko	Širac, Marko	M
HR	ŠišljagićVladimir	Šišljagić, Vladimir	M
