Country	SpeakerID	Name	Sex
LV	AbuMeriHosams1974	Abu Meri, Hosams	M
LV	AdamovičsAldis	Adamovičs, Aldis	M
LV	AgešinsValērijs	Agešins, Valērijs	M
LV	AizstrautaInese	Aizstrauta, Inese	F
LV	AkuratereIeva	Akuratere, Ieva	F
LV	ArnītisRingolds	Arnītis, Ringolds	M
LV	AugulisUldis	Augulis, Uldis	M
LV	AšeradensArvils	Ašeradens, Arvils	M
LV	BalodisRingolds	Balodis, Ringolds	M
LV	BarčaAija	Barča, Aija	F
LV	BaumaneKrista	Baumane, Krista	F
LV	BašķisAinars	Bašķis, Ainars	M
LV	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F
LV	BelēvičsGuntis	Belēvičs, Guntis	M
LV	Benhena-BēkenaIveta	Benhena-Bēkena, Iveta	F
LV	BergmanisRaimonds	Bergmanis, Raimonds	M
LV	BerkovsDžons	Berkovs, Džons	M
LV	BikšeAigars	Bikše, Aigars	M
LV	BiteInga	Bite, Inga	F
LV	BlumbergsAldis	Blumbergs, Aldis	M
LV	BluķeDace	Bluķe, Dace	F
LV	BondarsMārtiņš	Bondars, Mārtiņš	M
LV	BordānsJānis	Bordāns, Jānis	M
LV	BoķisInesis	Boķis, Inesis	M
LV	BrigmanisAugusts	Brigmanis, Augusts	M
LV	BrīversIvars	Brīvers, Ivars	M
LV	BudriķisUldis	Budriķis, Uldis	M
LV	BuiķisAndris	Buiķis, Andris	M
LV	ButānsJānis	Butāns, Jānis	M
LV	BērziņšAndris	Bērziņš, Andris	M
LV	BērziņšAndris1955	Bērziņš, Andris	M
LV	BērziņšGaidis	Bērziņš, Gaidis	M
LV	BļodnieceBaiba	Bļodniece, Baiba	F
LV	CielēnsJānis	Cielēns, Jānis	M
LV	CilevičsBoriss	Cilevičs, Boriss	M
LV	CilinskisEinārs	Cilinskis, Einārs	M
LV	DambeValters	Dambe, Valters	M
LV	DaudzeGundars	Daudze, Gundars	M
LV	DolgopolovsSergejs	Dolgopolovs, Sergejs	M
LV	DombravaJānis	Dombrava, Jānis	M
LV	DombrovskisVjačeslavs	Dombrovskis, Vjačeslavs	M
LV	DzintarsRaivis	Dzintars, Raivis	M
LV	DālderisInts	Dālderis, Ints	M
LV	DūklavsJānis	Dūklavs, Jānis	M
LV	DūrītisIlmārs	Dūrītis, Ilmārs	M
LV	EglītisGatis	Eglītis, Gatis	M
LV	EglītsJānis	Eglīts, Jānis	M
LV	EigimsRihards	Eigims, Rihards	M
LV	ElksniņšAndrejs	Elksniņš, Andrejs	M
LV	FeldmansKrišjānis	Feldmans, Krišjānis	M
LV	FērijsDžordžs	Fērijs, Džordžs	M
LV	GeidānsAivars	Geidāns, Aivars	M
LV	GerhardsKaspars	Gerhards, Kaspars	M
LV	GobzemsAldis	Gobzems, Aldis	M
LV	GoldbergaInga	Goldberga, Inga	F
LV	GolubevaMarija	Golubeva, Marija	F
LV	GraužiņieneLoreta	Graužiņiene, Loreta	F
LV	GudfinsonsEinars	Gudfinsons, Einars	M
LV	GustovskisArtis	Gustovskis, Artis	M
LV	Hadsona-DīnaŠarona	Hadsona-Dīna, Šarona	F
LV	HarjuAstrīda	Harju, Astrīda	F
LV	IesalnieksJānis	Iesalnieks, Jānis	M
LV	IkstenaInese	Ikstena, Inese	F
LV	IndriksoneIlze	Indriksone, Ilze	F
LV	IrklisRolands	Irklis, Rolands	M
LV	Ivanova-JevsejevaMarjana	Ivanova-Jevsejeva, Marjana	F
LV	JakimovsAleksandrs	Jakimovs, Aleksandrs	M
LV	JalinskaJanīna	Jalinska, Janīna	F
LV	JansonsJuris	Jansons, Juris	M
LV	JansonsRitvars	Jansons, Ritvars	M
LV	JudinsAndrejs	Judins, Andrejs	M
LV	JunkursJānis	Junkurs, Jānis	M
LV	JurašsJuris	Jurašs, Juris	M
LV	KabanovsNikolajs	Kabanovs, Nikolajs	M
LV	KaimiņšArtuss	Kaimiņš, Artuss	M
LV	Kalniņa-LukaševicaZanda	Kalniņa-Lukaševica, Zanda	F
LV	KalniņšGuntis	Kalniņš, Guntis	M
LV	KalniņšOjārsĒriks	Kalniņš, Ojārs Ēriks	M
LV	KalnozolsValdis	Kalnozols, Valdis	M
LV	KariņšArtursKrišjānis	Kariņš, Arturs Krišjānis	M
LV	KazinovskisAndris	Kazinovskis, Andris	M
LV	KiršteinsAleksandrs	Kiršteins, Aleksandrs	M
LV	KlaužsJānis	Klaužs, Jānis	M
LV	KleinbergaNellija	Kleinberga, Nellija	F
LV	KlementjevsAndrejs	Klementjevs, Andrejs	M
LV	KlementjevsIvans	Klementjevs, Ivans	M
LV	KolsRihards	Kols, Rihards	M
LV	KozlovskaLīga	Kozlovska, Līga	F
LV	KozlovskisRihards	Kozlovskis, Rihards	M
LV	KrapāneIeva	Krapāne, Ieva	F
LV	KrauzeArmands	Krauze, Armands	M
LV	KreituseLīva	Kreituse, Līva	F
LV	KrišānsJānis	Krišāns, Jānis	M
LV	KronbergsEdgars	Kronbergs, Edgars	M
LV	KrēsliņšKārlis	Krēsliņš, Kārlis	M
LV	KrūmiņaElita	Krūmiņa, Elita	F
LV	KrūmiņšVaris	Krūmiņš, Varis	M
LV	KucinsEdgars	Kucins, Edgars	M
LV	Kursīte-PakuleJanīna	Kursīte-Pakule, Janīna	F
LV	KursīteJanīna	Kursīte, Janīna	F
LV	KučinskisMāris	Kučinskis, Māris	M
LV	KļaviņšAskolds	Kļaviņš, Askolds	M
LV	KūtrisGunārs	Kūtris, Gunārs	M
LV	LaizāneInese	Laizāne, Inese	F
LV	LatkovskisAinars	Latkovskis, Ainars	M
LV	LatkovskisIlmārs	Latkovskis, Ilmārs	M
LV	LazarevaJeļena	Lazareva, Jeļena	F
LV	LejiņšAtis	Lejiņš, Atis	M
LV	LevitsEgils	Levits, Egils	M
LV	LiepiņaLiene	Liepiņa, Liene	F
LV	LiepiņšDainis	Liepiņš, Dainis	M
LV	LiepkalnsViesturs	Liepkalns, Viesturs	M
LV	LinkaitsTālis	Linkaits, Tālis	M
LV	LoskutovsAleksejs	Loskutovs, Aleksejs	M
LV	Ločmele-LuņovaRegīna	Ločmele-Luņova, Regīna	F
LV	LočmeleRegīna	Ločmele, Regīna	F
LV	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F
LV	LīdakaIngmārs	Līdaka, Ingmārs	M
LV	MatīssAnrijs	Matīss, Anrijs	M
LV	MedneLinda	Medne, Linda	F
LV	MeijaAivars	Meija, Aivars	M
LV	MelbārdeDace	Melbārde, Dace	F
LV	MelgailisRihards	Melgailis, Rihards	M
LV	MetsolaRoberta	Metsola, Roberta	F
LV	MežeckisRomāns	Mežeckis, Romāns	M
LV	MežulisAinārs	Mežulis, Ainārs	M
LV	MiezainisJurģis	Miezainis, Jurģis	M
LV	MiloslavskisRomans	Miloslavskis, Romans	M
LV	MirskisSergejs	Mirskis, Sergejs	M
LV	MičerevskisMāris	Mičerevskis, Māris	M
LV	MorozovsAndris	Morozovs, Andris	M
LV	MožvilloMāris	Možvillo, Māris	M
LV	MuižnieceAnita	Muižniece, Anita	F
LV	MārtužaEva	Mārtuža, Eva	F
LV	MūrnieceInāra	Mūrniece, Ināra	F
LV	NaudiņšRomāns	Naudiņš, Romāns	M
LV	NemiroRalfs	Nemiro, Ralfs	M
LV	NestorsEiki	Nestors, Eiki	M
LV	NikonovsVladimirs	Nikonovs, Vladimirs	M
LV	NorlēnsAndreass	Norlēns, Andreass	M
LV	OrlovsVitālijs	Orlovs, Vitālijs	M
LV	OzolaLinda	Ozola, Linda	F
LV	PabriksArtis	Pabriks, Artis	M
LV	PanteļējevsAndrejs	Panteļējevs, Andrejs	M
LV	PapuleEvija	Papule, Evija	F
LV	ParādnieksImants	Parādnieks, Imants	M
LV	PavļutsDaniels	Pavļuts, Daniels	M
LV	PetravičaRamona	Petraviča, Ramona	F
LV	PimenovsIgors	Pimenovs, Igors	M
LV	PlatpersArvīds	Platpers, Arvīds	M
LV	PlešsArtūrsToms	Plešs, Artūrs Toms	M
LV	PotapkinsSergejs	Potapkins, Sergejs	M
LV	PucensĒriks	Pucens, Ēriks	M
LV	PugaIvars	Puga, Ivars	M
LV	PuntulisNauris	Puntulis, Nauris	M
LV	PutniņšRenārs	Putniņš, Renārs	M
LV	PutraEdgars	Putra, Edgars	M
LV	PūceJuris	Pūce, Juris	M
LV	RancānsJuris	Rancāns, Juris	M
LV	RasmanisArtis	Rasmanis, Artis	M
LV	RasnačsDzintars	Rasnačs, Dzintars	M
LV	RažuksRomualds	Ražuks, Romualds	M
LV	ReirsJānis	Reirs, Jānis	M
LV	Reizniece-OzolaDana	Reizniece-Ozola, Dana	F
LV	RibakovsIvans	Ribakovs, Ivans	M
LV	RiekstiņšSandis	Riekstiņš, Sandis	M
LV	RinkēvičsEdgars	Rinkēvičs, Edgars	M
LV	RubiksArtūrs	Rubiks, Artūrs	M
LV	RubiksRaimonds	Rubiks, Raimonds	M
LV	RuksJānis	Ruks, Jānis	M
LV	Rukšāne-ŠčipčinskaDace	Rukšāne-Ščipčinska, Dace	F
LV	RusiņšGunārs	Rusiņš, Gunārs	M
LV	RībenaInguna	Rībena, Inguna	F
LV	SeržantsKārlis	Seržants, Kārlis	M
LV	SiliņaEvika	Siliņa, Evika	F
LV	SiliņšAndris	Siliņš, Andris	M
LV	SkrideAndris	Skride, Andris	M
LV	SkujiņšValdis	Skujiņš, Valdis	M
LV	SmiltēnsEdvards	Smiltēns, Edvards	M
LV	SpolītisVeiko	Spolītis, Veiko	M
LV	SprūdeKarina	Sprūde, Karina	F
LV	StaķisMārtiņš	Staķis, Mārtiņš	M
LV	StefančuksRuslans	Stefančuks, Ruslans	M
LV	StepaņenkoJūlija	Stepaņenko, Jūlija	F
LV	StraujumaLaimdota	Straujuma, Laimdota	F
LV	StrīķeJuta	Strīķe, Juta	F
LV	SudrabaInguna	Sudraba, Inguna	F
LV	TavarsEdgars	Tavars, Edgars	M
LV	TeirumnieksEdmunds	Teirumnieks, Edmunds	M
LV	TretjakaZenta	Tretjaka, Zenta	F
LV	TrupovnieksJānis	Trupovnieks, Jānis	M
LV	TutinsJānis	Tutins, Jānis	M
LV	TēraudaVitaAnda	Tērauda, Vita Anda	F
LV	UlmeArvīds	Ulme, Arvīds	M
LV	UpenieksJānis	Upenieks, Jānis	M
LV	UrbanovičsJānis	Urbanovičs, Jānis	M
LV	ValainisViktors	Valainis, Viktors	M
LV	VectirānsJuris	Vectirāns, Juris	M
LV	VilciņšAinārs	Vilciņš, Ainārs	M
LV	VilksAndris	Vilks, Andris	M
LV	VitenbergsJānis	Vitenbergs, Jānis	M
LV	ViļumsJuris	Viļums, Juris	M
LV	ViņķeleIlze	Viņķele, Ilze	F
LV	VoikaInese	Voika, Inese	F
LV	VucānsJānis	Vucāns, Jānis	M
LV	VējonisRaimonds	Vējonis, Raimonds	M
LV	VītolsAndris	Vītols, Andris	M
LV	ZakatistovsAtis	Zakatistovs, Atis	M
LV	ZamursGatis	Zamurs, Gatis	M
LV	ZariņšIvars	Zariņš, Ivars	M
LV	ZaķisDzintars	Zaķis, Dzintars	M
LV	ZelenskisVolodimirs	Zelenskis, Volodimirs	M
LV	ZemļinskisMihails	Zemļinskis, Mihails	M
LV	ZnotiņšReinis	Znotiņš, Reinis	M
LV	ZujevsIgors	Zujevs, Igors	M
LV	Zālīte-GrosaEvita	Zālīte-Grosa, Evita	F
LV	ĀboltiņaSolvita	Āboltiņa, Solvita	F
LV	ĀdamsonsJānis	Ādamsons, Jānis	M
LV	ČakšaAnda	Čakša, Anda	F
LV	ČigāneLolita	Čigāne, Lolita	F
LV	ĢirģensKaspars	Ģirģens, Kaspars	M
LV	ĢirģensSandis	Ģirģens, Sandis	M
