Country	SpeakerID	Name	Sex
RS	AbdAli	Abd, Ali	-
RS	AckovićDragoljub	Acković, Dragoljub	M
RS	AderJanoš	Ader, Janoš	-
RS	AdžemovićNevena	Adžemović, Nevena	F
RS	AdžićSlobodan	Adžić, Slobodan	M
RS	AgatonovićBorjan	Agatonović, Borjan	M
RS	AgramuntPedro	Agramunt, Pedro	-
RS	AhmetiRamadan	Ahmeti, Ramadan	M
RS	AksentijevićDanka	Aksentijević, Danka	-
RS	AksentijevićSiniša	Aksentijević, Siniša	M
RS	AlavanjaSlobodan	Alavanja, Slobodan	M
RS	AlbijanićMiloljub	Albijanić, Miloljub	M
RS	AleksićBojana	Aleksić, Bojana	F
RS	AleksićBoris	Aleksić, Boris	M
RS	AleksićDragan	Aleksić, Dragan	M
RS	AleksićGradimir	Aleksić, Gradimir	M
RS	AleksićIrena	Aleksić, Irena	F
RS	AleksićMiroslav	Aleksić, Miroslav	M
RS	AleksićZagorka	Aleksić, Zagorka	F
RS	AligrudićMiloš	Aligrudić, Miloš	M
RS	AlimpićZoran	Alimpić, Zoran	M
RS	AnastasovAdriana	Anastasov, Adriana	F
RS	AnastasovskiDragoljub	Anastasovski, Dragoljub	M
RS	AnatoljevičMedvedevDmitrij	Anatoljevič Medvedev, Dmitrij	-
RS	AndrejevićDejan	Andrejević, Dejan	M
RS	AndrićDragan	Andrić, Dragan	M
RS	AndrićIvan	Andrić, Ivan	M
RS	AndrićMilena	Andrić, Milena	F
RS	AndrićMirjana	Andrić, Mirjana	F
RS	AndrićSvetozar	Andrić, Svetozar	M
RS	AndrićVladimir	Andrić, Vladimir	M
RS	AntićAleksandar	Antić, Aleksandar	M
RS	AntićOliver	Antić, Oliver	-
RS	AntićZoran	Antić, Zoran	M
RS	AntonBiači	Anton, Biači	-
RS	AntonijevićVladimir	Antonijević, Vladimir	-
RS	AntonijevićVuko	Antonijević, Vuko	M
RS	AnđelkovićDušica	Anđelković, Dušica	F
RS	AnđelkovićZoran	Anđelković, Zoran	M
RS	AnđelkovićZoranM	Anđelković, Zoran M.	M
RS	AranđelovićMarija	Aranđelović, Marija	-
RS	ArežinaRadovan	Arežina, Radovan	M
RS	ArnerićNeda	Arnerić, Neda	M
RS	ArsenovićKonstantin	Arsenović, Konstantin	M
RS	ArsićJoca	Arsić, Joca	M
RS	ArsićTihomir	Arsić, Tihomir	M
RS	ArsićVeroljub	Arsić, Veroljub	M
RS	AtanackovićNebojša	Atanacković, Nebojša	M
RS	AtanackovićNebojšaBoban	Atanacković, Nebojša-Boban	M
RS	AtanaskovićAnđelka	Atanasković, Anđelka	-
RS	AtilaJuhas	Atila, Juhas	-
RS	AtlagićMarko	Atlagić, Marko	M
RS	AvramovAndrijana	Avramov, Andrijana	M
RS	AvramovMita	Avramov, Mita	M
RS	AvramovićDragan	Avramović, Dragan	M
RS	AvramovićMilan	Avramović, Milan	M
RS	AćimovićDragan	Aćimović, Dragan	M
RS	BabićDragoš	Babić, Dragoš	M
RS	BabićTatjana	Babić, Tatjana	-
RS	BabićVlado	Babić, Vlado	M
RS	BabićZoran	Babić, Zoran	M
RS	BabovićJovan	Babović, Jovan	-
RS	BajatovićDušan	Bajatović, Dušan	M
RS	BajićRade	Bajić, Rade	M
RS	BajovićSnežana	Bajović, Snežana	F
RS	BajramiArđend	Bajrami, Arđend	M
RS	BajčetićPredrag	Bajčetić, Predrag	M
RS	BajčetićRade	Bajčetić, Rade	M
RS	BakarecNebojša	Bakarec, Nebojša	M
RS	BakovićTatomir	Baković, Tatomir	M
RS	BalinovacZoran	Balinovac, Zoran	-
RS	BanacGrozdana	Banac, Grozdana	F
RS	BanovićDonka	Banović, Donka	F
RS	BančevićBranka	Bančević, Branka	-
RS	BanđurMiloš	Banđur, Miloš	M
RS	BaralićRajko	Baralić, Rajko	M
RS	BaraćMilun	Barać, Milun	M
RS	BarišićDragana	Barišić, Dragana	F
RS	BarošNenad	Baroš, Nenad	M
RS	BatakovićDušan	Bataković, Dušan	-
RS	BatićOlgica	Batić, Olgica	F
RS	BatićVladan	Batić, Vladan	M
RS	BauerIvan	Bauer, Ivan	M
RS	BačevacMuamer	Bačevac, Muamer	M
RS	BačevićMilan	Bačević, Milan	M
RS	BađevićVlastimir	Bađević, Vlastimir	-
RS	BelačićAleksandra	Belačić, Aleksandra	F
RS	BelićMilorad	Belić, Milorad	M
RS	BeloicaAna	Beloica, Ana	F
RS	BeretićAnita	Beretić, Anita	F
RS	BerićNebojša	Berić, Nebojša	M
RS	BeronjaLjiljana	Beronja, Ljiljana	F
RS	BesarovićVesna	Besarović, Vesna	F
RS	BećiriNadije	Bećiri, Nadije	F
RS	BečićIgor	Bečić, Igor	M
RS	BeševićBranko	Bešević, Branko	M
RS	BiačiAnton	Biači, Anton	M
RS	BiljićVojin	Biljić, Vojin	-
RS	BinićDragiša	Binić, Dragiša	M
RS	BirmančevićBoban	Birmančević, Boban	M
RS	BićaninMilena	Bićanin, Milena	F
RS	BjelobabaĐurđina	Bjelobaba, Đurđina	-
RS	BjelogrlićSnežana	Bjelogrlić, Snežana	-
RS	BlagojevićMarko	Blagojević, Marko	M
RS	BlažićBranislav	Blažić, Branislav	M
RS	BlažićMilovan	Blažić, Milovan	M
RS	BlečićMarija	Blečić, Marija	F
RS	BogaroškiBranislav	Bogaroški, Branislav	-
RS	BogatinovićŽarko	Bogatinović, Žarko	M
RS	BogdanovićGoran	Bogdanović, Goran	M
RS	BogdanovićMarko	Bogdanović, Marko	M
RS	BogdanovićNenad	Bogdanović, Nenad	M
RS	BogosavljevićBoškovićSnežana	Bogosavljević-Bošković, Snežana	F
RS	BojanićZoran	Bojanić, Zoran	M
RS	BojićDubravko	Bojić, Dubravko	M
RS	BojićMilovan	Bojić, Milovan	M
RS	BorkovićDušan	Borković, Dušan	M
RS	BorovićBorivoje	Borović, Borivoje	M
RS	BortićZoran	Bortić, Zoran	M
RS	BozaloDragan	Bozalo, Dragan	M
RS	BoškovićDragoslav	Bošković, Dragoslav	M
RS	BoškovićMiloš	Bošković, Miloš	M
RS	BoškovićMladen	Bošković, Mladen	M
RS	BoškovićZoran	Bošković, Zoran	M
RS	BošnjakBranka	Bošnjak, Branka	F
RS	BožanićBojana	Božanić, Bojana	F
RS	BožićMilan	Božić, Milan	M
RS	BožićNenad	Božić, Nenad	M
RS	BožićSandra	Božić, Sandra	F
RS	BožićTalijanElena	Božić-Talijan, Elena	F
RS	BožovićBalša	Božović, Balša	M
RS	BožovićDragoslav	Božović, Dragoslav	M
RS	BožovićStana	Božović, Stana	F
RS	BradićBlagoje	Bradić, Blagoje	M
RS	BradićNebojša	Bradić, Nebojša	-
RS	BrajovićVojislav	Brajović, Vojislav	-
RS	BrankovićDragana	Branković, Dragana	F
RS	BraserAn	Braser, An	-
RS	BrestovačkiŽeljko	Brestovački, Željko	M
RS	BrnabićAna	Brnabić, Ana	-
RS	BrozJosip	Broz, Josip	M
RS	BubaloPredrag	Bubalo, Predrag	-
RS	BudimirMilana	Budimir, Milana	F
RS	BudimirovićBidžaDobrivoje	Budimirović – Bidža, Dobrivoje	M
RS	BudimirovićDobrivoje	Budimirović, Dobrivoje	M
RS	BudimirovićJelena	Budimirović, Jelena	F
RS	BudimovićVlastimir	Budimović, Vlastimir	M
RS	BudićZvonimir	Budić, Zvonimir	M
RS	BudišinDušan	Budišin, Dušan	M
RS	BugarčićMarija	Bugarčić, Marija	F
RS	BuhaMilorad	Buha, Milorad	M
RS	BuhaMiroslav	Buha, Miroslav	-
RS	BukvićDanica	Bukvić, Danica	F
RS	BukvićRadojle	Bukvić, Radojle	M
RS	BulajićSvetislava	Bulajić, Svetislava	M
RS	BulatovićSlaviša	Bulatović, Slaviša	M
RS	BursaćBoris	Bursać, Boris	M
RS	BuzekJirži	Buzek, Jirži	-
RS	BuđanovčaninSiniša	Buđanovčanin, Siniša	M
RS	BušetićToma	Bušetić, Toma	M
RS	CekićNenad	Cekić, Nenad	-
RS	CimešaDragomir	Cimeša, Dragomir	M
RS	CokićRadoslav	Cokić, Radoslav	M
RS	ColićMomčilo	Colić, Momčilo	M
RS	CvetanovićGoran	Cvetanović, Goran	M
RS	CvetanovićMilorad	Cvetanović, Milorad	M
RS	CvetićaninNeven	Cvetićanin, Neven	M
RS	CvetkovićDušan	Cvetković, Dušan	M
RS	CvetkovićMirko	Cvetković, Mirko	M
RS	CvetkovićPetar	Cvetković, Petar	M
RS	CvetkovićStojan	Cvetković, Stojan	M
RS	CvetkovićŽivota	Cvetković, Života	M
RS	CvijanVladimir	Cvijan, Vladimir	M
RS	DabićĐorđe	Dabić, Đorđe	M
RS	DacinŽivodarka	Dacin, Živodarka	F
RS	DajaJovan	Daja, Jovan	M
RS	DamjanovićDejan	Damjanović, Dejan	-
RS	DamjanovićJovan	Damjanović, Jovan	M
RS	DamjanovićMiljan	Damjanović, Miljan	M
RS	DamnjanovićDragi	Damnjanović, Dragi	M
RS	DanilovićMarko	Danilović, Marko	-
RS	DankAndrej	Dank, Andrej	-
RS	DavidovacTijana	Davidovac, Tijana	F
RS	DavidovićGoran	Davidović, Goran	M
RS	DavidovićLjubivoje	Davidović, Ljubivoje	M
RS	DazdarevićSabina	Dazdarević, Sabina	F
RS	DačićIvica	Dačić, Ivica	M
RS	DačićMilica	Dačić, Milica	F
RS	DelevićMilica	Delević, Milica	F
RS	DelibašićZorana	Delibašić, Zorana	-
RS	DelićBožidar	Delić, Božidar	M
RS	DeretaMiljenko	Dereta, Miljenko	M
RS	DeretićJovan	Deretić, Jovan	M
RS	DespotovićZoran	Despotović, Zoran	M
RS	DeđanskiStevica	Deđanski, Stevica	M
RS	DeđiangDžang	Deđiang, Džang	-
RS	DimitrijevićBojan	Dimitrijević, Bojan	-
RS	DimitrijevićLidija	Dimitrijević, Lidija	F
RS	DimitrijevićMilan	Dimitrijević, Milan	M
RS	DimitrijevićMilić	Dimitrijević, Milić	M
RS	DimitrijevićNinoslav	Dimitrijević, Ninoslav	M
RS	DimitrijuAnita	Dimitriju, Anita	-
RS	DimitrovVladica	Dimitrov, Vladica	M
RS	DimićDragan	Dimić, Dragan	M
RS	DinićIvana	Dinić, Ivana	F
RS	DinićVoja	Dinić, Voja	M
RS	DinkićMlađan	Dinkić, Mlađan	M
RS	DinčićVuk	Dinčić, Vuk	M
RS	DizdarevićFaruk	Dizdarević, Faruk	M
RS	DišićMiloš	Dišić, Miloš	M
RS	DišićMiodrag	Dišić, Miodrag	M
RS	DmitrovićRadomir	Dmitrović, Radomir	M
RS	DobrićDobrosav	Dobrić, Dobrosav	M
RS	DobrosavljevićVladimir	Dobrosavljević, Vladimir	M
RS	DolovacZagorka	Dolovac, Zagorka	-
RS	DomazetDragan	Domazet, Dragan	-
RS	DotorovićDragan	Dotorović, Dragan	-
RS	DragašMirjana	Dragaš, Mirjana	F
RS	DraginSaša	Dragin, Saša	-
RS	DragišićStevo	Dragišić, Stevo	M
RS	DragišićZoran	Dragišić, Zoran	M
RS	DragojevićHelijana	Dragojević, Helijana	F
RS	DragojevićSrđan	Dragojević, Srđan	M
RS	DragosavljevićZlatko	Dragosavljević, Zlatko	M
RS	DragutinovićDiana	Dragutinović, Diana	-
RS	DrakulovićBorivoje	Drakulović, Borivoje	M
RS	DramlićMiroslav	Dramlić, Miroslav	M
RS	DrecunMilovan	Drecun, Milovan	M
RS	DrinjakovićDušan	Drinjaković, Dušan	M
RS	DronjakMilica	Dronjak, Milica	F
RS	DujovićSaša	Dujović, Saša	M
RS	DukićMilorad	Dukić, Milorad	M
RS	DulićMarkovićIvana	Dulić Marković, Ivana	-
RS	DulićOliver	Dulić, Oliver	M
RS	DumbelovićČedo	Dumbelović, Čedo	M
RS	DunjićGoran	Dunjić, Goran	M
RS	DunjićMilomir	Dunjić, Milomir	M
RS	DuvnjakMomčilo	Duvnjak, Momčilo	M
RS	DžamićSrboljub	Džamić, Srboljub	M
RS	DžudževićEsad	Džudžević, Esad	M
RS	EkresRozalija	Ekres, Rozalija	F
RS	ElfićEmir	Elfić, Emir	M
RS	ErićNinoslav	Erić, Ninoslav	M
RS	ErnjakovićMilan	Ernjaković, Milan	M
RS	EštonKetrin	Ešton, Ketrin	-
RS	FaTomićJovana	Fa Tomić, Jovana	F
RS	FehratovićJahja	Fehratović, Jahja	M
RS	FilaToma	Fila, Toma	M
RS	FileŠtefan	File, Štefan	-
RS	FilipovPredrag	Filipov, Predrag	-
RS	FilipovićAna	Filipović, Ana	F
RS	FilipovićNenad	Filipović, Nenad	M
RS	FilipovićSrbislav	Filipović, Srbislav	M
RS	FilipovskiDubravka	Filipovski, Dubravka	F
RS	FremondArpad	Fremond, Arpad	M
RS	FremondÁrpád	Fremond, Árpád	M
RS	GajevićGorica	Gajević, Gorica	F
RS	GajićAleksandar	Gajić, Aleksandar	-
RS	GajićGordana	Gajić, Gordana	F
RS	GajićGorica	Gajić, Gorica	F
RS	GalgoFerenciAndrea	Galgo-Ferenci, Andrea	F
RS	GarčevićVladimir	Garčević, Vladimir	M
