Country	SpeakerID	Name	Sex
ES-PV	AburtoRike	Aburto Rike, Juan María	M
ES-PV	AgirreGaritaonandia	Agirre Garitaonandia, Jasone	F
ES-PV	AgirreLópez	Agirre Lóopez, Xabier	M
ES-PV	AgirreMunoa	Agirre Muñoa, Amaia	F
ES-PV	AgirrezabalaMantxola	Agirrezabala Mantxola, Juanjo	M
ES-PV	AguirreArizmendi	Aguirre Arizmendi, Iñaki	M
ES-PV	AiartzaZallo	Aiartza Zallo, Jon	M
ES-PV	AldaiturriagaZorrozua	Aldaiturriaga Zorrozua, Norberto	M
ES-PV	AldasoroIturbe	Aldasoro Iturbe, Aitor	M
ES-PV	AlonsoAranegui	Alonso Aranegui, Alfonso	M
ES-PV	AlonsoMartín	Alonso Martín, Alberto	M
ES-PV	AnduezaLorenzo	Andueza Lorenzo, Eneko	M
ES-PV	AnguloGarcía	Angulo García, Gustavo	M
ES-PV	AnsotegiElordi	Ansotegi Elordi, Fatima	F
ES-PV	AranaVaras	Arana Varas, Eukene	F
ES-PV	AresTaboada	Ares Taboada, Rodolfo	M
ES-PV	Arieta-AraunabenaIbarzabal	Arieta-Araunabeña Ibarzabal, Juan Antonio	M
ES-PV	ArraizBarbadillo	Arraiz Barbadillo, Hasier	M
ES-PV	ArregiRomarate	Arregi Romarate, Amaia	F
ES-PV	ArreseOtegi	Arrese Otegi, Ikoitz	M
ES-PV	ArriolaLópez	Arriola López, Iñaki	M
ES-PV	ArrizabalagaArruza	Arrizabalaga Arruza, Leixuri	F
ES-PV	ArrizabalagaOlaizola	Arrizabalaga Olaizola, María Eugenia	F
ES-PV	ArrondoAldasoro	Arrondo Aldasoro, Belen	F
ES-PV	ArruabarrenaAzpitarte	Arruabarrena Azpitarte, Mikel	M
ES-PV	ArtolazabalAlbeniz	Artolazabal Albeniz, Beatriz	F
ES-PV	ArzuagaGumuzio	Arzuaga Gumuzio, Julen	M
ES-PV	AtutxaSainz	Atutxa Sainz, Jon Andoni	M
ES-PV	AurrekoetxeaBilbao	Aurrekoetxea Bilbao, Arantza	F
ES-PV	AzkueManterola	Azkue Manterola, Jon	M
ES-PV	AzpiazuUriarte	Azpiazu Uriarte, Pedro	M
ES-PV	BarrioBaroja	Barrio Baroja, Carmelo	M
ES-PV	BasagoitiPastor	Basagoiti Pastor, Antonio	M
ES-PV	BecerraCarollo	Becerra Carollo, Jose Ramon	M
ES-PV	BeitialarrangoitiaLizarralde	Beitialarrangoitia Lizarralde, Maria Angeles	F
ES-PV	BeltrándeHerediaArroniz	Beltrán de Heredia Arroniz, Estefania	F
ES-PV	BerasaluzeLazkano	Berasaluze Lazkano, Irune	F
ES-PV	BerriozabalBóveda	Berriozabal Bóveda, Jone	F
ES-PV	BerrojalbizZabala	Berrojalbiz Zabala, Itxaso	F
ES-PV	BetolazaSanMiguel	Betolaza San Miguel, Amaia	F
ES-PV	BidegurenGabantxo	Bideguren Gabantxo, Idurre	F
