Country	SpeakerID	Name	Sex
GR	FRANÇOIS_HOLLANDE	HOLLANDE, FRANÇOIS	M
GR	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	ΑΒΔΕΛΑΣ, ΑΠΟΣΤΟΛΟΣ	M
GR	ΑΒΡΑΜΑΚΗΣ_ΑΝΤΩΝΙΟΥ_ΕΛΕΥΘΕΡΙΟΣ	ΑΒΡΑΜΑΚΗΣ, ΕΛΕΥΘΕΡΙΟΣ	M
GR	ΑΓΑΘΟΠΟΥΛΟΥ_ΔΗΜΗΤΡΙΟΥ_ΕΙΡΗΝΗ-ΕΛΕΝΗ	ΑΓΑΘΟΠΟΥΛΟΥ, ΕΙΡΗΝΗ ΕΛΕΝΗ	F
GR	ΑΓΓΕΛΙΚΗ-ΕΥΦΡΟΣΥΝΗΣ_ΚΙΑΟΥ-ΔΗΜΑΚΟΥ	ΚΙΑΟΥ ΔΗΜΑΚΟΥ, ΑΓΓΕΛΙΚΗ ΕΥΦΡΟΣΥΝΗΣ	F
GR	ΑΔΑΜΟΠΟΥΛΟΥ_ΑΘΑΝΑΣΙΟΥ_ΑΓΓΕΛΙΚΗ	ΑΔΑΜΟΠΟΥΛΟΥ, ΑΓΓΕΛΙΚΗ	F
GR	ΑΔΑΜΟΥ_ΣΤΕΡΓΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΑ	ΑΔΑΜΟΥ, ΚΩΝΣΤΑΝΤΙΝΑ	F
GR	ΑΘΑΝΑΣΙΟΣ_ΗΛΙΟΠΟΥΛΟΣ	ΗΛΙΟΠΟΥΛΟΣ, ΑΘΑΝΑΣΙΟΣ	M
GR	ΑΘΑΝΑΣΙΟΥ_ΕΥΑΓΓΕΛΟΥ_ΜΑΡΙΑ	ΑΘΑΝΑΣΙΟΥ, ΜΑΡΙΑ	F
GR	ΑΘΑΝΑΣΙΟΥ_ΕΥΘΥΜΙΟΥ_ΑΘΑΝΑΣΙΟΣ_ΝΑΣΟΣ	ΑΘΑΝΑΣΙΟΥ, ΑΘΑΝΑΣΙΟΣ	M
GR	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	ΑΘΑΝΑΣΙΟΥ, ΧΑΡΑΛΑΜΠΟΣ	M
GR	ΑΙΒΑΤΙΔΗΣ_ΓΕΩΡΓΙΟΥ_ΙΩΑΝΝΗΣ	ΑΙΒΑΤΙΔΗΣ, ΙΩΑΝΝΗΣ	M
