Country	SpeakerID	Name	Sex
IT	AbateRosaSilvana	Abate, Rosa Silvana	F
IT	AbbadoClaudio	Abbado, Claudio	M
IT	AccotoRossella	Accoto, Rossella	F
IT	AgeaLaura	Agea, Laura	F
IT	AgostinelliDonatella	Agostinelli, Donatella	F
IT	AielloPiero	Aiello, Piero	M
IT	AimiEnrico	Aimi, Enrico	M
IT	AirolaAlberto	Airola, Alberto	M
IT	AlbanoDonatella	Albano, Donatella	F
IT	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F
IT	AlbertiniGabriele	Albertini, Gabriele	M
IT	AlderisiFrancesca	Alderisi, Francesca	F
IT	AlessandriniValeria	Alessandrini, Valeria	F
IT	AlfanoAngelino	Alfano, Angelino	M
IT	AlfanoGioacchino	Alfano, Gioacchino	M
IT	AlfieriAlessandro	Alfieri, Alessandro	M
IT	AlicataBruno	Alicata, Bruno	M
IT	AmatiSilvana	Amati, Silvana	F
IT	AmendolaVincenzo	Amendola, Vincenzo	M
IT	AmiciSesa	Amici, Sesa	F
IT	AmideiBartolomeo	Amidei, Bartolomeo	M
IT	AmorusoFrancescoMaria	Amoruso, Francesco Maria	M
IT	AnastasiCristiano	Anastasi, Cristiano	M
IT	AndreottiGiulio	Andreotti, Giulio	M
IT	AngioniIgnazio	Angioni, Ignazio	M
IT	AngrisaniLuisa	Angrisani, Luisa	F
IT	AnitoriFabiola	Anitori, Fabiola	F
IT	AracriFrancesco	Aracri, Francesco	M
IT	ArchiBruno	Archi, Bruno	M
IT	ArrigoniPaolo	Arrigoni, Paolo	M
IT	AscaniAnna	Ascani, Anna	F
IT	AstorreBruno	Astorre, Bruno	M
IT	AuddinoGiuseppe	Auddino, Giuseppe	M
IT	AugelloAndrea	Augello, Andrea	M
IT	AugussoriLuigi	Augussori, Luigi	M
IT	AuricchioDomenico	Auricchio, Domenico	M
IT	AzzolinaLucia	Azzolina, Lucia	F
IT	AzzolliniAntonio	Azzollini, Antonio	M
IT	BagnaiAlberto	Bagnai, Alberto	M
IT	BalboniAlberto	Balboni, Alberto	M
IT	BalduzziRenato	Balduzzi, Renato	M
IT	BarachiniAlberto	Barachini, Alberto	M
IT	BaraniLucio	Barani, Lucio	M
IT	BarbaroClaudio	Barbaro, Claudio	M
IT	BarboniAntonio	Barboni, Antonio	M
IT	BarcaFabrizio	Barca, Fabrizio	M
IT	BarettaPierPaolo	Baretta, Pier Paolo	M
IT	BarozzinoGiovanni	Barozzino, Giovanni	M
IT	BarraCaraccioloLuciano	Barra Caracciolo, Luciano	M
IT	BarracciuFrancesca	Barracciu, Francesca	F
IT	BartolazziArmando	Bartolazzi, Armando	M
IT	BattistaLorenzo	Battista, Lorenzo	M
IT	BattistoniFrancesco	Battistoni, Francesco	M
IT	BellanovaTeresa	Bellanova, Teresa	F
IT	BellotRaffaela	Bellot, Raffaela	F
IT	BenciniAlessandra	Bencini, Alessandra	F
IT	BerardiRoberto	Berardi, Roberto	M
IT	BergaminiDeborah	Bergamini, Deborah	F
IT	BergerHans	Berger, Hans	M
IT	BergesioGiorgioMaria	Bergesio, Giorgio Maria	M
IT	BerlusconiSilvio	Berlusconi, Silvio	M
IT	BerniniAnnaMaria	Bernini, Anna Maria	F
IT	BerrettaGiuseppe	Berretta, Giuseppe	F
IT	BertaccoStefano	Bertacco, Stefano	M
IT	BertorottaOrnella	Bertorotta, Ornella	F
IT	BertuzziMariaTeresa	Bertuzzi, Maria Teresa	F
IT	BeruttiMassimoVittorio	Berutti, Massimo Vittorio	M
IT	BianchiDorina	Bianchi, Dorina	F
IT	BianchiPatrizio	Bianchi, Patrizio	M
IT	BiancoAmedeo	Bianco, Amedeo	M
IT	BianconiLaura	Bianconi, Laura	F
IT	BiasottiSandroMario	Biasotti, Sandro Mario	M
IT	BignamiLaura	Bignami, Laura	F
IT	BilardiGiovanni	Bilardi, Giovanni	M
IT	BinettiPaola	Binetti, Paola	F
IT	BiniCaterina	Bini, Caterina	F
IT	BiondelliFranca	Biondelli, Franca	F
IT	BisinellaPatrizia	Bisinella, Patrizia	F
IT	BitiCaterina	Biti, Caterina	F
IT	BitonciMassimo	Bitonci, Massimo	M
IT	BlundoRosettaEnza	Blundo, Rosetta Enza	F
IT	BobbaLuigi	Bobba, Luigi	M
IT	BoccaBernabo	Bocca, Bernabo'	M
IT	BoccardiMichele	Boccardi, Michele	M
IT	BocchinoFabrizio	Bocchino, Fabrizio	M
IT	BocciGianpiero	Bocci, Gianpiero	M
IT	BocciaFrancesco	Boccia, Francesco	M
IT	BogoDeleddaVittoriaFrancescaMaria	Bogo Deledda, Vittoria Francesca Maria	F
IT	BoldriniPaola	Boldrini, Paola	F
IT	BonafedeAlfonso	Bonafede, Alfonso	M
IT	BonaiutiPaolo	Bonaiuti, Paolo	M
IT	BondiSandro	Bondi, Sandro	M
IT	BonettiElena	Bonetti, Elena	F
IT	BonfriscoAnnaCinzia	Bonfrisco, Anna Cinzia	F
IT	BongiornoGiulia	Bongiorno, Giulia	F
IT	BonifaziFrancesco	Bonifazi, Francesco	M
IT	BoninoEmma	Bonino, Emma	F
IT	BonisoliAlberto	Bonisoli, Alberto	M
IT	BorghesiStefano	Borghesi, Stefano	M
IT	BorgonzoniLucia	Borgonzoni, Lucia	F
IT	BorioliDanieleGaetano	Borioli, Daniele Gaetano	M
IT	BorlettiDellAcquaBuitoniIlaria	Borletti Dell'Acqua Buitoni, Ilaria	F
IT	BoschiMariaElena	Boschi, Maria Elena	F
IT	BossiSimone	Bossi, Simone	M
IT	BossiUmberto	Bossi, Umberto	M
IT	BotticiLaura	Bottici, Laura	F
IT	BottoElena	Botto, Elena	F
IT	BrayMassimo	Bray, Massimo	M
IT	BressaGianclaudio	Bressa, Gianclaudio	M
IT	BriziarelliLuca	Briziarelli, Luca	M
IT	BrogliaClaudio	Broglia, Claudio	M
IT	BrunettaRenato	Brunetta, Renato	M
IT	BruniFrancesco	Bruni, Francesco	M
IT	BrunoDonato	Bruno, Donato	M
IT	BruzzoneFrancesco	Bruzzone, Francesco	M
IT	BubbicoFilippo	Bubbico, Filippo	M
IT	BuccarellaMaurizio	Buccarella, Maurizio	M
IT	BuemiEnrico	Buemi, Enrico	M
IT	BuffagniStefano	Buffagni, Stefano	M
