Country	SpeakerID	Name	Sex
NL	AchrafBouali	Bouali, Achraf	M
NL	AdriDuivesteijn	Duivesteijn, Adri	M
NL	AgnesJongerius	Jongerius, Agnes	F
NL	AgnesMulder	Mulder, Agnes	F
NL	AgnesWolbert	Wolbert, Agnes	F
NL	AhmedMarcouch	Marcouch, Ahmed	M
NL	AlbertdeVries	de Vries, Albert	M
NL	AlbertvandenBosch	van den Bosch, Albert	M
NL	AlexanderHammelburg	Hammelburg, Alexander	M
NL	AlexanderKops	Kops, Alexander	M
NL	AlexanderPechtold	Pechtold, Alexander	M
NL	AlexanderRinnooyKan	Rinnooy Kan, Alexander	M
NL	AlexandervanHattem	van Hattem, Alexander	M
NL	AlexandravanHuffelen	van Huffelen, Alexandra	F
NL	AlfonsoBoekhoudt	Boekhoudt, Alfonso	M
NL	AlfredArbouw	Arbouw, Alfred	M
NL	AlfredSneek	Sneek, Alfred	M
NL	AmmaAsante	Asante, Amma	F
NL	AndinBikker	Bikker, Andin	M
NL	AndrePostema	Postema, Andre	M
NL	AndréBosman	Bosman, André	M
NL	AngelienEijsink	Eijsink, Angelien	F
NL	AnitaVink	Vink, Anita	F
NL	AnjaHazekamp	Hazekamp, Anja	F
NL	AnkBijleveld	Bijleveld, Ank	F
NL	AnkBijleveld-Schouten	Bijleveld, Ank	F
NL	AnkieBroekers-Knol	Broekers-Knol, Ankie	F
NL	AnnaMariaPauletta	Pauletta, Anna Maria	F
NL	AnnabelNanninga	Nanninga, Annabel	F
NL	Anne-WilDuthler	Duthler, Anne-Wil	F
NL	Anne-WilLucas	Lucas, Anne-Wil	F
NL	AnneFlierman	Flierman, Anne	M
NL	AnneKoning	Koning, Anne	F
NL	AnneKuik	Kuik, Anne	F
NL	AnneMarijkePodt	Podt, Anne-Marijke	F
NL	AnneMulder	Mulder, Anne	M
NL	AnnekeWezel	Wezel, Anneke	F
NL	AnnelienBredenoord	Bredenoord, Annelien	F
NL	AnnemarieJorritsma-Lebbink	Jorritsma-Lebbink, Annemarie	F
NL	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F
NL	AnoushkaSchut-Welkzijn	Schut-Welkzijn, Anoushka	F
NL	AntjeDiertens	Diertens, Antje	F
NL	AntoinetteLaan-Geselschap	Laan-Geselschap, Antoinette	F
NL	ArdaGerkens	Gerkens, Arda	F
NL	ArdvanderSteur	van der Steur, Ard	M
NL	ArieSlob	Slob, Arie	M
NL	ArneWeverling	Weverling, Arne	M
NL	ArnoRutte	Rutte, Arno	M
NL	ArnoldMerkies	Merkies, Arnold	M
NL	AstridOosenbrug	Oosenbrug, Astrid	F
NL	AttjeKuiken	Kuiken, Attje	F
NL	AtzoNicolaï	Nicolaï, Atzo	M
NL	AukjedeVries	de Vries, Aukje	F
NL	BarbaraKathmann	Kathmann, Barbara	F
NL	BarbaraVisser	Visser, Barbara	F
NL	BarryMadlener	Madlener, Barry	M
NL	BartSmals	Smals, Bart	M
NL	BartSnels	Snels, Bart	M
NL	BartdeLiefde	de Liefde, Bart	M
NL	BartvanKent	van Kent, Bart	M
NL	BasEickhout	Eickhout, Bas	M
NL	BastiaanvanApeldoorn	van Apeldoorn, Bastiaan	M
NL	BasvantWout	van 't Wout, Bas	M
NL	BenKnapen	Knapen, Ben	M
NL	BenSwagerman	Swagerman, Ben	M
NL	BenteBecker	Becker, Bente	F
NL	BertJanRuissen	Ruissen, Bert-Jan	M
NL	BertKoenders	Koenders, Bert	M
NL	BettydeBoer	de Boer, Betty	F
NL	BobRuers	Ruers, Bob	M
NL	BobvanPareren	van Pareren, Bob	M
NL	BorisDittrich	Dittrich, Boris	M
NL	BramvanOjik	van Ojik, Bram	M
NL	BrunoBruins	Bruins, Bruno	M
NL	CarlaDik-Faber	Dik-Faber, Carla	F
NL	CarlaMoonen	Moonen, Carla	F
NL	CarolaSchouten	Schouten, Carola	F
NL	CarolinevanderPlas	van der Plas, Caroline	F
NL	CemLaçin	Laçin, Cem	M
NL	ChantalNijkerken-deHaan	Nijkerken-de Haan, Chantal	F
NL	ChrisJansen	Jansen, Chris	M
NL	ChrisSimons	Simons, Chris	M
NL	ChrisStoffer	Stoffer, Chris	M
NL	ChristianneanderWalZeggelink	van der Wal-Zeggelink, Christianne	F
NL	ChristineTeunissen	Teunissen, Christine	F
NL	ChristopheanderMaat	van der Maat, Christophe	M
NL	ChrisvanDam	van Dam, Chris	M
NL	CoravanNieuwenhuijzen-Wijbenga	van Nieuwenhuijzen-Wijbenga, Cora	F
NL	CorinneEllemeet	Ellemeet, Corinne	F
NL	CornelisVisser	Visser, Cornelis	M
NL	CorrievanBrenk	van Brenk, Corrie	F
NL	DaandeKort	de Kort, Daan	M
NL	DaandeNeef	de Neef, Daan	M
NL	DanaivanWeerdenburg	van Weerdenburg, Danai	F
NL	DanielKoerhuis	Koerhuis, Daniel	M
NL	DaniëlvanderRee	van der Ree, Daniël	M
NL	DannijvanderSluijs	van der Sluijs, Dannij	M
NL	DennisWiersma	Wiersma, Dennis	M
NL	DennisdeJong	de Jong, Dennis	M
NL	DerkBoswijk	Boswijk, Derk	M
NL	DerkjanEppink	Eppink, Derk Jan	M
NL	DesireeDeSousa-Croes	De Sousa-Croes, Desiree	F
NL	DiederikSamsom	Samsom, Diederik	M
NL	DiederikvanDijk	van Dijk, Diederik	M
NL	DilanYeşilgöz-Zegerius	Yeşilgöz-Zegerius, Dilan	F
NL	DionGraus	Graus, Dion	M
NL	DonCeder	Ceder, Don	M
NL	DorienRookmaker	Rookmaker, Dorien	F
NL	DucoHoogland	Hoogland, Duco	M
NL	EdGroot	Groot, Ed	M
NL	EdgarMulder	Mulder, Edgar	M
NL	EdithSchippers	Schippers, Edith	F
NL	EelcoHeinen	Heinen, Eelco	M
NL	EgbertDeVries	De Vries, Egbert	M
NL	ElbertDijkgraaf	Dijkgraaf, Elbert	M
NL	ElcoBrinkman	Brinkman, Elco	M
NL	EmielvanDijk	van Dijk, Emiel	M
NL	EmileRoemer	Roemer, Emile	M
NL	EppoBruins	Bruins, Eppo	M
NL	EricSmaling	Smaling, Eric	M
NL	EricWiebes	Wiebes, Eric	M
NL	EricvanderBurg	van der Burg, Eric	M
NL	ErikHaverkort	Haverkort, Erik	M
NL	ErikRonnes	Ronnes, Erik	M
NL	ErikZiengs	Ziengs, Erik	M
NL	ErnstKuipers	Kuipers, Ernst	M
NL	Esther-MirjamSent	Sent, Esther-Mirjam	F
NL	EstherOuwehand	Ouwehand, Esther	F
NL	EstherdeLange	de Lange, Esther	F
NL	EvaAkerboom	Akerboom, Eva	F
NL	EvavanEsch	van Esch, Eva	F
NL	Evert-JanSlootweg	Slootweg, Evert-Jan	M
NL	FahidMinhas	Minhas, Fahid	M
NL	FaissalBoulakjar	Boulakjar, Faissal	M
