Country	SpeakerID	Name	Sex
PT	AbelLimaBaptista	Lima Baptista, Abel	M
PT	AcácioSantosdaFonsecaPinto	Santos Fonseca Pinto, Acácio	M
PT	AdalbertoCamposFernandes	Campos Fernandes, Adalberto	M
PT	AdolfoMiguelBaptistaMesquitaNunes	Miguel Baptista Mesquita Nunes, Adolfo	M
PT	AdrianoRafaeldeSousaMoreira	Rafael Sousa Moreira, Adriano	M
PT	AdãoJoséFonsecaSilva	José Fonseca Silva, Adão	M
PT	AfonsoGonçalvesdaSilvaOliveira	Gonçalves Silva Oliveira, Afonso	M
PT	AgostinhoCorreiaBranquinho	Correia Branquinho, Agostinho	M
PT	AgostinhoGonçalvesAlvesdaSanta	Gonçalves Alves Santa, Agostinho	M
PT	AgostinhoNunodeAzevedoFerreiraLopes	Nuno Azevedo Ferreira Lopes, Agostinho	M
PT	AlbertoAmaroGuedesMachado	Amaro Guedes Machado, Alberto	M
PT	AlbertoBernardesCosta	Bernardes Costa, Alberto	M
PT	AlbertoJorgeTorresdaSilvaFonseca	Jorge Torres Silva Fonseca, Alberto	M
PT	AlbertodeSousaMartins	Sousa Martins, Alberto	M
PT	AlexandraLudomilaRibeiroFernandesLeitão	Ludomila Ribeiro Fernandes Leitão, Alexandra	F
PT	AlexandraNunesEstevesTavaresdeMoura	Nunes Esteves Tavares Moura, Alexandra	F
PT	AlexandreDamascenodaSilvaPoço	Damasceno Silva Poço, Alexandre	M
PT	AlexandreNunoVazBatistadeVieiraeBrito	Nuno Vaz Batista Vieira Brito, Alexandre	M
PT	AlexandreTiedtkeQuintanilha	Tiedtke Quintanilha, Alexandre	M
PT	AlmaBenedettiCroceRivera	Benedetti Croce Rivera, Alma	F
PT	AltinoBernardoLemosBessa	Bernardo Lemos Bessa, Altino	M
PT	AmadeuAlbertinoMarquesSoaresAlbergaria	Albertino Marques Soares Albergaria, Amadeu	M
PT	AnaCatarinaVeigaSantosMendonçaMendes	Catarina Veiga Santos Mendonça Mendes, Ana	F
PT	AnaCláudiadaCostaPinho	Cláudia Costa Pinho, Ana	F
PT	AnaCristinaCardosoDiasMesquita	Cristina Cardoso Dias Mesquita, Ana	F
PT	AnaElisabeteLabordaOliveira	Elisabete Laborda Oliveira, Ana	F
PT	AnaIsabelCorreiadosSantos	Isabel Correia Santos, Ana	F
PT	AnaIsabelDragoLobato	Isabel Drago Lobato, Ana	F
PT	AnaIsabeldosSantosFigueiredoPinto	Isabel Santos Figueiredo Pinto, Ana	F
PT	AnaLúciaSilvadePassos	Lúcia Silva Passos, Ana	F
PT	AnaManuelJerónimoLopesCorreiaMendesGodinho	Manuel Jerónimo Lopes Correia Mendes Godinho, Ana	F
PT	AnaMargaridaBalseirodeSousaLopes	Margarida Balseiro Sousa Lopes, Ana	F
PT	AnaMariaPereiraAbrunhosaTrigueirosdeAragão	Maria Pereira Abrunhosa Trigueiros Aragão, Ana	F
PT	AnaMariaRibeirodaSilva	Maria Ribeiro Silva, Ana	F
PT	AnaMariaTeodoroJorge	Maria Teodoro Jorge, Ana	F
PT	AnaMiguelMarquesNevesdosSantos	Miguel Marques Neves Santos, Ana	F
PT	AnaPaulaBaptistaGradeZacarias	Paula Baptista Grade Zacarias, Ana	F
PT	AnaPaulaMendesVitorino	Paula Mendes Vitorino, Ana	F
PT	AnaRitaBarreiraDuarteBessa	Rita Barreira Duarte Bessa, Ana	F
PT	AnaSofiaAntunes	Sofia Antunes, Ana	F
PT	AnaSofiaFernandesBettencourt	Sofia Fernandes Bettencourt, Ana	F
PT	AnaSofiaFerreiraAraújo	Sofia Ferreira Araújo, Ana	F
PT	AnaVirgíniadaCostaPereira	Virgínia Costa Pereira, Ana	F
PT	AnabelaGaspardeFreitas	Gaspar Freitas, Anabela	F
PT	AnabelaMariaPintodeMirandaRodrigues	Maria Pinto Miranda Rodrigues, Anabela	F
PT	AnabelaPedroso	Pedroso, Anabela	F
PT	AnabeladeJesusSousaRodrigues	Jesus Sousa Rodrigues, Anabela	F
PT	AndreiaCarinaMachadodaSilvaNeto	Carina Machado Silva Neto, Andreia	F
PT	AndréAlexandrePinotesBatista	Alexandre Pinotes Batista, André	M
PT	AndréClaroAmaralVentura	Claro Amaral Ventura, André	M
PT	AndréGuimarãesCoelhoLima	Guimarães Coelho Lima, André	M
PT	AndréLourençoeSilva	Lourenço Silva, André	M
PT	AndréMozCaldas	Moz Caldas, André	M
PT	AndréTiagoPardaldaSilva	Tiago Pardal Silva, André	M
PT	AnteroLuís	Luís, Antero	M
PT	AntónioAlbertoMalódeAbreu	Alberto Maló Abreu, António	M
PT	AntónioAlvesCardoso	Alves Cardoso, António	M
PT	AntónioAndrédaSilvaTopa	André Silva Topa, António	M
PT	AntónioCarlosBivarBrancodePenhaMonteiro	Carlos Bivar Branco Penha Monteiro, António	M
PT	AntónioCarlosSousaGomesdaSilvaPeixoto	Carlos Sousa Gomes Silva Peixoto, António	M
PT	AntónioCostaPinto	Costa Pinto, António	M
PT	AntónioCostaRodrigues	Costa Rodrigues, António	M
PT	AntónioDuarteCondeAlmeidadaCunha	Duarte Conde Almeida Cunha, António	M
PT	AntónioDuarteTeixeiraAfonsoRodrigues	Duarte Teixeira Afonso Rodrigues, António	M
PT	AntónioEgrejasLeitãoAmaro	Egrejas Leitão Amaro, António	M
PT	AntónioFernandesdaSilvaBraga	Fernandes Silva Braga, António	M
PT	AntónioFernandoCoutodosSantos	Fernando Couto Santos, António	M
PT	AntónioFilipeGaiãoRodrigues	Filipe Gaião Rodrigues, António	M
PT	AntónioFilipedaProvidênciaSantarémAnacoretaCorreia	Filipe Providência Santarém Anacoreta Correia, António	M
PT	AntónioFranciscoCostadaSilva	Francisco Costa Silva, António	M
PT	AntónioJoaquimAlmeidaHenriques	Joaquim Almeida Henriques, António	M
PT	AntónioJoséLimaCosta	José Lima Costa, António	M
PT	AntónioJoséMartinsSeguro	José Martins Seguro, António	M
PT	AntónioJoséSantinhoPacheco	José Santinho Pacheco, António	M
PT	AntónioLacerdaSales	Lacerda Sales, António	M
PT	AntónioLimaCardosoVentura	Lima Cardoso Ventura, António	M
PT	AntónioLuísSantosdaCosta	Luís Santos Costa, António	M
